,Bloomberg Code,symbol,level
0,2330 TT Equity,>,643.0
1,2330 TT Equity,>,636.0
2,2454 TT Equity,>,968.0
3,2454 TT Equity,>,941.0
4,2610 TT Equity,>,14.25
5,2610 TT Equity,>,14.25
6,2317 TT Equity,>,116.5
7,2317 TT Equity,>,116.5
8,8046 TT Equity,>,322.0
9,8046 TT Equity,>,308.0
10,2303 TT Equity,>,56.7
11,2303 TT Equity,>,55.2
12,2409 TT Equity,>,20.0
13,2409 TT Equity,>,18.45
14,2603 TT Equity,>,40.0
15,2603 TT Equity,>,37.35
16,3481 TT Equity,>,17.95
17,3481 TT Equity,>,16.85
18,3034 TT Equity,>,522.0
19,3034 TT Equity,>,520.0
20,2327 TT Equity,>,638.0
21,2327 TT Equity,>,632.0
22,2308 TT Equity,>,303.0
23,2308 TT Equity,>,299.5
24,2609 TT Equity,>,30.0
25,2609 TT Equity,>,28.95
26,2492 TT Equity,>,291.5
27,2492 TT Equity,>,283.0
28,6488 TT Equity,>,839.0
29,6488 TT Equity,>,798.0
30,2337 TT Equity,>,48.4
31,2337 TT Equity,>,47.85
32,2618 TT Equity,>,16.3
33,2618 TT Equity,>,15.4
34,3037 TT Equity,>,100.5
35,3037 TT Equity,>,96.4
36,3008 TT Equity,>,3590.0
37,3008 TT Equity,>,3425.0
38,8299 TT Equity,>,476.0
39,8299 TT Equity,>,476.0
40,6531 TT Equity,>,764.0
41,6531 TT Equity,>,743.0
42,3711 TT Equity,>,110.5
43,3711 TT Equity,>,106.0
44,3552 TT Equity,>,371.0
45,3552 TT Equity,>,348.0
46,3006 TT Equity,>,93.8
47,3006 TT Equity,>,93.8
48,2881 TT Equity,>,52.2
49,2881 TT Equity,>,51.2
50,2882 TT Equity,>,43.6
51,2882 TT Equity,>,42.7
52,2344 TT Equity,>,31.9
53,2344 TT Equity,>,31.9
54,4968 TT Equity,>,589.0
55,4968 TT Equity,>,581.0
56,4976 TT Equity,>,122.0
57,4976 TT Equity,>,115.0
58,1227 TT Equity,>,57.4
59,1227 TT Equity,>,57.0
60,6770 TT Equity,>,81.5
61,6770 TT Equity,>,76.5
62,3105 TT Equity,>,411.0
63,3105 TT Equity,>,410.0
64,4938 TT Equity,>,76.9
65,4938 TT Equity,>,75.2
66,6415 TT Equity,>,3000.0
67,6415 TT Equity,>,3000.0
68,6182 TT Equity,>,46.3
69,6182 TT Equity,>,43.65
70,3661 TT Equity,>,925.0
71,3661 TT Equity,>,911.0
72,2408 TT Equity,>,102.0
73,2408 TT Equity,>,102.0
74,2379 TT Equity,>,489.0
75,2379 TT Equity,>,484.0
76,8016 TT Equity,>,195.5
77,8016 TT Equity,>,179.0
78,3443 TT Equity,>,514.0
79,3443 TT Equity,>,497.0
80,2891 TT Equity,>,20.9
81,2891 TT Equity,>,20.5
82,2357 TT Equity,>,311.0
83,2357 TT Equity,>,303.5
84,2412 TT Equity,>,110.5
85,2412 TT Equity,>,110.0
86,3673 TT Equity,>,46.05
87,3673 TT Equity,>,46.05
88,3324 TT Equity,>,231.5
89,3324 TT Equity,>,219.0
90,1301 TT Equity,>,101.0
91,1301 TT Equity,>,101.0
92,6533 TT Equity,>,520.0
93,6533 TT Equity,>,493.0
94,2456 TT Equity,>,113.5
95,2456 TT Equity,>,109.0
96,2371 TT Equity,>,28.35
97,2371 TT Equity,>,27.6
98,1326 TT Equity,>,88.8
99,1326 TT Equity,>,85.9
100,2377 TT Equity,>,161.5
101,2377 TT Equity,>,157.0
102,2328 TT Equity,>,44.6
103,2328 TT Equity,>,42.6
104,5269 TT Equity,>,1750.0
105,5269 TT Equity,>,1750.0
106,3680 TT Equity,>,378.0
107,3680 TT Equity,>,355.5
108,3545 TT Equity,>,115.5
