,Bloomberg Code,symbol,level
0,2330 TT Equity,>,605.0
1,4961 TT Equity,>,211.5
2,2303 TT Equity,>,47.35
3,2454 TT Equity,>,907.0
4,2603 TT Equity,>,38.5
5,8046 TT Equity,>,298.5
6,2317 TT Equity,>,116.5
7,2327 TT Equity,>,554.0
8,6531 TT Equity,>,688.0
9,6488 TT Equity,>,714.0
10,3481 TT Equity,>,17.1
11,4760 TT Equity,>,128.5
12,2308 TT Equity,>,272.0
13,3034 TT Equity,>,486.5
14,3008 TT Equity,>,3495.0
15,6770 TT Equity,>,70.4
16,3545 TT Equity,>,104.0
17,3483 TT Equity,>,110.0
18,2409 TT Equity,>,18.95
19,3661 TT Equity,>,852.0
20,2610 TT Equity,>,14.3
21,2492 TT Equity,>,253.5
22,3037 TT Equity,>,93.4
23,6237 TT Equity,>,94.4
24,3711 TT Equity,>,101.5
25,4968 TT Equity,>,580.0
26,6415 TT Equity,>,2550.0
27,2344 TT Equity,>,27.3
28,2108 TT Equity,>,74.9
29,5347 TT Equity,>,104.5
30,5269 TT Equity,>,1725.0
31,3006 TT Equity,>,89.6
32,2408 TT Equity,>,91.4
33,1476 TT Equity,>,465.5
34,6533 TT Equity,>,467.5
35,2002 TT Equity,>,25.9
36,2379 TT Equity,>,447.0
37,3406 TT Equity,>,494.0
38,3105 TT Equity,>,383.5
39,4976 TT Equity,>,116.5
40,2888 TT Equity,>,8.77
41,5274 TT Equity,>,1795.0
42,2328 TT Equity,>,42.25
43,5483 TT Equity,>,163.5
44,2357 TT Equity,>,316.5
45,4966 TT Equity,>,1205.0
46,3019 TT Equity,>,91.5
47,2049 TT Equity,>,424.5
48,2883 TT Equity,>,9.82
49,8299 TT Equity,>,463.0
50,2331 TT Equity,>,32.0
51,3443 TT Equity,>,410.0
52,2377 TT Equity,>,149.0
53,3092 TT Equity,>,73.9
54,2615 TT Equity,>,47.2
55,2368 TT Equity,>,59.1
56,2371 TT Equity,>,28.65
