,Bloomberg Code,symbol,level
0,2303 TT Equity,<,46.55
1,2603 TT Equity,<,37.15
2,2609 TT Equity,<,26.5
3,2883 TT Equity,<,9.65
4,3481 TT Equity,<,16.3
5,2610 TT Equity,<,13.6
6,2409 TT Equity,<,18.3
7,2344 TT Equity,<,27.0
8,2486 TT Equity,<,21.5
9,1309 TT Equity,<,39.65
10,2337 TT Equity,<,40.05
11,2002 TT Equity,<,24.85
12,2330 TT Equity,<,593.0
13,6116 TT Equity,<,12.25
14,6244 TT Equity,<,31.2
15,1314 TT Equity,<,10.8
16,1304 TT Equity,<,22.3
17,6770 TT Equity,<,65.6
18,2890 TT Equity,<,11.65
19,1455 TT Equity,<,10.25
20,6237 TT Equity,<,86.3
21,1909 TT Equity,<,24.85
22,1447 TT Equity,<,9.17
23,1305 TT Equity,<,32.1
24,2353 TT Equity,<,26.6
25,2331 TT Equity,<,30.45
26,3545 TT Equity,<,95.9
27,1303 TT Equity,<,72.9
28,2014 TT Equity,<,17.85
29,2885 TT Equity,<,21.05
30,9904 TT Equity,<,30.45
31,2371 TT Equity,<,27.6
32,3037 TT Equity,<,87.9
33,2823 TT Equity,<,23.5
34,2834 TT Equity,<,9.51
35,1515 TT Equity,<,82.3
36,6283 TT Equity,<,42.05
37,2887 TT Equity,<,13.1
38,1513 TT Equity,<,51.6
39,2376 TT Equity,<,88.7
40,3006 TT Equity,<,85.1
41,3711 TT Equity,<,101.0
42,2492 TT Equity,<,238.0
43,8431 TT Equity,<,82.3
44,2615 TT Equity,<,46.5
45,2324 TT Equity,<,22.2
46,2328 TT Equity,<,40.85
47,3169 TT Equity,<,103.0
48,2338 TT Equity,<,44.7
49,6138 TT Equity,<,105.0
50,3048 TT Equity,<,25.2
51,2449 TT Equity,<,38.2
52,2401 TT Equity,<,23.85
53,2327 TT Equity,<,530.0
54,4906 TT Equity,<,31.35
55,5347 TT Equity,<,99.2
56,1444 TT Equity,<,11.7
57,4976 TT Equity,<,105.5
58,3092 TT Equity,<,72.3
59,2027 TT Equity,<,30.0
60,2308 TT Equity,<,264.5
61,8046 TT Equity,<,277.5
62,2354 TT Equity,<,67.3
63,2408 TT Equity,<,87.5
64,3025 TT Equity,<,27.95
65,3483 TT Equity,<,105.0
66,1308 TT Equity,<,23.7
67,3019 TT Equity,<,88.0
68,6443 TT Equity,<,35.15
69,3059 TT Equity,<,34.5
70,2605 TT Equity,<,19.5
71,2352 TT Equity,<,29.0
72,3706 TT Equity,<,27.8
73,2368 TT Equity,<,56.0
74,1312 TT Equity,<,24.7
75,005930 KS Equity,<,81100.0
76,064260 KS Equity,<,7680.0
77,334970 KS Equity,<,13150.0
78,051910 KS Equity,<,886000.0
79,006400 KS Equity,<,654000.0
80,035720 KS Equity,<,457000.0
81,035420 KS Equity,<,366500.0
82,121800 KS Equity,<,11800.0
83,096770 KS Equity,<,224500.0
84,096040 KS Equity,<,713.0
85,047040 KS Equity,<,5450.0
86,009070 KS Equity,<,8570.0
87,000270 KS Equity,<,80500.0
88,038880 KS Equity,<,1490.0
89,004140 KS Equity,<,9770.0
90,011200 KS Equity,<,20950.0
91,068270 KS Equity,<,284000.0
92,105560 KS Equity,<,50000.0
93,053030 KS Equity,<,13150.0
94,078130 KS Equity,<,4705.0
95,267270 KS Equity,<,37250.0
96,027710 KS Equity,<,1770.0
97,043610 KS Equity,<,5350.0
98,011780 KS Equity,<,200000.0
99,017670 KS Equity,<,242000.0
100,012330 KS Equity,<,289000.0
101,091990 KS Equity,<,118200.0
102,009150 KS Equity,<,180500.0
103,055550 KS Equity,<,35100.0
104,104480 KS Equity,<,3050.0
105,003670 KS Equity,<,138500.0
106,298020 KS Equity,<,425000.0
107,048410 KS Equity,<,46400.0
108,005880 KS Equity,<,3620.0
109,352820 KS Equity,<,204500.0
110,036570 KS Equity,<,928000.0
111,086790 KS Equity,<,39950.0
112,004170 KS Equity,<,282500.0
113,009520 KS Equity,<,8860.0
114,207940 KS Equity,<,687000.0
115,012450 KS Equity,<,36400.0
116,028260 KS Equity,<,118500.0
117,034730 KS Equity,<,243500.0
118,009830 KS Equity,<,40700.0
119,009540 KS Equity,<,113000.0
120,014160 KS Equity,<,2405.0
121,051900 KS Equity,<,1498000.0
122,019170 KS Equity,<,93500.0
123,323990 KS Equity,<,92900.0
124,028670 KS Equity,<,5800.0
125,010060 KS Equity,<,116500.0
126,011070 KS Equity,<,209500.0
127,290510 KS Equity,<,8260.0
128,028300 KS Equity,<,75500.0
129,006280 KS Equity,<,321000.0
130,047810 KS Equity,<,31750.0
131,034220 KS Equity,<,21650.0
