,Bloomberg Code,symbol,level
0,2330 TT Equity,>,635.0
1,2330 TT Equity,>,636.0
2,2454 TT Equity,>,946.0
3,2454 TT Equity,>,955.0
4,2317 TT Equity,>,116.5
5,2317 TT Equity,>,116.0
6,8046 TT Equity,>,313.0
7,8046 TT Equity,>,322.0
8,2303 TT Equity,>,55.2
9,2303 TT Equity,>,56.5
10,2409 TT Equity,>,20.05
11,2409 TT Equity,>,20.05
12,2603 TT Equity,>,38.1
13,2603 TT Equity,>,40.1
14,3481 TT Equity,>,18.05
15,3481 TT Equity,>,18.0
16,3034 TT Equity,>,520.0
17,3034 TT Equity,>,527.0
18,2327 TT Equity,>,620.0
19,2327 TT Equity,>,628.0
20,2308 TT Equity,>,295.0
21,2308 TT Equity,>,299.5
22,2609 TT Equity,>,29.35
23,2609 TT Equity,>,29.5
24,2492 TT Equity,>,272.0
25,2492 TT Equity,>,283.0
26,6488 TT Equity,>,798.0
27,6488 TT Equity,>,839.0
28,2337 TT Equity,>,47.65
29,2337 TT Equity,>,48.4
30,3037 TT Equity,>,98.2
31,3037 TT Equity,>,101.5
32,3008 TT Equity,>,3590.0
33,3008 TT Equity,>,3565.0
34,8299 TT Equity,>,469.5
35,8299 TT Equity,>,472.5
36,6531 TT Equity,>,743.0
37,6531 TT Equity,>,754.0
38,3711 TT Equity,>,106.0
39,3711 TT Equity,>,108.0
40,3552 TT Equity,>,348.0
41,3552 TT Equity,>,371.0
42,3006 TT Equity,>,92.2
43,3006 TT Equity,>,97.5
44,2881 TT Equity,>,52.3
45,2881 TT Equity,>,52.2
46,2882 TT Equity,>,43.7
47,2882 TT Equity,>,43.1
48,2344 TT Equity,>,31.5
49,2344 TT Equity,>,31.7
50,4968 TT Equity,>,598.0
51,4968 TT Equity,>,586.0
52,4976 TT Equity,>,126.5
53,4976 TT Equity,>,122.0
54,6770 TT Equity,>,78.0
55,6770 TT Equity,>,78.2
56,3105 TT Equity,>,410.0
57,3105 TT Equity,>,411.5
58,4938 TT Equity,>,76.3
59,4938 TT Equity,>,77.2
60,6415 TT Equity,>,2970.0
61,6415 TT Equity,>,3035.0
62,6182 TT Equity,>,46.95
63,6182 TT Equity,>,46.3
64,3661 TT Equity,>,914.0
65,3661 TT Equity,>,911.0
66,2408 TT Equity,>,98.2
67,2408 TT Equity,>,99.4
68,2379 TT Equity,>,482.0
69,2379 TT Equity,>,489.0
70,3443 TT Equity,>,514.0
71,3443 TT Equity,>,503.0
72,2891 TT Equity,>,20.9
73,2891 TT Equity,>,20.85
74,2357 TT Equity,>,305.5
75,2357 TT Equity,>,311.0
76,3324 TT Equity,>,231.5
77,3324 TT Equity,>,221.5
78,1301 TT Equity,>,101.0
79,1301 TT Equity,>,101.0
80,6533 TT Equity,>,520.0
81,6533 TT Equity,>,514.0
82,1326 TT Equity,>,87.5
83,1326 TT Equity,>,89.0
84,2328 TT Equity,>,42.95
85,2328 TT Equity,>,43.25
86,5269 TT Equity,>,1750.0
87,5269 TT Equity,>,1745.0
88,3680 TT Equity,>,356.5
89,3680 TT Equity,>,362.0
90,3545 TT Equity,>,104.5
91,3545 TT Equity,>,111.5
92,2353 TT Equity,>,28.0
93,2353 TT Equity,>,27.5
94,6191 TT Equity,>,29.25
95,6191 TT Equity,>,28.35
96,6116 TT Equity,>,13.9
97,6116 TT Equity,>,14.15
98,2884 TT Equity,>,25.75
99,2884 TT Equity,>,25.55
100,2458 TT Equity,>,188.5
101,2458 TT Equity,>,190.0
102,2002 TT Equity,>,25.0
103,2002 TT Equity,>,25.3
104,1303 TT Equity,>,73.2
105,1303 TT Equity,>,75.0
106,4966 TT Equity,>,1205.0
107,4966 TT Equity,>,1305.0
108,1216 TT Equity,>,69.9
109,1216 TT Equity,>,69.9
110,2383 TT Equity,>,170.5
111,2383 TT Equity,>,174.0
112,1101 TT Equity,>,42.9
113,1101 TT Equity,>,42.8
114,3406 TT Equity,>,506.0
115,3406 TT Equity,>,506.0
116,6679 TT Equity,>,293.0
117,6679 TT Equity,>,296.5
118,3019 TT Equity,>,93.3
119,3019 TT Equity,>,93.4
120,2886 TT Equity,>,29.7
121,2886 TT Equity,>,29.6
122,4958 TT Equity,>,123.5
123,4958 TT Equity,>,121.5
124,5483 TT Equity,>,175.0
125,5483 TT Equity,>,179.0
126,2382 TT Equity,>,87.0
127,2382 TT Equity,>,86.8
128,2449 TT Equity,>,40.9
129,2449 TT Equity,>,40.45
130,2474 TT Equity,>,197.5
131,2474 TT Equity,>,197.5
132,3529 TT Equity,>,846.0
133,3529 TT Equity,>,849.0
134,2014 TT Equity,>,17.6
135,2014 TT Equity,>,17.7
136,3293 TT Equity,>,860.0
137,3293 TT Equity,>,861.0
138,2049 TT Equity,>,412.0
139,2049 TT Equity,>,407.5
140,4128 TT Equity,>,75.6
141,4128 TT Equity,>,82.5
142,2301 TT Equity,>,59.9
143,2301 TT Equity,>,61.2
144,2354 TT Equity,>,71.8
145,2354 TT Equity,>,73.8
146,2027 TT Equity,>,31.8
147,2027 TT Equity,>,31.4
148,3078 TT Equity,>,57.1
149,3078 TT Equity,>,62.3
150,2885 TT Equity,>,21.7
151,2885 TT Equity,>,21.9
152,4743 TT Equity,>,273.0
153,4743 TT Equity,>,316.5
154,9958 TT Equity,>,123.0
155,9958 TT Equity,>,116.0
156,3540 TT Equity,>,85.0
157,3540 TT Equity,>,86.5
158,8086 TT Equity,>,170.5
159,8086 TT Equity,>,172.5
160,2395 TT Equity,>,375.0
161,2395 TT Equity,>,376.5
162,3260 TT Equity,>,87.5
163,3260 TT Equity,>,90.0
164,6669 TT Equity,>,809.0
165,6669 TT Equity,>,837.0
166,005930 KS Equity,>,85400.0
167,005930 KS Equity,>,84000.0
168,000660 KS Equity,>,149500.0
169,000660 KS Equity,>,143500.0
170,000270 KS Equity,>,79800.0
171,000270 KS Equity,>,83200.0
172,035720 KS Equity,>,502000.0
173,035720 KS Equity,>,492500.0
174,323990 KS Equity,>,139000.0
175,323990 KS Equity,>,149900.0
176,005380 KS Equity,>,239000.0
177,005380 KS Equity,>,248500.0
178,051910 KS Equity,>,890000.0
179,051910 KS Equity,>,887000.0
180,256840 KS Equity,>,9700.0
181,256840 KS Equity,>,8970.0
182,035420 KS Equity,>,384000.0
183,035420 KS Equity,>,384500.0
184,006400 KS Equity,>,709000.0
185,006400 KS Equity,>,705000.0
186,066570 KS Equity,>,150500.0
187,066570 KS Equity,>,154500.0
188,096770 KS Equity,>,268000.0
189,096770 KS Equity,>,275500.0
190,068270 KS Equity,>,301000.0
191,068270 KS Equity,>,309000.0
192,139670 KS Equity,>,57500.0
193,139670 KS Equity,>,57400.0
194,012330 KS Equity,>,321500.0
195,012330 KS Equity,>,315000.0
196,326030 KS Equity,>,126000.0
197,326030 KS Equity,>,147500.0
198,011170 KS Equity,>,323000.0
199,011170 KS Equity,>,331000.0
200,091990 KS Equity,>,129400.0
201,091990 KS Equity,>,131100.0
202,004140 KS Equity,>,10800.0
203,004140 KS Equity,>,10700.0
204,005490 KS Equity,>,284000.0
205,005490 KS Equity,>,283000.0
206,068290 KS Equity,>,34700.0
207,068290 KS Equity,>,35150.0
208,019170 KS Equity,>,87400.0
209,019170 KS Equity,>,87100.0
210,006280 KS Equity,>,405000.0
211,006280 KS Equity,>,388500.0
212,034730 KS Equity,>,277500.0
213,034730 KS Equity,>,272500.0
214,017670 KS Equity,>,252000.0
215,017670 KS Equity,>,250000.0
216,011780 KS Equity,>,224000.0
217,011780 KS Equity,>,236500.0
218,036570 KS Equity,>,973000.0
219,036570 KS Equity,>,973000.0
220,096040 KS Equity,>,587.0
221,096040 KS Equity,>,873.0
222,009150 KS Equity,>,196000.0
223,009150 KS Equity,>,198000.0
224,034220 KS Equity,>,23300.0
225,034220 KS Equity,>,24100.0
226,096530 KS Equity,>,126300.0
227,096530 KS Equity,>,128300.0
228,105560 KS Equity,>,44250.0
229,105560 KS Equity,>,44500.0
230,304840 KS Equity,>,56400.0
231,304840 KS Equity,>,58700.0
232,009830 KS Equity,>,45350.0
233,009830 KS Equity,>,47500.0
234,003670 KS Equity,>,161000.0
235,003670 KS Equity,>,162500.0
236,032300 KS Equity,>,58900.0
237,032300 KS Equity,>,62700.0
238,086790 KS Equity,>,37850.0
239,086790 KS Equity,>,38150.0
240,207940 KS Equity,>,755000.0
241,207940 KS Equity,>,779000.0
242,121800 KS Equity,>,12500.0
243,121800 KS Equity,>,13000.0
244,375500 KS Equity,>,117500.0
245,375500 KS Equity,>,113000.0
246,051900 KS Equity,>,1571000.0
247,051900 KS Equity,>,1575000.0
248,071050 KS Equity,>,94100.0
249,071050 KS Equity,>,95900.0
250,011070 KS Equity,>,210500.0
251,011070 KS Equity,>,214000.0
252,086280 KS Equity,>,198500.0
253,086280 KS Equity,>,195500.0
254,003550 KS Equity,>,94600.0
255,003550 KS Equity,>,97300.0
256,336260 KS Equity,>,53800.0
257,336260 KS Equity,>,54400.0
258,068760 KS Equity,>,162100.0
259,068760 KS Equity,>,156500.0
260,033780 KS Equity,>,79200.0
261,033780 KS Equity,>,79400.0
262,088350 KS Equity,>,3225.0
263,088350 KS Equity,>,3360.0
264,028670 KS Equity,>,5770.0
265,028670 KS Equity,>,5730.0
266,003490 KS Equity,>,28900.0
267,003490 KS Equity,>,29100.0
268,285130 KS Equity,>,386500.0
269,285130 KS Equity,>,397000.0
270,005250 KS Equity,>,40800.0
271,005250 KS Equity,>,37400.0
272,047810 KS Equity,>,33700.0
273,047810 KS Equity,>,35250.0
274,009520 KS Equity,>,7150.0
275,009520 KS Equity,>,7380.0
276,047920 KS Equity,>,17650.0
277,047920 KS Equity,>,15700.0
278,064260 KS Equity,>,7830.0
279,064260 KS Equity,>,8130.0
280,011210 KS Equity,>,83000.0
281,011210 KS Equity,>,79200.0
282,027360 KS Equity,>,4470.0
283,027360 KS Equity,>,4120.0
284,036540 KS Equity,>,8940.0
285,036540 KS Equity,>,9250.0
286,032640 KS Equity,>,12300.0
287,032640 KS Equity,>,12350.0
288,006620 KS Equity,>,40750.0
289,006620 KS Equity,>,47500.0
290,204320 KS Equity,>,66100.0
291,204320 KS Equity,>,64500.0
292,018260 KS Equity,>,201500.0
293,018260 KS Equity,>,199500.0
294,090430 KS Equity,>,235500.0
295,090430 KS Equity,>,239000.0
296,010950 KS Equity,>,88600.0
297,010950 KS Equity,>,87200.0
298,011790 KS Equity,>,118500.0
299,011790 KS Equity,>,125500.0
300,020150 KS Equity,>,74100.0
301,020150 KS Equity,>,74300.0
302,293490 KS Equity,>,55400.0
303,293490 KS Equity,>,55200.0
304,009540 KS Equity,>,112500.0
305,009540 KS Equity,>,113000.0
306,352820 KS Equity,>,209000.0
307,352820 KS Equity,>,212500.0
308,000990 KS Equity,>,56500.0
309,000990 KS Equity,>,58500.0
310,053030 KS Equity,>,27300.0
311,053030 KS Equity,>,27500.0
312,032830 KS Equity,>,75800.0
313,032830 KS Equity,>,75800.0
314,097950 KS Equity,>,411000.0
315,097950 KS Equity,>,412500.0
316,004170 KS Equity,>,273500.0
317,004170 KS Equity,>,275500.0
318,008770 KS Equity,>,83700.0
319,008770 KS Equity,>,83600.0
320,251270 KS Equity,>,130000.0
321,251270 KS Equity,>,125000.0
322,030200 KS Equity,>,26150.0
323,030200 KS Equity,>,26150.0
324,144510 KS Equity,>,93800.0
325,144510 KS Equity,>,91500.0
326,010130 KS Equity,>,423500.0
327,010130 KS Equity,>,423500.0
328,025950 KS Equity,>,46000.0
329,025950 KS Equity,>,45800.0
330,340930 KS Equity,>,30950.0
331,340930 KS Equity,>,39250.0
332,011500 KS Equity,>,22550.0
333,011500 KS Equity,>,24200.0
334,139480 KS Equity,>,174500.0
335,139480 KS Equity,>,174500.0
336,268600 KS Equity,>,118400.0
337,268600 KS Equity,>,121000.0
338,9984 JT Equity,>,10050.0
339,9984 JT Equity,>,10150.0
340,7974 JT Equity,>,65910.0
341,7974 JT Equity,>,68600.0
342,9983 JT Equity,>,109300.0
343,9983 JT Equity,>,109400.0
344,8035 JT Equity,>,44700.0
345,8035 JT Equity,>,45750.0
346,6758 JT Equity,>,11375.0
347,6758 JT Equity,>,11670.0
348,7203 JT Equity,>,7970.0
349,7203 JT Equity,>,8111.0
350,6981 JT Equity,>,9370.0
351,6981 JT Equity,>,9596.0
352,8306 JT Equity,>,569.0
353,8306 JT Equity,>,570.4
354,6861 JT Equity,>,52660.0
355,6861 JT Equity,>,53940.0
356,6954 JT Equity,>,27325.0
357,6954 JT Equity,>,27795.0
358,8316 JT Equity,>,3807.0
359,8316 JT Equity,>,3825.0
360,6594 JT Equity,>,13785.0
361,6594 JT Equity,>,13835.0
362,2413 JT Equity,>,8533.0
363,2413 JT Equity,>,8550.0
364,6098 JT Equity,>,5332.0
365,6098 JT Equity,>,5361.0
366,4502 JT Equity,>,3620.0
367,4502 JT Equity,>,3623.0
368,6857 JT Equity,>,8970.0
369,6857 JT Equity,>,9480.0
370,4063 JT Equity,>,17685.0
371,4063 JT Equity,>,18170.0
372,6920 JT Equity,>,13740.0
373,6920 JT Equity,>,14040.0
374,9433 JT Equity,>,3348.0
375,9433 JT Equity,>,3394.0
376,3436 JT Equity,>,2473.0
377,3436 JT Equity,>,2625.0
378,7267 JT Equity,>,2956.0
379,7267 JT Equity,>,3059.0
380,6501 JT Equity,>,5151.0
381,6501 JT Equity,>,5150.0
382,9201 JT Equity,>,2535.0
383,9201 JT Equity,>,2537.0
384,6367 JT Equity,>,21795.0
385,6367 JT Equity,>,21970.0
386,9434 JT Equity,>,1449.5
387,9434 JT Equity,>,1442.5
388,6273 JT Equity,>,66120.0
389,6273 JT Equity,>,65800.0
390,8001 JT Equity,>,3241.0
391,8001 JT Equity,>,3246.0
392,4452 JT Equity,>,7212.0
393,4452 JT Equity,>,7217.0
394,8058 JT Equity,>,3034.0
395,8058 JT Equity,>,3074.0
396,8698 JT Equity,>,892.0
397,8698 JT Equity,>,917.0
398,6702 JT Equity,>,15410.0
399,6702 JT Equity,>,15565.0
400,4568 JT Equity,>,3205.0
401,4568 JT Equity,>,3246.0
402,6502 JT Equity,>,3485.0
403,6502 JT Equity,>,3560.0
404,9432 JT Equity,>,2785.0
405,9432 JT Equity,>,2780.0
406,8031 JT Equity,>,2352.0
407,8031 JT Equity,>,2362.5
408,8411 JT Equity,>,1594.0
409,8411 JT Equity,>,1596.5
410,9202 JT Equity,>,2567.5
411,9202 JT Equity,>,2610.0
412,9022 JT Equity,>,17635.0
413,9022 JT Equity,>,17730.0
414,9020 JT Equity,>,7945.0
415,9020 JT Equity,>,7910.0
416,7741 JT Equity,>,12795.0
417,7741 JT Equity,>,12465.0
418,6762 JT Equity,>,15650.0
419,6762 JT Equity,>,16060.0
420,6976 JT Equity,>,5630.0
421,6976 JT Equity,>,5710.0
422,4519 JT Equity,>,5005.0
423,4519 JT Equity,>,5102.0
424,8267 JT Equity,>,3372.0
425,8267 JT Equity,>,3540.0
426,2914 JT Equity,>,1940.0
427,2914 JT Equity,>,1949.5
428,8591 JT Equity,>,1818.5
429,8591 JT Equity,>,1865.0
430,3659 JT Equity,>,3410.0
431,3659 JT Equity,>,3520.0
432,8766 JT Equity,>,5341.0
433,8766 JT Equity,>,5396.0
434,6723 JT Equity,>,1198.0
435,6723 JT Equity,>,1230.0
436,4543 JT Equity,>,4142.0
437,4543 JT Equity,>,4199.0
438,6902 JT Equity,>,6676.0
439,6902 JT Equity,>,6652.0
440,4661 JT Equity,>,18495.0
441,4661 JT Equity,>,18425.0
442,9603 JT Equity,>,2552.0
443,9603 JT Equity,>,2650.0
444,4503 JT Equity,>,1781.5
445,4503 JT Equity,>,1777.5
446,7269 JT Equity,>,4815.0
447,7269 JT Equity,>,4836.0
448,4507 JT Equity,>,5749.0
449,4507 JT Equity,>,5897.0
450,7751 JT Equity,>,2328.0
451,7751 JT Equity,>,2382.5
452,4901 JT Equity,>,6327.0
453,4901 JT Equity,>,6350.0
454,5020 JT Equity,>,473.0
455,5020 JT Equity,>,474.3
456,5713 JT Equity,>,5358.0
457,5713 JT Equity,>,5498.0
458,4689 JT Equity,>,657.9
459,4689 JT Equity,>,672.5
460,5108 JT Equity,>,4309.0
461,5108 JT Equity,>,4333.0
462,9021 JT Equity,>,6613.0
463,9021 JT Equity,>,6673.0
464,4911 JT Equity,>,8326.0
465,4911 JT Equity,>,8206.0
466,6753 JT Equity,>,2098.0
467,6753 JT Equity,>,2059.0
468,6326 JT Equity,>,2526.5
469,6326 JT Equity,>,2511.5
470,8750 JT Equity,>,1924.0
471,8750 JT Equity,>,1906.0
472,7270 JT Equity,>,2013.0
473,7270 JT Equity,>,2057.0
474,4755 JT Equity,>,1207.0
475,4755 JT Equity,>,1222.0
476,6178 JT Equity,>,925.7
477,6178 JT Equity,>,917.5
478,8113 JT Equity,>,4396.0
479,8113 JT Equity,>,4388.0
480,3382 JT Equity,>,4214.0
481,3382 JT Equity,>,4297.0
482,2502 JT Equity,>,4837.0
483,2502 JT Equity,>,4850.0
484,6301 JT Equity,>,3232.0
485,6301 JT Equity,>,3314.0
486,7201 JT Equity,>,580.0
487,7201 JT Equity,>,592.7
488,4005 JT Equity,>,525.0
489,4005 JT Equity,>,537.0
490,1605 JT Equity,>,792.0
491,1605 JT Equity,>,790.0
492,5401 JT Equity,>,1590.5
493,5401 JT Equity,>,1597.5
494,8801 JT Equity,>,2428.5
495,8801 JT Equity,>,2499.5
496,7733 JT Equity,>,2270.0
497,7733 JT Equity,>,2300.0
498,8002 JT Equity,>,804.9
499,8002 JT Equity,>,831.0
500,6963 JT Equity,>,10560.0
501,6963 JT Equity,>,10660.0
502,4523 JT Equity,>,7427.0
503,4523 JT Equity,>,7601.0
504,8604 JT Equity,>,627.0
505,8604 JT Equity,>,627.0
506,7735 JT Equity,>,8460.0
507,7735 JT Equity,>,8530.0
508,7832 JT Equity,>,8220.0
509,7832 JT Equity,>,8590.0
510,9843 JT Equity,>,20025.0
511,9843 JT Equity,>,20630.0
512,8308 JT Equity,>,439.2
513,8308 JT Equity,>,449.4
514,4188 JT Equity,>,778.0
515,4188 JT Equity,>,770.6
516,9064 JT Equity,>,2815.0
517,9064 JT Equity,>,2864.0
518,6503 JT Equity,>,1591.0
519,6503 JT Equity,>,1631.0
520,9613 JT Equity,>,1660.0
521,9613 JT Equity,>,1671.0
522,6971 JT Equity,>,6991.0
523,6971 JT Equity,>,7160.0
524,8053 JT Equity,>,1563.0
525,8053 JT Equity,>,1597.0
526,6988 JT Equity,>,9150.0
527,6988 JT Equity,>,9270.0
528,700 HK Equity,>,686.5
529,700 HK Equity,>,717.0
530,3690 HK Equity,>,376.0
531,3690 HK Equity,>,383.0
532,388 HK Equity,>,522.5
533,388 HK Equity,>,565.0
534,9988 HK Equity,>,233.6
535,9988 HK Equity,>,234.4
536,1810 HK Equity,>,27.55
537,1810 HK Equity,>,28.75
538,1024 HK Equity,>,321.0
539,1024 HK Equity,>,326.0
540,1211 HK Equity,>,216.2
541,1211 HK Equity,>,221.0
542,2269 HK Equity,>,96.95
543,2269 HK Equity,>,106.7
544,2318 HK Equity,>,98.9
545,2318 HK Equity,>,98.7
546,3800 HK Equity,>,3.0
547,3800 HK Equity,>,2.92
548,941 HK Equity,>,54.05
549,941 HK Equity,>,54.75
550,2013 HK Equity,>,24.1
551,2013 HK Equity,>,25.3
552,883 HK Equity,>,9.66
553,883 HK Equity,>,9.9
554,1299 HK Equity,>,100.3
555,1299 HK Equity,>,102.6
556,6969 HK Equity,>,65.1
557,6969 HK Equity,>,68.3
558,175 HK Equity,>,25.55
559,175 HK Equity,>,27.8
560,939 HK Equity,>,6.4
561,939 HK Equity,>,6.45
562,9618 HK Equity,>,363.6
563,9618 HK Equity,>,365.2
564,2899 HK Equity,>,12.14
565,2899 HK Equity,>,13.58
566,5 HK Equity,>,47.65
567,5 HK Equity,>,48.3
568,9922 HK Equity,>,31.65
569,9922 HK Equity,>,32.0
570,981 HK Equity,>,25.35
571,981 HK Equity,>,25.25
572,1398 HK Equity,>,5.29
573,1398 HK Equity,>,5.32
574,9633 HK Equity,>,53.45
575,9633 HK Equity,>,56.8
576,6618 HK Equity,>,143.5
577,6618 HK Equity,>,153.3
578,27 HK Equity,>,77.0
579,27 HK Equity,>,76.25
580,2382 HK Equity,>,196.2
581,2382 HK Equity,>,198.4
582,1177 HK Equity,>,9.05
583,1177 HK Equity,>,9.04
584,3968 HK Equity,>,65.0
585,3968 HK Equity,>,65.0
586,2333 HK Equity,>,22.6
587,2333 HK Equity,>,23.6
588,909 HK Equity,>,45.6
589,909 HK Equity,>,47.05
590,2020 HK Equity,>,121.6
591,2020 HK Equity,>,124.6
592,2601 HK Equity,>,41.35
593,2601 HK Equity,>,42.3
594,2628 HK Equity,>,17.1
595,2628 HK Equity,>,17.06
596,9999 HK Equity,>,168.7
597,9999 HK Equity,>,181.9
598,1772 HK Equity,>,104.3
599,1772 HK Equity,>,113.0
600,968 HK Equity,>,16.5
601,968 HK Equity,>,16.78
602,1109 HK Equity,>,37.05
603,1109 HK Equity,>,37.5
604,3988 HK Equity,>,2.79
605,3988 HK Equity,>,2.79
606,3888 HK Equity,>,55.35
607,3888 HK Equity,>,56.75
608,992 HK Equity,>,10.1
609,992 HK Equity,>,10.46
610,268 HK Equity,>,30.45
611,268 HK Equity,>,31.5
612,1801 HK Equity,>,83.0
613,1801 HK Equity,>,83.95
614,1918 HK Equity,>,34.45
615,1918 HK Equity,>,34.3
616,241 HK Equity,>,26.65
617,241 HK Equity,>,27.6
618,291 HK Equity,>,62.2
619,291 HK Equity,>,63.75
620,1833 HK Equity,>,117.4
621,1833 HK Equity,>,122.5
622,6862 HK Equity,>,66.6
