,Bloomberg Code,symbol,level
0,2330 TT Equity,<,610.0
1,2330 TT Equity,<,625.0
2,2454 TT Equity,<,908.0
3,2454 TT Equity,<,938.0
4,2610 TT Equity,<,12.0
5,2610 TT Equity,<,12.0
6,2317 TT Equity,<,110.5
7,2317 TT Equity,<,114.0
8,8046 TT Equity,<,283.5
9,8046 TT Equity,<,303.0
10,2303 TT Equity,<,54.2
11,2303 TT Equity,<,54.6
12,2409 TT Equity,<,17.9
13,2409 TT Equity,<,18.15
14,2603 TT Equity,<,36.35
15,2603 TT Equity,<,36.75
16,3481 TT Equity,<,16.1
17,3481 TT Equity,<,16.5
18,3034 TT Equity,<,472.5
19,3034 TT Equity,<,509.0
20,2327 TT Equity,<,596.0
21,2327 TT Equity,<,613.0
22,2308 TT Equity,<,283.0
23,2308 TT Equity,<,293.0
24,2609 TT Equity,<,27.55
25,2609 TT Equity,<,28.1
26,2492 TT Equity,<,253.0
27,2492 TT Equity,<,275.0
28,6488 TT Equity,<,740.0
29,6488 TT Equity,<,766.0
30,2337 TT Equity,<,45.65
31,2337 TT Equity,<,46.75
32,2618 TT Equity,<,14.4
33,2618 TT Equity,<,14.7
34,3037 TT Equity,<,95.0
35,3037 TT Equity,<,95.0
36,3008 TT Equity,<,3290.0
37,3008 TT Equity,<,3385.0
38,8299 TT Equity,<,438.0
39,8299 TT Equity,<,468.5
40,6531 TT Equity,<,660.0
41,6531 TT Equity,<,714.0
42,3711 TT Equity,<,103.5
43,3711 TT Equity,<,106.5
44,3552 TT Equity,<,317.0
45,3552 TT Equity,<,317.0
46,3006 TT Equity,<,84.1
47,3006 TT Equity,<,88.7
48,2881 TT Equity,<,49.35
49,2881 TT Equity,<,50.5
50,2882 TT Equity,<,42.5
51,2882 TT Equity,<,42.5
52,2344 TT Equity,<,30.4
53,2344 TT Equity,<,30.6
54,4968 TT Equity,<,548.0
55,4968 TT Equity,<,568.0
56,4976 TT Equity,<,103.5
57,4976 TT Equity,<,116.0
58,1227 TT Equity,<,54.5
59,1227 TT Equity,<,54.5
60,6770 TT Equity,<,73.8
61,6770 TT Equity,<,74.6
62,3105 TT Equity,<,380.0
63,3105 TT Equity,<,401.0
64,4938 TT Equity,<,74.8
65,4938 TT Equity,<,76.0
66,6415 TT Equity,<,2870.0
67,6415 TT Equity,<,2950.0
68,6182 TT Equity,<,43.1
69,6182 TT Equity,<,43.35
70,3661 TT Equity,<,873.0
71,3661 TT Equity,<,881.0
72,2408 TT Equity,<,95.8
73,2408 TT Equity,<,99.4
74,2379 TT Equity,<,461.0
75,2379 TT Equity,<,475.0
76,8016 TT Equity,<,172.5
77,8016 TT Equity,<,175.0
78,3443 TT Equity,<,457.0
79,3443 TT Equity,<,477.0
80,2891 TT Equity,<,20.3
81,2891 TT Equity,<,20.7
82,2357 TT Equity,<,289.5
83,2357 TT Equity,<,302.0
84,2412 TT Equity,<,109.5
85,2412 TT Equity,<,109.5
86,3673 TT Equity,<,44.85
87,3673 TT Equity,<,45.45
88,3324 TT Equity,<,218.0
89,3324 TT Equity,<,219.0
90,1301 TT Equity,<,96.0
91,1301 TT Equity,<,96.0
92,6533 TT Equity,<,464.0
93,6533 TT Equity,<,488.0
94,2456 TT Equity,<,107.0
95,2456 TT Equity,<,107.5
96,2371 TT Equity,<,26.95
97,2371 TT Equity,<,27.15
98,1326 TT Equity,<,84.2
99,1326 TT Equity,<,85.8
100,2377 TT Equity,<,147.0
101,2377 TT Equity,<,155.0
102,2328 TT Equity,<,41.05
103,2328 TT Equity,<,42.1
104,5269 TT Equity,<,1640.0
105,5269 TT Equity,<,1705.0
106,3680 TT Equity,<,342.0
107,3680 TT Equity,<,352.0
108,3545 TT Equity,<,101.0
109,3545 TT Equity,<,106.0
110,3178 TT Equity,<,75.0
111,3178 TT Equity,<,83.8
112,5347 TT Equity,<,117.0
113,5347 TT Equity,<,123.0
114,2353 TT Equity,<,26.7
115,2353 TT Equity,<,27.25
116,6191 TT Equity,<,26.6
117,6191 TT Equity,<,26.75
118,6116 TT Equity,<,13.25
119,6116 TT Equity,<,13.35
120,2884 TT Equity,<,25.05
121,2884 TT Equity,<,25.45
122,2458 TT Equity,<,170.5
123,2458 TT Equity,<,180.5
124,2002 TT Equity,<,24.7
125,2002 TT Equity,<,25.05
126,1303 TT Equity,<,72.0
127,1303 TT Equity,<,73.6
128,4966 TT Equity,<,1255.0
129,4966 TT Equity,<,1255.0
130,1216 TT Equity,<,67.8
131,1216 TT Equity,<,69.6
132,9919 TT Equity,<,28.9
133,9919 TT Equity,<,29.0
134,2383 TT Equity,<,162.5
135,2383 TT Equity,<,167.5
136,1101 TT Equity,<,42.4
137,1101 TT Equity,<,42.45
138,3406 TT Equity,<,493.0
139,3406 TT Equity,<,497.0
140,6679 TT Equity,<,265.5
141,6679 TT Equity,<,290.5
142,3019 TT Equity,<,88.8
143,3019 TT Equity,<,88.8
