,Bloomberg Code,symbol,level
0,2330 TT Equity,<,593.0
1,2303 TT Equity,<,46.55
2,2609 TT Equity,<,28.05
3,2603 TT Equity,<,38.15
4,2454 TT Equity,<,888.0
5,6531 TT Equity,<,679.0
6,4961 TT Equity,<,208.0
7,8046 TT Equity,<,288.0
8,2338 TT Equity,<,44.35
9,3034 TT Equity,<,475.5
10,3661 TT Equity,<,826.0
11,8299 TT Equity,<,470.5
12,2308 TT Equity,<,278.5
13,3105 TT Equity,<,375.0
14,2610 TT Equity,<,13.9
15,6488 TT Equity,<,702.0
16,2331 TT Equity,<,30.4
17,6485 TT Equity,<,103.0
18,4968 TT Equity,<,547.0
19,2344 TT Equity,<,26.8
20,3228 TT Equity,<,378.5
21,3037 TT Equity,<,91.0
22,2409 TT Equity,<,18.3
23,6533 TT Equity,<,470.5
24,6770 TT Equity,<,65.6
25,6237 TT Equity,<,86.3
26,2486 TT Equity,<,21.65
27,1513 TT Equity,<,52.9
28,2408 TT Equity,<,85.5
29,3373 TT Equity,<,85.2
30,2357 TT Equity,<,316.0
31,3006 TT Equity,<,86.0
32,4938 TT Equity,<,70.5
33,3443 TT Equity,<,397.0
34,6443 TT Equity,<,35.15
35,1309 TT Equity,<,39.65
36,3483 TT Equity,<,104.5
37,6244 TT Equity,<,34.8
38,5347 TT Equity,<,99.2
39,3169 TT Equity,<,103.0
40,6547 TT Equity,<,185.0
41,3008 TT Equity,<,3435.0
42,6491 TT Equity,<,318.0
43,2371 TT Equity,<,27.75
44,2376 TT Equity,<,91.7
45,3529 TT Equity,<,760.0
46,3323 TT Equity,<,52.9
47,6582 TT Equity,<,169.5
48,2328 TT Equity,<,40.9
49,2474 TT Equity,<,192.5
50,3406 TT Equity,<,479.0
51,6138 TT Equity,<,105.5
52,2727 TT Equity,<,165.5
53,3576 TT Equity,<,14.05
54,2368 TT Equity,<,56.0
55,1515 TT Equity,<,85.9
56,6415 TT Equity,<,2465.0
57,8086 TT Equity,<,149.0
58,5471 TT Equity,<,85.0
59,3092 TT Equity,<,74.8
60,2615 TT Equity,<,46.6
61,5269 TT Equity,<,1480.0
62,2382 TT Equity,<,85.5
63,6456 TT Equity,<,123.5
64,5871 TT Equity,<,176.0
65,3048 TT Equity,<,25.2
66,2618 TT Equity,<,15.15
67,6669 TT Equity,<,828.0
68,1304 TT Equity,<,23.0
69,3078 TT Equity,<,54.2
70,3707 TT Equity,<,43.85
71,4953 TT Equity,<,94.4
72,9984 JT Equity,<,9989.0
73,9983 JT Equity,<,92400.0
74,4755 JT Equity,<,1113.0
75,8035 JT Equity,<,40610.0
76,6758 JT Equity,<,10915.0
77,7974 JT Equity,<,59660.0
78,7203 JT Equity,<,8062.0
79,8306 JT Equity,<,586.5
80,6981 JT Equity,<,8894.0
81,2413 JT Equity,<,7293.0
82,6861 JT Equity,<,48920.0
83,6367 JT Equity,<,21805.0
84,6594 JT Equity,<,12330.0
85,4063 JT Equity,<,17270.0
86,6954 JT Equity,<,25850.0
87,8316 JT Equity,<,3952.0
88,9433 JT Equity,<,3416.0
89,6178 JT Equity,<,970.5
90,6098 JT Equity,<,4901.0
91,4502 JT Equity,<,3978.0
92,3436 JT Equity,<,2360.0
93,6857 JT Equity,<,8220.0
94,6920 JT Equity,<,11780.0
95,8698 JT Equity,<,844.0
96,4568 JT Equity,<,3156.0
97,6902 JT Equity,<,7030.0
98,4452 JT Equity,<,7033.0
99,7267 JT Equity,<,3182.0
100,8001 JT Equity,<,3397.0
101,8411 JT Equity,<,1581.0
102,6762 JT Equity,<,14730.0
103,8058 JT Equity,<,3121.0
104,4519 JT Equity,<,4403.0
105,8031 JT Equity,<,2323.0
106,6501 JT Equity,<,5215.0
107,9432 JT Equity,<,2795.0
108,9434 JT Equity,<,1440.5
109,6976 JT Equity,<,5220.0
110,4543 JT Equity,<,4054.0
111,7741 JT Equity,<,11805.0
112,8766 JT Equity,<,5540.0
113,4911 JT Equity,<,8038.0
114,6273 JT Equity,<,59940.0
115,2929 JT Equity,<,2582.0
116,2502 JT Equity,<,4815.0
117,6723 JT Equity,<,1134.0
118,8002 JT Equity,<,854.0
119,5713 JT Equity,<,4497.0
120,6971 JT Equity,<,7360.0
121,5020 JT Equity,<,494.0
122,6301 JT Equity,<,3370.0
123,3382 JT Equity,<,4319.0
124,6702 JT Equity,<,15915.0
125,4751 JT Equity,<,6140.0
126,6752 JT Equity,<,1312.0
127,4661 JT Equity,<,16830.0
128,9022 JT Equity,<,17160.0
129,7269 JT Equity,<,4751.0
130,6503 JT Equity,<,1698.0
131,2503 JT Equity,<,2113.0
132,6506 JT Equity,<,5250.0
133,7733 JT Equity,<,2351.0
134,9020 JT Equity,<,8100.0
135,7201 JT Equity,<,598.8
136,9613 JT Equity,<,1729.0
137,8591 JT Equity,<,1835.0
138,5108 JT Equity,<,4341.0
139,6326 JT Equity,<,2424.5
140,9201 JT Equity,<,2473.0
141,5401 JT Equity,<,1782.5
142,6645 JT Equity,<,8530.0
143,4689 JT Equity,<,601.7
144,9735 JT Equity,<,9356.0
145,8053 JT Equity,<,1597.0
146,9202 JT Equity,<,2566.0
147,3659 JT Equity,<,3380.0
148,4507 JT Equity,<,5892.0
149,2914 JT Equity,<,2006.0
150,6988 JT Equity,<,9260.0
151,9101 JT Equity,<,3340.0
152,4901 JT Equity,<,6226.0
153,9501 JT Equity,<,372.0
154,1605 JT Equity,<,799.0
155,7751 JT Equity,<,2346.0
156,7832 JT Equity,<,7848.0
157,4523 JT Equity,<,7352.0
158,7012 JT Equity,<,2532.0
159,8267 JT Equity,<,3111.0
160,7013 JT Equity,<,2088.0
161,6963 JT Equity,<,10210.0
162,9021 JT Equity,<,6520.0
163,9706 JT Equity,<,5000.0
164,7011 JT Equity,<,3287.0
165,7752 JT Equity,<,1155.0
166,8801 JT Equity,<,2484.0
167,7270 JT Equity,<,2112.5
168,8802 JT Equity,<,1874.0
169,9603 JT Equity,<,2161.0
170,8113 JT Equity,<,4463.0
171,005930 KS Equity,<,81600.0
172,064260 KS Equity,<,7770.0
173,000660 KS Equity,<,130500.0
174,068290 KS Equity,<,35350.0
175,036630 KS Equity,<,711.0
176,035420 KS Equity,<,366000.0
177,323990 KS Equity,<,98700.0
178,006400 KS Equity,<,681000.0
179,096040 KS Equity,<,723.0
180,011200 KS Equity,<,20850.0
181,051910 KS Equity,<,886000.0
182,066570 KS Equity,<,143000.0
183,051160 KS Equity,<,18250.0
184,121800 KS Equity,<,12950.0
185,048410 KS Equity,<,46950.0
186,096770 KS Equity,<,237000.0
187,285130 KS Equity,<,276500.0
188,035720 KS Equity,<,457000.0
189,000270 KS Equity,<,82200.0
190,078130 KS Equity,<,4910.0
191,005380 KS Equity,<,229500.0
192,005490 KS Equity,<,295000.0
193,011780 KS Equity,<,204000.0
194,100790 KS Equity,<,6160.0
195,035080 KS Equity,<,4570.0
196,112610 KS Equity,<,62200.0
197,068270 KS Equity,<,287500.0
198,053030 KS Equity,<,14350.0
199,105560 KS Equity,<,50000.0
200,352820 KS Equity,<,198500.0
201,012330 KS Equity,<,289000.0
202,009150 KS Equity,<,183000.0
203,207940 KS Equity,<,690000.0
204,009830 KS Equity,<,41250.0
205,091990 KS Equity,<,122300.0
206,028670 KS Equity,<,5890.0
207,196170 KS Equity,<,115000.0
208,139480 KS Equity,<,177000.0
209,204320 KS Equity,<,58600.0
210,055550 KS Equity,<,34750.0
211,026890 KS Equity,<,10800.0
212,017670 KS Equity,<,252500.0
213,064350 KS Equity,<,19900.0
214,000990 KS Equity,<,51400.0
215,001120 KS Equity,<,27600.0
216,034730 KS Equity,<,250000.0
217,005880 KS Equity,<,3630.0
218,001740 KS Equity,<,5130.0
219,096530 KS Equity,<,127700.0
220,011070 KS Equity,<,204500.0
221,042040 KS Equity,<,2790.0
222,047040 KS Equity,<,5670.0
223,011170 KS Equity,<,299500.0
224,267260 KS Equity,<,18700.0
225,086790 KS Equity,<,40000.0
226,027410 KS Equity,<,5750.0
227,009520 KS Equity,<,8880.0
228,041190 KS Equity,<,4860.0
229,299900 KS Equity,<,9000.0
230,014160 KS Equity,<,2405.0
231,003670 KS Equity,<,151500.0
232,034020 KS Equity,<,10500.0
233,051900 KS Equity,<,1498000.0
234,010060 KS Equity,<,116500.0
235,006280 KS Equity,<,321500.0
236,009540 KS Equity,<,113000.0
237,336260 KS Equity,<,46100.0
238,038880 KS Equity,<,1340.0
239,042420 KS Equity,<,29300.0
240,298020 KS Equity,<,458500.0
