dataDate,dataTime,connectMarket,tradeDirection,buyTurnover,sellTurnover,totalTurnover,netTurnover
20190524,"09:30:01","SH","NB",136835227,57484811,194320038,79350416
20190524,"09:30:01","SZ","NB",39168383,37668078,76836461,1500305
20190524,"09:31:00","SH","NB",306961941,183586974,490548915,123374967
20190524,"09:31:00","SZ","NB",161079751,163968416,325048167,-2888665
20190524,"09:32:00","SH","NB",399067439,241331090,640398529,157736349
20190524,"09:32:00","SZ","NB",246575810,242646604,489222414,3929206
20190524,"09:33:00","SH","NB",636159958,330785803,966945761,305374155
20190524,"09:33:00","SZ","NB",434036341,341960835,775997176,92075506
20190524,"09:34:00","SZ","NB",528542805,518420983,1046963788,10121822
20190524,"09:34:00","SH","NB",730106818,477289394,1207396212,252817424
20190524,"09:35:00","SH","NB",874437705,586499520,1460937225,287938185
20190524,"09:35:00","SZ","NB",668501119,658230857,1326731976,10270262
20190524,"09:36:00","SH","NB",1080293147,663493092,1743786239,416800055
20190524,"09:36:00","SZ","NB",833370265,764268688,1597638953,69101577
20190524,"09:37:00","SZ","NB",958816763,872957329,1831774092,85859434
20190524,"09:37:00","SH","NB",1237466852,744345256,1981812108,493121596
20190524,"09:38:00","SH","NB",1345123515,889610243,2234733758,455513272
20190524,"09:38:00","SZ","NB",1034704949,1059732335,2094437284,-25027386
20190524,"09:39:00","SZ","NB",1225755721,1181447769,2407203490,44307952
20190524,"09:39:00","SH","NB",1529567164,960532070,2490099234,569035094
20190524,"09:40:00","SH","NB",1580365206,1027036381,2607401587,553328825
20190524,"09:40:00","SZ","NB",1294775751,1273299226,2568074977,21476525
20190524,"09:41:00","SH","NB",1653452645,1133590206,2787042851,519862439
20190524,"09:41:00","SZ","NB",1346203711,1404669597,2750873308,-58465886
20190524,"09:42:00","SH","NB",1776279130,1182144926,2958424056,594134204
20190524,"09:42:00","SZ","NB",1449163679,1485301576,2934465255,-36137897
20190524,"09:43:00","SH","NB",1829978428,1253654657,3083633085,576323771
20190524,"09:43:00","SZ","NB",1489574484,1595568370,3085142854,-105993886
20190524,"09:44:00","SH","NB",1878193860,1337134220,3215328080,541059640
20190524,"09:44:00","SZ","NB",1541663446,1710933246,3252596692,-169269800
20190524,"09:45:00","SH","NB",1940219943,1394070676,3334290619,546149267
20190524,"09:45:00","SZ","NB",1584980949,1796776409,3381757358,-211795460
20190524,"09:46:00","SH","NB",1982881095,1462162481,3445043576,520718614
20190524,"09:46:00","SZ","NB",1622519178,1944557668,3567076846,-322038490
20190524,"09:47:00","SH","NB",2037127531,1544525873,3581653404,492601658
20190524,"09:47:00","SZ","NB",1680052957,2066281428,3746334385,-386228471
20190524,"09:48:00","SH","NB",2088689426,1624619193,3713308619,464070233
20190524,"09:48:00","SZ","NB",1726231972,2193078032,3919310004,-466846060
20190524,"09:49:00","SZ","NB",1795817804,2263997615,4059815419,-468179811
20190524,"09:49:00","SH","NB",2148837732,1699304690,3848142422,449533042
20190524,"09:50:00","SH","NB",2261423029,1753599004,4015022033,507824025
20190524,"09:50:00","SZ","NB",1931102027,2331373891,4262475918,-400271864
20190524,"09:51:00","SH","NB",2292497027,1806860227,4099357254,485636800
20190524,"09:51:00","SZ","NB",1972372812,2418032026,4390404838,-445659214
20190524,"09:52:00","SZ","NB",2026107715,2456225606,4482333321,-430117891
20190524,"09:52:00","SH","NB",2343136782,1841175943,4184312725,501960839
20190524,"09:53:00","SH","NB",2420020753,1889910422,4309931175,530110331
20190524,"09:53:00","SZ","NB",2109998847,2496504799,4606503646,-386505952
20190524,"09:54:00","SH","NB",2453907336,1934185599,4388092935,519721737
20190524,"09:54:00","SZ","NB",2149310834,2532638091,4681948925,-383327257
20190524,"09:55:00","SH","NB",2522147241,1975897330,4498044571,546249911
20190524,"09:55:00","SZ","NB",2213241467,2572780322,4786021789,-359538855
20190524,"09:56:00","SH","NB",2690108421,2034591626,4724700047,655516795
20190524,"09:56:00","SZ","NB",2381524143,2635348407,5016872550,-253824264
20190524,"09:57:00","SH","NB",2732927222,2080516491,4813443713,652410731
20190524,"09:57:00","SZ","NB",2418664148,2710435837,5129099985,-291771689
