Date,MSFT US EQUITY,AAPL US EQUITY
2020/1/2,160.62,75.088
2020/1/3,158.62,74.358
2020/1/6,159.03,74.95
2020/1/7,157.58,74.598
2020/1/8,160.09,75.798
2020/1/9,162.09,77.408
2020/1/10,161.34,77.583
2020/1/13,163.28,79.24
2020/1/14,162.13,78.17
2020/1/15,163.18,77.835
2020/1/16,166.17,78.81
2020/1/17,167.1,79.683
2020/1/21,166.5,79.143
2020/1/22,165.7,79.425
2020/1/23,166.72,79.808
2020/1/24,165.04,79.578
2020/1/27,162.28,77.238
2020/1/28,165.46,79.423
2020/1/29,168.04,81.085
2020/1/30,172.78,80.968
2020/1/31,170.23,77.378
2020/2/3,174.38,77.165
2020/2/4,180.12,79.713
2020/2/5,179.9,80.363
2020/2/6,183.63,81.303
2020/2/7,183.89,80.007
2020/2/10,188.7,80.388
2020/2/11,184.44,79.903
2020/2/12,184.71,81.8
2020/2/13,183.71,81.218
2020/2/14,185.35,81.238
2020/2/18,187.23,79.75
2020/2/19,187.28,80.905
2020/2/20,184.42,80.075
2020/2/21,178.59,78.263
2020/2/24,170.89,74.545
2020/2/25,168.07,72.02
2020/2/26,170.17,73.163
2020/2/27,158.18,68.38
2020/2/28,162.01,68.34
2020/3/2,172.79,74.703
2020/3/3,164.51,72.33
2020/3/4,170.55,75.685
2020/3/5,166.27,73.23
2020/3/6,161.57,72.257
2020/3/9,150.62,66.543
2020/3/10,160.92,71.335
2020/3/11,153.63,68.858
2020/3/12,139.06,62.058
2020/3/13,158.83,69.493
2020/3/16,135.42,60.553
2020/3/17,146.57,63.215
2020/3/18,140.4,61.668
2020/3/19,142.71,61.195
2020/3/20,137.35,57.31
2020/3/23,135.98,56.093
2020/3/24,148.34,61.72
2020/3/25,146.92,61.38
2020/3/26,156.11,64.61
2020/3/27,149.7,61.935
2020/3/30,160.23,63.703
2020/3/31,157.71,63.573
2020/4/1,152.11,60.228
2020/4/2,155.26,61.233
2020/4/3,153.83,60.353
2020/4/6,165.27,65.618
2020/4/7,163.49,64.858
2020/4/8,165.13,66.518
2020/4/9,165.14,66.998
2020/4/13,165.51,68.313
2020/4/14,173.7,71.763
2020/4/15,171.88,71.108
2020/4/16,177.04,71.673
2020/4/17,178.6,70.7
2020/4/20,175.06,69.233
2020/4/21,167.82,67.093
2020/4/22,173.52,69.025
2020/4/23,171.42,68.757
2020/4/24,174.55,70.743
2020/4/27,174.05,70.793
2020/4/28,169.81,69.645
2020/4/29,177.43,71.933
2020/4/30,179.21,73.45
2020/5/1,174.57,72.268
2020/5/4,178.84,73.29
2020/5/5,180.76,74.39
2020/5/6,182.54,75.158
2020/5/7,183.6,75.935
2020/5/8,184.68,77.533
2020/5/11,186.74,78.753
2020/5/12,182.51,77.853
2020/5/13,179.75,76.913
2020/5/14,180.53,77.385
2020/5/15,183.16,76.928
2020/5/18,184.91,78.74
2020/5/19,183.63,78.285
2020/5/20,185.66,79.808
2020/5/21,183.43,79.213
2020/5/22,183.51,79.723
2020/5/26,181.57,79.183
2020/5/27,181.81,79.528
2020/5/28,181.4,79.563
2020/5/29,183.25,79.485
2020/6/1,182.83,80.463
2020/6/2,184.91,80.835
2020/6/3,185.36,81.28
2020/6/4,182.92,80.58
2020/6/5,187.2,82.875
2020/6/8,188.36,83.365
2020/6/9,189.8,85.998
2020/6/10,196.84,88.21
2020/6/11,186.27,83.975
2020/6/12,187.74,84.7
2020/6/15,188.94,85.748
2020/6/16,193.57,88.02
2020/6/17,194.24,87.897
2020/6/18,196.32,87.933
2020/6/19,195.15,87.43
2020/6/22,200.57,89.718
2020/6/23,201.91,91.632
2020/6/24,197.84,90.015
2020/6/25,200.34,91.21
2020/6/26,196.33,88.408
2020/6/29,198.44,90.445
2020/6/30,203.51,91.2
2020/7/1,204.7,91.028
2020/7/2,206.26,91.028
2020/7/6,210.7,93.463
2020/7/7,208.25,93.173
2020/7/8,212.83,95.343
2020/7/9,214.32,95.683
2020/7/10,213.67,95.92
2020/7/13,207.07,95.478
2020/7/14,208.35,97.058
2020/7/15,208.04,97.725
2020/7/16,203.92,96.522
2020/7/17,202.88,96.328
2020/7/20,211.6,98.358
2020/7/21,208.75,97
2020/7/22,211.75,97.272
2020/7/23,202.54,92.845
2020/7/24,201.3,92.615
2020/7/27,203.85,94.81
2020/7/28,202.02,93.253
2020/7/29,204.06,95.04
2020/7/30,203.9,96.19
2020/7/31,205.01,106.26
2020/8/3,216.54,108.938
2020/8/4,213.29,109.665
2020/8/5,212.94,110.063
2020/8/6,216.35,113.903
2020/8/7,212.48,111.113
2020/8/10,208.25,112.728
2020/8/11,203.38,109.375
2020/8/12,209.19,113.01
2020/8/13,208.7,115.01
2020/8/14,208.9,114.908
2020/8/17,210.28,114.608
2020/8/18,211.49,115.563
2020/8/19,209.7,115.708
2020/8/20,214.58,118.275
2020/8/21,213.02,124.37
2020/8/24,213.69,125.858
2020/8/25,216.47,124.825
2020/8/26,221.15,126.522
2020/8/27,226.58,125.01
2020/8/28,228.91,124.808
2020/8/31,225.53,129.04
2020/9/1,227.27,134.18
2020/9/2,231.65,131.4
2020/9/3,217.3,120.88
2020/9/4,214.25,120.96
2020/9/8,202.66,112.82
2020/9/9,211.29,117.32
2020/9/10,205.37,113.49
2020/9/11,204.03,112
2020/9/14,205.41,115.355
2020/9/15,208.78,115.54
2020/9/16,205.05,112.13
2020/9/17,202.91,110.34
2020/9/18,200.39,106.84
2020/9/21,202.54,110.08
2020/9/22,207.42,111.81
2020/9/23,200.59,107.12
2020/9/24,203.19,108.22
2020/9/25,207.82,112.28
2020/9/28,209.44,114.96
2020/9/29,207.26,114.09
2020/9/30,210.33,115.81
2020/10/1,212.46,116.79
2020/10/2,206.19,113.02
2020/10/5,210.38,116.5
2020/10/6,205.91,113.16
2020/10/7,209.83,115.08
2020/10/8,210.58,114.97
2020/10/9,215.81,116.97
2020/10/12,221.4,124.4
2020/10/13,222.86,121.1
2020/10/14,220.86,121.19
2020/10/15,219.66,120.71
2020/10/16,219.66,119.02
2020/10/19,214.22,115.98
2020/10/20,214.65,117.51
2020/10/21,214.8,116.87
2020/10/22,214.89,115.75
2020/10/23,216.23,115.04
2020/10/26,210.08,115.05
2020/10/27,213.25,116.6
2020/10/28,202.68,111.2
2020/10/29,204.72,115.32
2020/10/30,202.47,108.86
2020/11/2,202.33,108.77
2020/11/3,206.43,110.44
2020/11/4,216.39,114.95
2020/11/5,223.29,119.03
2020/11/6,223.72,118.69
2020/11/9,218.39,116.32
2020/11/10,211.01,115.97
2020/11/11,216.55,119.49
2020/11/12,215.44,119.21
2020/11/13,216.51,119.26
2020/11/16,217.23,120.3
2020/11/17,214.46,119.39
2020/11/18,211.08,118.03
2020/11/19,212.42,118.64
2020/11/20,210.39,117.34
2020/11/23,210.11,113.85
2020/11/24,213.86,115.17
2020/11/25,213.87,116.03
2020/11/27,215.23,116.59
2020/11/30,214.07,119.05
2020/12/1,216.21,122.72
2020/12/2,215.37,123.08
2020/12/3,214.24,122.94
2020/12/4,214.36,122.25
2020/12/7,214.29,123.75
2020/12/8,216.01,124.38
2020/12/9,211.8,121.78
2020/12/10,210.52,123.24
2020/12/11,213.26,122.41
2020/12/14,214.2,121.78
2020/12/15,214.13,127.88
2020/12/16,219.28,127.81
2020/12/17,219.42,128.7
2020/12/18,218.59,126.655
2020/12/21,222.59,128.23
2020/12/22,223.94,131.88
2020/12/23,221.02,130.96
2020/12/24,222.75,131.97
2020/12/28,224.96,136.69
2020/12/29,224.15,134.87
2020/12/30,221.68,133.72
2020/12/31,222.42,132.69
2021/1/4,217.69,129.41
2021/1/5,217.9,131.01
2021/1/6,212.25,126.6
2021/1/7,218.29,130.92
2021/1/8,219.62,132.05
2021/1/11,217.49,128.98
2021/1/12,214.93,128.8
2021/1/13,216.34,130.89
2021/1/14,213.02,128.91
2021/1/15,212.65,127.14
2021/1/19,216.44,127.83
2021/1/20,224.34,132.03
2021/1/21,224.97,136.87
2021/1/22,225.95,139.07
2021/1/25,229.53,142.92
2021/1/26,232.33,143.16
2021/1/27,232.9,142.06
2021/1/28,238.93,137.09
2021/1/29,231.96,131.96
2021/2/1,239.65,134.14
2021/2/2,239.51,134.99
2021/2/3,243,133.94
2021/2/4,242.01,137.39
2021/2/5,242.2,136.76
2021/2/8,242.47,136.91
2021/2/9,243.77,136.01
2021/2/10,242.82,135.39
2021/2/11,244.49,135.13
2021/2/12,244.99,135.37
2021/2/16,243.7,133.19
2021/2/17,244.2,130.84
2021/2/18,243.79,129.71
2021/2/19,240.97,129.87
2021/2/22,234.51,126
2021/2/23,233.27,125.86
2021/2/24,234.55,125.35
2021/2/25,228.99,120.99
2021/2/26,232.38,121.26
2021/3/1,236.94,127.79
2021/3/2,233.87,125.12
2021/3/3,227.56,122.06
2021/3/4,226.73,120.13
2021/3/5,231.6,121.42
2021/3/8,227.39,116.36
2021/3/9,233.78,121.085
2021/3/10,232.42,119.98
2021/3/11,237.13,121.96
2021/3/12,235.75,121.03
2021/3/15,234.81,123.99
2021/3/16,237.71,125.57
2021/3/17,237.04,124.76
2021/3/18,230.72,120.53
2021/3/19,230.35,119.99
2021/3/22,235.99,123.39
2021/3/23,237.58,122.54
2021/3/24,235.46,120.09
2021/3/25,232.34,120.59
2021/3/26,236.48,121.21
2021/3/29,235.24,121.39
2021/3/30,231.85,119.9
2021/3/31,235.77,122.15
2021/4/1,242.35,123
2021/4/5,249.07,125.9
2021/4/6,247.86,126.21
2021/4/7,249.9,127.9
2021/4/8,253.25,130.36
2021/4/9,255.85,132.995
2021/4/12,255.91,131.24
2021/4/13,258.49,134.43
2021/4/14,255.59,132.03
2021/4/15,259.5,134.5
2021/4/16,260.74,134.16
2021/4/19,258.74,134.84
2021/4/20,258.26,133.11
2021/4/21,260.58,133.5
2021/4/22,257.17,131.94
2021/4/23,261.15,134.32
2021/4/26,261.55,134.72
2021/4/27,261.97,134.39
2021/4/28,254.56,133.58
2021/4/29,252.51,133.48
2021/4/30,252.18,131.46
2021/5/3,251.86,132.54
2021/5/4,247.79,127.85
2021/5/5,246.47,128.1
2021/5/6,249.73,129.74
2021/5/7,252.46,130.21
2021/5/10,247.18,126.85
2021/5/11,246.23,125.91
2021/5/12,239,122.77
2021/5/13,243.03,124.97
2021/5/14,248.15,127.45
2021/5/17,245.18,126.27
2021/5/18,243.08,124.85
2021/5/19,243.12,124.69
2021/5/20,246.48,127.31
2021/5/21,245.17,125.43
2021/5/24,250.78,127.1
2021/5/25,251.72,126.9
2021/5/26,251.49,126.85
2021/5/27,249.31,125.28
2021/5/28,249.68,124.61
2021/6/1,247.4,124.28
2021/6/2,247.3,125.06
2021/6/3,245.71,123.54
2021/6/4,250.79,125.89
2021/6/7,253.81,125.9
2021/6/8,252.57,126.74
2021/6/9,253.59,127.13
