Date,MSFT US EQUITY,AAPL US EQUITY
2010/1/4,30.95,7.643
2010/1/5,30.96,7.656
2010/1/6,30.77,7.535
2010/1/7,30.452,7.521
2010/1/8,30.66,7.571
2010/1/11,30.27,7.504
2010/1/12,30.07,7.419
2010/1/13,30.35,7.523
2010/1/14,30.96,7.48
2010/1/15,30.86,7.355
2010/1/19,31.1,7.68
2010/1/20,30.585,7.562
2010/1/21,30.01,7.431
2010/1/22,28.96,7.063
2010/1/25,29.32,7.253
2010/1/26,29.5,7.355
2010/1/27,29.67,7.424
2010/1/28,29.16,7.118
2010/1/29,28.18,6.859
2010/2/1,28.41,6.955
2010/2/2,28.46,6.995
2010/2/3,28.63,7.115
2010/2/4,27.84,6.859
2010/2/5,28.02,6.981
2010/2/8,27.72,6.933
2010/2/9,28.01,7.007
2010/2/10,27.99,6.968
2010/2/11,28.12,7.095
2010/2/12,27.93,7.156
2010/2/16,28.35,7.264
2010/2/17,28.59,7.234
2010/2/18,28.969,7.247
2010/2/19,28.77,7.203
2010/2/22,28.73,7.158
2010/2/23,28.33,7.038
2010/2/24,28.63,7.166
2010/2/25,28.6,7.214
2010/2/26,28.67,7.308
2010/3/1,29.02,7.464
2010/3/2,28.46,7.459
2010/3/3,28.46,7.476
2010/3/4,28.63,7.525
2010/3/5,28.5875,7.82
2010/3/8,28.63,7.824
2010/3/9,28.8,7.965
2010/3/10,28.97,8.03
2010/3/11,29.18,8.054
2010/3/12,29.27,8.093
2010/3/15,29.29,7.994
2010/3/16,29.37,8.016
2010/3/17,29.63,8.004
2010/3/18,29.61,8.023
2010/3/19,29.59,7.937
2010/3/22,29.6,8.027
2010/3/23,29.88,8.156
2010/3/24,29.65,8.192
2010/3/25,30.01,8.095
2010/3/26,29.66,8.246
2010/3/29,29.59,8.3
2010/3/30,29.77,8.423
2010/3/31,29.2875,8.393
2010/4/1,29.16,8.428
2010/4/5,29.27,8.518
2010/4/6,29.32,8.555
2010/4/7,29.35,8.593
2010/4/8,29.92,8.57
2010/4/9,30.34,8.635
2010/4/12,30.32,8.653
2010/4/13,30.45,8.658
2010/4/14,30.82,8.775
2010/4/15,30.87,8.89
2010/4/16,30.67,8.836
2010/4/19,31.039,8.824
2010/4/20,31.36,8.735
2010/4/21,31.332,9.258
2010/4/22,31.39,9.517
2010/4/23,30.96,9.673
2010/4/26,31.11,9.625
2010/4/27,30.845,9.359
2010/4/28,30.91,9.343
2010/4/29,31.003,9.594
2010/4/30,30.535,9.325
2010/5/3,30.86,9.513
2010/5/4,30.13,9.239
2010/5/5,29.85,9.142
2010/5/6,28.98,8.795
2010/5/7,28.21,8.424
2010/5/10,28.94,9.071
2010/5/11,28.88,9.161
2010/5/12,29.44,9.36
2010/5/13,29.24,9.227
2010/5/14,28.93,9.065
2010/5/17,28.94,9.079
2010/5/18,28.5975,9.013
2010/5/19,28.24,8.869
2010/5/20,27.11,8.491
2010/5/21,26.84,8.654
2010/5/24,26.27,8.813
2010/5/25,26.07,8.758
2010/5/26,25.01,8.718
2010/5/27,26,9.048
2010/5/28,25.8,9.174
2010/6/1,25.89,9.315
2010/6/2,26.46,9.427
2010/6/3,26.86,9.397
2010/6/4,25.79,9.142
2010/6/7,25.29,8.962
2010/6/8,25.11,8.905
2010/6/9,24.79,8.686
2010/6/10,25,8.947
2010/6/11,25.66,9.054
2010/6/14,25.495,9.081
2010/6/15,26.5825,9.275
2010/6/16,26.32,9.545
2010/6/17,26.37,9.71
2010/6/18,26.44,9.788
2010/6/21,25.95,9.649
2010/6/22,25.77,9.78
2010/6/23,25.308,9.678
2010/6/24,25,9.607
2010/6/25,24.5325,9.525
2010/6/28,24.31,9.582
2010/6/29,23.31,9.149
2010/6/30,23.01,8.983
2010/7/1,23.16,8.874
2010/7/2,23.27,8.819
2010/7/6,23.82,8.88
2010/7/7,24.3,9.238
2010/7/8,24.4095,9.218
2010/7/9,24.27,9.272
2010/7/12,24.83,9.189
2010/7/13,25.13,8.993
2010/7/14,25.44,9.026
2010/7/15,25.51,8.98
2010/7/16,24.89,8.925
2010/7/19,25.23,8.771
2010/7/20,25.48,8.996
2010/7/21,25.12,9.08
2010/7/22,25.84,9.251
2010/7/23,25.81,9.284
2010/7/26,26.1,9.26
2010/7/27,26.16,9.431
2010/7/28,25.95,9.32
2010/7/29,26.03,9.218
2010/7/30,25.81,9.188
2010/8/2,26.33,9.352
2010/8/3,26.16,9.355
2010/8/4,25.73,9.392
2010/8/5,25.37,9.346
2010/8/6,25.55,9.289
2010/8/9,25.61,9.348
2010/8/10,25.07,9.265
2010/8/11,24.86,8.935
2010/8/12,24.49,8.993
2010/8/13,24.4,8.896
2010/8/16,24.5,8.844
2010/8/17,24.71,8.999
2010/8/18,24.82,9.038
2010/8/19,24.44,8.924
2010/8/20,24.23,8.916
2010/8/23,24.28,8.779
2010/8/24,24.04,8.569
2010/8/25,24.1,8.675
2010/8/26,23.82,8.581
2010/8/27,23.93,8.629
2010/8/30,23.64,8.661
2010/8/31,23.465,8.682
2010/9/1,23.9,8.94
2010/9/2,23.94,9.006
2010/9/3,24.29,9.242
2010/9/7,23.96,9.208
2010/9/8,23.93,9.39
2010/9/9,24.01,9.395
2010/9/10,23.85,9.408
2010/9/13,25.11,9.537
2010/9/14,25.03,9.574
2010/9/15,25.115,9.651
2010/9/16,25.33,9.878
2010/9/17,25.22,9.835
2010/9/20,25.43,10.115
2010/9/21,25.15,10.135
2010/9/22,24.61,10.277
2010/9/23,24.43,10.319
2010/9/24,24.775,10.44
2010/9/27,24.7325,10.399
2010/9/28,24.6775,10.245
2010/9/29,24.5,10.263
2010/9/30,24.49,10.134
2010/10/1,24.38,10.09
2010/10/4,23.91,9.951
2010/10/5,24.35,10.319
2010/10/6,24.43,10.328
2010/10/7,24.53,10.329
2010/10/8,24.57,10.503
2010/10/11,24.59,10.549
2010/10/12,24.83,10.662
2010/10/13,25.34,10.719
2010/10/14,25.23,10.797
2010/10/15,25.54,11.241
2010/10/18,25.82,11.357
2010/10/19,25.1,11.053
2010/10/20,25.31,11.09
2010/10/21,25.42,11.054
2010/10/22,25.3775,10.981
2010/10/25,25.19,11.03
2010/10/26,25.9,11.002
2010/10/27,26.05,10.994
2010/10/28,26.28,10.901
2010/10/29,26.665,10.749
2010/11/1,26.95,10.864
2010/11/2,27.39,11.049
2010/11/3,27.03,11.171
2010/11/4,27.14,11.367
2010/11/5,26.85,11.326
2010/11/8,26.81,11.379
2010/11/9,26.95,11.289
2010/11/10,26.94,11.358
2010/11/11,26.68,11.309
2010/11/12,26.27,11.001
2010/11/15,26.2,10.966
2010/11/16,25.81,10.771
2010/11/17,25.57,10.732
2010/11/18,25.8375,11.015
2010/11/19,25.69,10.955
2010/11/22,25.73,11.191
2010/11/23,25.12,11.026
2010/11/24,25.37,11.243
2010/11/26,25.34,11.277
2010/11/29,25.31,11.317
2010/11/30,25.2575,11.113
2010/12/1,26.04,11.3
2010/12/2,26.89,11.363
2010/12/3,27.02,11.337
2010/12/6,26.84,11.434
2010/12/7,26.87,11.365
2010/12/8,27.23,11.465
2010/12/9,27.08,11.42
2010/12/10,27.34,11.449
2010/12/13,27.245,11.488
2010/12/14,27.62,11.439
2010/12/15,27.85,11.441
2010/12/16,27.9875,11.473
2010/12/17,27.9025,11.45
2010/12/20,27.81,11.508
2010/12/21,28.07,11.579
2010/12/22,28.1875,11.613
2010/12/23,28.3,11.557
2010/12/27,28.07,11.596
2010/12/28,28.01,11.624
2010/12/29,27.97,11.618
2010/12/30,27.85,11.559
2010/12/31,27.91,11.52
2011/1/3,27.98,11.77
2011/1/4,28.0875,11.832
2011/1/5,28,11.929
2011/1/6,28.82,11.919
2011/1/7,28.6,12.004
2011/1/10,28.22,12.231
2011/1/11,28.11,12.201
2011/1/12,28.55,12.301
2011/1/13,28.19,12.346
2011/1/14,28.3,12.446
2011/1/18,28.66,12.166
2011/1/19,28.47,12.101
2011/1/20,28.3525,11.881
2011/1/21,28.02,11.669
2011/1/24,28.38,12.052
2011/1/25,28.45,12.193
2011/1/26,28.78,12.28
2011/1/27,28.87,12.258
2011/1/28,27.751,12.004
2011/1/31,27.725,12.119
2011/2/1,27.9925,12.323
2011/2/2,27.94,12.297
2011/2/3,27.65,12.266
2011/2/4,27.77,12.375
2011/2/7,28.1975,12.567
2011/2/8,28.2825,12.686
2011/2/9,27.97,12.791
2011/2/10,27.5,12.662
2011/2/11,27.25,12.745
2011/2/14,27.23,12.828
2011/2/15,26.96,12.854
2011/2/16,27.02,12.969
2011/2/17,27.21,12.796
2011/2/18,27.06,12.52
2011/2/22,26.59,12.093
2011/2/23,26.59,12.236
2011/2/24,26.77,12.246
2011/2/25,26.55,12.434
2011/2/28,26.58,12.615
2011/3/1,26.16,12.475
2011/3/2,26.0775,12.576
2011/3/3,26.2,12.841
2011/3/4,25.9525,12.857
2011/3/7,25.72,12.691
2011/3/8,25.91,12.706
2011/3/9,25.89,12.588
2011/3/10,25.41,12.381
2011/3/11,25.68,12.571
2011/3/14,25.69,12.627
2011/3/15,25.39,12.337
2011/3/16,24.79,11.786
2011/3/17,24.78,11.951
2011/3/18,24.8,11.81
2011/3/21,25.33,12.118
2011/3/22,25.295,12.186
2011/3/23,25.54,12.114
2011/3/24,25.81,12.32
2011/3/25,25.62,12.555
2011/3/28,25.41,12.516
2011/3/29,25.49,12.534
2011/3/30,25.61,12.451
2011/3/31,25.39,12.447
2011/4/1,25.48,12.306
2011/4/4,25.55,12.185
2011/4/5,25.78,12.103
2011/4/6,26.15,12.073
2011/4/7,26.2,12.074
2011/4/8,26.07,11.966
2011/4/11,25.98,11.814
2011/4/12,25.64,11.871
2011/4/13,25.63,12.005
2011/4/14,25.42,11.872
2011/4/15,25.37,11.695
2011/4/18,25.08,11.852
2011/4/19,25.15,12.066
2011/4/20,25.76,12.229
2011/4/21,25.52,12.525
2011/4/25,25.61,12.607
2011/4/26,26.19,12.515
2011/4/27,26.38,12.505
2011/4/28,26.71,12.384
2011/4/29,25.92,12.505
2011/5/2,25.66,12.367
2011/5/3,25.81,12.436
2011/5/4,26.06,12.485
2011/5/5,25.79,12.384
2011/5/6,25.87,12.381
2011/5/9,25.83,12.414
2011/5/10,25.67,12.48
2011/5/11,25.36,12.401
2011/5/12,25.32,12.378
2011/5/13,25.03,12.161
2011/5/16,24.57,11.904
2011/5/17,24.52,12.005
2011/5/18,24.69,12.138
2011/5/19,24.715,12.162
2011/5/20,24.49,11.972
2011/5/23,24.17,11.943
2011/5/24,24.15,11.864
2011/5/25,24.19,12.028
2011/5/26,24.67,11.964
2011/5/27,24.76,12.05
2011/5/31,25.01,12.423
2011/6/1,24.43,12.34
2011/6/2,24.22,12.361
2011/6/3,23.905,12.266
2011/6/6,24.01,12.073
2011/6/7,24.06,11.859
2011/6/8,23.94,11.866
2011/6/9,23.96,11.839
2011/6/10,23.705,11.639
2011/6/13,24.04,11.664
2011/6/14,24.22,11.873
2011/6/15,23.74,11.67
2011/6/16,23.995,11.613
2011/6/17,24.26,11.438
2011/6/20,24.47,11.261
2011/6/21,24.76,11.618
2011/6/22,24.65,11.522
2011/6/23,24.63,11.83
2011/6/24,24.3,11.655
2011/6/27,25.2,11.859
2011/6/28,25.8,11.974
2011/6/29,25.62,11.93
2011/6/30,26,11.988
2011/7/1,26.02,12.259
2011/7/5,26.03,12.48
2011/7/6,26.33,12.563
2011/7/7,26.77,12.757
2011/7/8,26.92,12.847
2011/7/11,26.63,12.643
2011/7/12,26.54,12.634
2011/7/13,26.63,12.786
2011/7/14,26.47,12.778
2011/7/15,26.78,13.033
2011/7/18,26.59,13.35
2011/7/19,27.54,13.459
2011/7/20,27.06,13.818
2011/7/21,27.095,13.832
2011/7/22,27.53,14.046
2011/7/25,27.91,14.232
2011/7/26,28.08,14.408
2011/7/27,27.33,14.021
2011/7/28,27.72,13.994
2011/7/29,27.4,13.946
2011/8/1,27.27,14.17
2011/8/2,26.8,13.89
2011/8/3,26.92,14.02
2011/8/4,25.94,13.478
2011/8/5,25.68,13.344
2011/8/8,24.48,12.615
2011/8/9,25.58,13.358
2011/8/10,24.2,12.989
2011/8/11,25.19,13.346
2011/8/12,25.1,13.464
2011/8/15,25.51,13.693
2011/8/16,25.35,13.589
2011/8/17,25.245,13.587
2011/8/18,24.67,13.073
2011/8/19,24.05,12.715
2011/8/22,23.98,12.73
2011/8/23,24.72,13.343
2011/8/24,24.9,13.435
2011/8/25,24.57,13.347
2011/8/26,25.25,13.699
2011/8/29,25.84,13.928
2011/8/30,26.23,13.928
2011/8/31,26.6,13.744
2011/9/1,26.21,13.608
2011/9/2,25.8,13.359
2011/9/6,25.51,13.562
2011/9/7,26,13.712
2011/9/8,26.22,13.719
2011/9/9,25.74,13.481
2011/9/12,25.89,13.569
2011/9/13,26.04,13.736
2011/9/14,26.5,13.904
2011/9/15,26.99,14.034
2011/9/16,27.12,14.304
2011/9/19,27.21,14.701
2011/9/20,26.98,14.766
2011/9/21,25.99,14.719
2011/9/22,25.06,14.351
2011/9/23,25.06,14.439
2011/9/26,25.44,14.399
2011/9/27,25.67,14.259
2011/9/28,25.575,14.179
2011/9/29,25.45,13.949
2011/9/30,24.89,13.619
2011/10/3,24.53,13.379
2011/10/4,25.34,13.304
2011/10/5,25.89,13.509
2011/10/6,26.34,13.478
2011/10/7,26.25,13.207
2011/10/10,26.94,13.886
2011/10/11,27,14.296
2011/10/12,26.96,14.364
2011/10/13,27.18,14.587
2011/10/14,27.27,15.071
2011/10/17,26.98,15
2011/10/18,27.31,15.08
2011/10/19,27.13,14.236
2011/10/20,27.04,14.118
2011/10/21,27.16,14.031
2011/10/24,27.19,14.492
2011/10/25,26.81,14.206
2011/10/26,26.59,14.307
2011/10/27,27.25,14.453
2011/10/28,26.98,14.463
2011/10/31,26.63,14.456
2011/11/1,25.99,14.161
2011/11/2,26.01,14.193
2011/11/3,26.53,14.395
2011/11/4,26.25,14.294
2011/11/7,26.8,14.276
2011/11/8,27.16,14.508
2011/11/9,26.2,14.117
2011/11/10,26.28,13.758
2011/11/11,26.91,13.736
2011/11/14,26.76,13.545
2011/11/15,26.74,13.887
2011/11/16,26.07,13.742
2011/11/17,25.54,13.479
2011/11/18,25.3,13.391
2011/11/21,25,13.179
2011/11/22,24.79,13.447
2011/11/23,24.47,13.107
2011/11/25,24.3,12.985
2011/11/28,24.87,13.433
2011/11/29,24.84,13.329
2011/11/30,25.58,13.65
2011/12/1,25.28,13.855
2011/12/2,25.22,13.918
2011/12/5,25.7,14.036
2011/12/6,25.66,13.963
2011/12/7,25.6,13.896
2011/12/8,25.4,13.952
2011/12/9,25.7,14.058
2011/12/12,25.51,13.994
2011/12/13,25.76,13.886
2011/12/14,25.59,13.578
2011/12/15,25.56,13.534
2011/12/16,26,13.608
2011/12/19,25.53,13.65
2011/12/20,26.025,14.141
2011/12/21,25.76,14.159
2011/12/22,25.81,14.234
2011/12/23,26.03,14.405
2011/12/27,26.04,14.519
2011/12/28,25.82,14.38
2011/12/29,26.02,14.469
2011/12/30,25.96,14.464
2012/1/3,26.765,14.687
2012/1/4,27.4,14.766
2012/1/5,27.68,14.93
2012/1/6,28.105,15.086
2012/1/9,27.74,15.062
2012/1/10,27.84,15.116
2012/1/11,27.72,15.091
2012/1/12,28,15.05
2012/1/13,28.25,14.993
2012/1/17,28.255,15.168
2012/1/18,28.23,15.325
2012/1/19,28.12,15.277
2012/1/20,29.71,15.011
2012/1/23,29.73,15.265
2012/1/24,29.34,15.015
2012/1/25,29.56,15.952
2012/1/26,29.5,15.88
2012/1/27,29.23,15.974
2012/1/30,29.61,16.179
2012/1/31,29.53,16.303
2012/2/1,29.89,16.293
2012/2/2,29.95,16.254
2012/2/3,30.24,16.417
2012/2/6,30.2,16.57
2012/2/7,30.35,16.744
2012/2/8,30.66,17.024
2012/2/9,30.77,17.613
2012/2/10,30.495,17.622
2012/2/13,30.58,17.95
2012/2/14,30.25,18.195
2012/2/15,30.05,17.774
2012/2/16,31.285,17.936
2012/2/17,31.25,17.933
2012/2/21,31.44,18.388
2012/2/22,31.27,18.323
2012/2/23,31.37,18.443
2012/2/24,31.48,18.658
2012/2/27,31.35,18.777
2012/2/28,31.87,19.122
2012/2/29,31.74,19.373
2012/3/1,32.29,19.445
2012/3/2,32.075,19.471
2012/3/5,31.8,19.041
2012/3/6,31.555,18.938
2012/3/7,31.84,18.953
2012/3/8,32.01,19.357
2012/3/9,31.99,19.47
2012/3/12,32.04,19.714
2012/3/13,32.67,20.289
2012/3/14,32.77,21.056
2012/3/15,32.85,20.913
2012/3/16,32.6,20.913
2012/3/19,32.2,21.468
2012/3/20,31.99,21.641
2012/3/21,31.91,21.518
2012/3/22,31.995,21.405
2012/3/23,32.01,21.288
2012/3/26,32.59,21.678
2012/3/27,32.52,21.946
2012/3/28,32.19,22.058
2012/3/29,32.12,21.781
2012/3/30,32.255,21.413
2012/4/2,32.29,22.094
2012/4/3,31.94,22.476
2012/4/4,31.21,22.297
2012/4/5,31.52,22.631
2012/4/9,31.1,22.723
2012/4/10,30.47,22.444
2012/4/11,30.345,22.364
2012/4/12,30.975,22.242
2012/4/13,30.81,21.615
2012/4/16,31.075,20.719
2012/4/17,31.44,21.775
2012/4/18,31.14,21.726
2012/4/19,31.01,20.98
2012/4/20,32.42,20.464
2012/4/23,32.12,20.418
2012/4/24,31.92,20.01
2012/4/25,32.2,21.786
2012/4/26,32.11,21.704
2012/4/27,31.98,21.536
2012/4/30,32.015,20.856
2012/5/1,32.01,20.79
2012/5/2,31.8,20.928
2012/5/3,31.76,20.779
2012/5/4,30.98,20.188
2012/5/7,30.65,20.339
2012/5/8,30.5,20.292
2012/5/9,30.76,20.328
2012/5/10,30.74,20.376
2012/5/11,31.16,20.24
2012/5/14,30.68,19.936
2012/5/15,30.21,19.756
2012/5/16,29.9,19.503
2012/5/17,29.72,18.933
2012/5/18,29.27,18.942
2012/5/21,29.75,20.046
2012/5/22,29.76,19.892
2012/5/23,29.11,20.377
2012/5/24,29.07,20.19
2012/5/25,29.06,20.082
2012/5/29,29.56,20.438
2012/5/30,29.34,20.685
2012/5/31,29.19,20.633
2012/6/1,28.45,20.035
2012/6/4,28.55,20.153
2012/6/5,28.505,20.101
2012/6/6,29.35,20.409
2012/6/7,29.23,20.419
2012/6/8,29.65,20.726
2012/6/11,28.895,20.399
2012/6/12,29.29,20.577
2012/6/13,29.13,20.434
2012/6/14,29.34,20.412
2012/6/15,30.02,20.505
2012/6/18,29.84,20.921
2012/6/19,30.7,20.979
2012/6/20,30.93,20.919
2012/6/21,30.135,20.631
2012/6/22,30.7,20.789
2012/6/25,29.865,20.384
2012/6/26,30.02,20.429
2012/6/27,30.17,20.518
2012/6/28,29.91,20.323
2012/6/29,30.59,20.857
2012/7/2,30.56,21.161
2012/7/3,30.76,21.408
2012/7/5,30.7,21.784
2012/7/6,30.185,21.639
2012/7/9,30,21.925
2012/7/10,29.74,21.722
2012/7/11,29.3,21.587
2012/7/12,28.63,21.389
2012/7/13,29.39,21.606
2012/7/16,29.44,21.675
2012/7/17,29.66,21.676
2012/7/18,30.45,21.652
2012/7/19,30.665,21.94
2012/7/20,30.115,21.582
2012/7/23,29.28,21.565
2012/7/24,29.15,21.461
2012/7/25,28.83,20.535
2012/7/26,29.16,20.531
2012/7/27,29.755,20.899
2012/7/30,29.64,21.251
2012/7/31,29.47,21.813
2012/8/1,29.41,21.672
2012/8/2,29.19,21.707
2012/8/3,29.75,21.989
2012/8/6,29.95,22.234
2012/8/7,30.26,22.176
2012/8/8,30.33,22.138
2012/8/9,30.5,22.169
2012/8/10,30.42,22.204
2012/8/13,30.39,22.5
2012/8/14,30.13,22.56
2012/8/15,30.2,22.53
2012/8/16,30.78,22.726
2012/8/17,30.9,23.147
2012/8/20,30.74,23.755
2012/8/21,30.8,23.431
2012/8/22,30.54,23.888
2012/8/23,30.255,23.665
2012/8/24,30.56,23.687
2012/8/27,30.69,24.131
2012/8/28,30.63,24.1
2012/8/29,30.65,24.052
2012/8/30,30.32,23.71
2012/8/31,30.82,23.759
2012/9/4,30.385,24.106
2012/9/5,30.39,23.937
2012/9/6,31.345,24.153
2012/9/7,30.95,24.301
2012/9/10,30.72,23.669
2012/9/11,30.79,23.593
2012/9/12,30.78,23.921
2012/9/13,30.935,24.392
2012/9/14,31.21,24.689
2012/9/17,31.21,24.992
2012/9/18,31.175,25.068
2012/9/19,31.052,25.075
2012/9/20,31.45,24.954
2012/9/21,31.19,25.003
2012/9/24,30.78,24.671
2012/9/25,30.39,24.055
2012/9/26,30.165,23.756
2012/9/27,30.16,24.333
2012/9/28,29.76,23.825
2012/10/1,29.49,23.55
2012/10/2,29.66,23.618
