Date,8801 JT EQUITY,8802 JT EQUITY
2020/4/1,1878,1562.5
2020/4/2,1818.5,1542
2020/4/3,1836.5,1571
2020/4/6,1937.5,1659.5
2020/4/7,1984.5,1690
2020/4/8,1952,1724
2020/4/9,1907.5,1689.5
2020/4/10,1932,1713
2020/4/13,1891,1701
2020/4/14,1909.5,1749
2020/4/15,1837.5,1752
2020/4/16,1823.5,1704
2020/4/17,1837,1737.5
2020/4/20,1855,1742.5
2020/4/21,1814,1723.5
2020/4/22,1813,1701.5
2020/4/23,1864.5,1712
2020/4/24,1855.5,1687.5
2020/4/27,1955.5,1712.5
2020/4/28,1907,1721.5
2020/4/30,1998,1762.5
2020/5/1,1917,1720.5
2020/5/7,1857,1715
2020/5/8,1896,1781.5
2020/5/11,1996.5,1795.5
2020/5/12,1946,1740
2020/5/13,1950,1720.5
2020/5/14,1920,1731.5
2020/5/15,1906.5,1580
2020/5/18,1927.5,1574.5
2020/5/19,1947.5,1611
2020/5/20,1931.5,1656.5
2020/5/21,1925,1675
2020/5/22,1904.5,1634.5
2020/5/25,1961,1703.5
2020/5/26,2050,1750
2020/5/27,2024.5,1717
2020/5/28,2074.5,1760.5
2020/5/29,2073.5,1713
2020/6/1,2087.5,1732
2020/6/2,2148,1761.5
2020/6/3,2219,1763.5
2020/6/4,2207.5,1746.5
2020/6/5,2269,1786
2020/6/8,2333,1840.5
2020/6/9,2346,1842.5
2020/6/10,2282,1786.5
2020/6/11,2166,1706.5
2020/6/12,2185,1721.5
2020/6/15,2044.5,1648
2020/6/16,2165.5,1716.5
2020/6/17,2136.5,1707
2020/6/18,2106,1693.5
2020/6/19,2070,1664
2020/6/22,2060.5,1652
2020/6/23,2045.5,1665
2020/6/24,2006,1636.5
2020/6/25,1903.5,1584
2020/6/26,1922.5,1606.5
2020/6/29,1885.5,1578
2020/6/30,1909.5,1602.5
2020/7/1,1856,1577.5
2020/7/2,1877.5,1566.5
2020/7/3,1874,1576.5
2020/7/6,1894.5,1596
2020/7/7,1864,1581.5
2020/7/8,1857,1576.5
2020/7/9,1801.5,1545
2020/7/10,1710,1503.5
2020/7/13,1791,1546.5
2020/7/14,1859.5,1575
2020/7/15,1890,1616
2020/7/16,1929,1645.5
2020/7/17,1884.5,1623.5
2020/7/20,1860,1597
2020/7/21,1850,1605
2020/7/22,1827,1592.5
2020/7/27,1813.5,1586
2020/7/28,1753,1560.5
2020/7/29,1739.5,1557.5
2020/7/30,1704,1549
2020/7/31,1648,1519
2020/8/3,1672.5,1556.5
2020/8/4,1738,1600
2020/8/5,1715.5,1600
2020/8/6,1732.5,1570.5
2020/8/7,1770,1575.5
2020/8/11,1912.5,1689
2020/8/12,1896.5,1692.5
2020/8/13,1866,1707
2020/8/14,1809,1668.5
2020/8/17,1802,1668.5
2020/8/18,1805.5,1650
2020/8/19,1874.5,1673
2020/8/20,1836.5,1650
2020/8/21,1852.5,1657.5
2020/8/24,1843.5,1643.5
2020/8/25,1903.5,1689
2020/8/26,1884.5,1663.5
2020/8/27,1832.5,1626.5
2020/8/28,1872,1649
2020/8/31,1920,1661.5
2020/9/1,1879.5,1643.5
2020/9/2,1879,1646
2020/9/3,1892.5,1657.5
2020/9/4,1884,1656
2020/9/7,1926.5,1650.5
2020/9/8,1979,1661.5
2020/9/9,1934,1625
2020/9/10,1977,1652
2020/9/11,1984.5,1659
2020/9/14,2021,1651.5
2020/9/15,2005.5,1621
2020/9/16,1975,1632
2020/9/17,1962.5,1636
2020/9/18,2001,1643
2020/9/23,1949,1618.5
2020/9/24,1886.5,1613
2020/9/25,1866,1632
2020/9/28,1924.5,1655
2020/9/29,1882.5,1631.5
2020/9/30,1826.5,1587
2020/10/2,1851,1598
2020/10/5,1920,1646.5
2020/10/6,1908,1624
2020/10/7,1909,1632
2020/10/8,1914,1661.5
2020/10/9,1861.5,1623
2020/10/12,1889.5,1623.5
2020/10/13,1939.5,1650
2020/10/14,1901.5,1629
2020/10/15,1900.5,1625
2020/10/16,1875,1600
2020/10/19,1915.5,1625
2020/10/20,1887.5,1608.5
2020/10/21,1923,1620.5
2020/10/22,1888,1606
2020/10/23,1881.5,1608
2020/10/26,1893,1600
2020/10/27,1846,1586
2020/10/28,1772,1550
2020/10/29,1795.5,1565
2020/10/30,1774.5,1554
2020/11/2,1840,1602
2020/11/4,1915,1640
2020/11/5,1936.5,1654.5
2020/11/6,1855,1625
2020/11/9,1846,1666.5
2020/11/10,2064,1773.5
2020/11/11,2167.5,1863
2020/11/12,2101,1772
2020/11/13,1998,1718.5
2020/11/16,2129.5,1762
2020/11/17,2164.5,1790
2020/11/18,2162.5,1785
2020/11/19,2181.5,1789.5
2020/11/20,2178.5,1796
2020/11/24,2237.5,1850
2020/11/25,2269.5,1845.5
2020/11/26,2259.5,1849
2020/11/27,2302,1862
2020/11/30,2181.5,1804
2020/12/1,2240.5,1833
2020/12/2,2262.5,1853
2020/12/3,2323,1829.5
2020/12/4,2271,1800
2020/12/7,2240,1778
2020/12/8,2221.5,1750.5
2020/12/9,2236,1753
2020/12/10,2256.5,1757.5
2020/12/11,2252.5,1744.5
2020/12/14,2268,1744
2020/12/15,2265.5,1738
2020/12/16,2304,1737
2020/12/17,2283,1697.5
2020/12/18,2269.5,1638
2020/12/21,2171.5,1649
2020/12/22,2139.5,1607.5
2020/12/23,2115.5,1617.5
2020/12/24,2120.5,1627
2020/12/25,2153.5,1630
2020/12/28,2141.5,1622
2020/12/29,2184,1677
2020/12/30,2158.5,1657
2021/1/4,2089.5,1640.5
2021/1/5,2053,1630
2021/1/6,2108,1651.5
2021/1/7,2136.5,1677
2021/1/8,2104.5,1679
2021/1/12,2074.5,1669.5
2021/1/13,2065,1657.5
2021/1/14,2082,1670.5
2021/1/15,2063,1667
2021/1/18,2031,1648.5
2021/1/19,2073,1651
2021/1/20,2044,1645.5
2021/1/21,2046,1652.5
2021/1/22,2036,1620
2021/1/25,2054.5,1645.5
2021/1/26,2058,1649
2021/1/27,2110,1670.5
2021/1/28,2050,1648.5
2021/1/29,2118.5,1652
2021/2/1,2120,1663.5
2021/2/2,2143,1679
2021/2/3,2234,1758.5
2021/2/4,2261,1729
2021/2/5,2355.5,1744.5
2021/2/8,2407,1830
2021/2/9,2384.5,1822
2021/2/10,2368,1818
2021/2/12,2421.5,1850
2021/2/15,2434.5,1885.5
2021/2/16,2482,1896.5
2021/2/17,2451.5,1863
2021/2/18,2400,1863
2021/2/19,2370,1837.5
2021/2/22,2395,1849.5
2021/2/24,2501,1893
2021/2/25,2493,1917
2021/2/26,2400,1838
2021/3/1,2459,1861
2021/3/2,2470.5,1845.5
2021/3/3,2488,1855
2021/3/4,2505,1875
2021/3/5,2452,1819.5
2021/3/8,2479,1827.5
2021/3/9,2592.5,1900.5
2021/3/10,2575.5,1906
2021/3/11,2536.5,1880
2021/3/12,2526.5,1893.5
2021/3/15,2561,1898
2021/3/16,2629.5,1927
2021/3/17,2633.5,1951.5
2021/3/18,2607,1945
2021/3/19,2671.5,1969
2021/3/22,2634,1951
2021/3/23,2588.5,1931.5
2021/3/24,2495.5,1920.5
2021/3/25,2518,1958
2021/3/26,2571.5,1994.5
2021/3/29,2581,2006.5
2021/3/30,2569.5,1993.5
2021/3/31,2513.5,1932.5
2021/4/1,2510,1928.5
2021/4/2,2480,1928
2021/4/5,2493.5,1940.5
2021/4/6,2465,1923
2021/4/7,2492.5,1950.5
2021/4/8,2454.5,1929.5
2021/4/9,2437.5,1905
2021/4/12,2463,1923
2021/4/13,2460,1917
2021/4/14,2447.5,1901.5
