Date,IBM US EQUITY,ABC US EQUITY
2016/4/1,152.52,86.51
2016/4/4,152.07,87.16
2016/4/5,150,85.69
2016/4/6,150.02,87.54
2016/4/7,148.25,86.66
2016/4/8,149.35,85.31
2016/4/11,149.25,84.44
2016/4/12,149.63,84.9
2016/4/13,151.23,85.17
2016/4/14,151.16,86.7
2016/4/15,151.72,87.83
2016/4/18,152.53,88.66
2016/4/19,144,89.49
2016/4/20,146.11,91.86
2016/4/21,149.3,91.83
2016/4/22,148.5,91.89
2016/4/25,148.81,91.51
2016/4/26,149.08,91.28
2016/4/27,150.47,90.64
2016/4/28,147.07,86.42
2016/4/29,145.94,85.1
2016/5/2,145.27,85.23
2016/5/3,144.13,85.48
2016/5/4,144.25,84.29
2016/5/5,146.47,78
2016/5/6,147.29,76.52
2016/5/9,147.34,77.37
2016/5/10,149.97,76.68
2016/5/11,148.95,75.76
2016/5/12,148.84,74.78
2016/5/13,147.72,73.66
2016/5/16,149.46,74.59
2016/5/17,148,74.53
2016/5/18,147.34,75.15
2016/5/19,144.93,75.05
2016/5/20,147.25,74.82
2016/5/23,146.77,73.94
2016/5/24,148.31,74.34
2016/5/25,151.69,74.04
2016/5/26,152.44,73.69
2016/5/27,152.84,74.03
2016/5/31,153.74,74.98
2016/6/1,152.51,75.64
2016/6/2,153.5,77.08
2016/6/3,152.89,76.54
2016/6/6,152.73,76.45
2016/6/7,153.33,76.22
2016/6/8,154,76.25
2016/6/9,153.42,76.17
2016/6/10,152.37,76.46
2016/6/13,151.28,76.41
2016/6/14,151.06,75.51
2016/6/15,150.68,76.12
2016/6/16,151.06,76
2016/6/17,151.99,75.7
2016/6/20,153.61,76.37
2016/6/21,154.05,76.57
2016/6/22,152.92,77.13
2016/6/23,155.35,77.55
2016/6/24,146.59,75.44
2016/6/27,143.5,73.85
2016/6/28,145.7,75.32
2016/6/29,148.46,77.26
2016/6/30,151.78,79.32
2016/7/1,152.35,80.16
2016/7/5,151.68,80.36
2016/7/6,152.37,81.19
2016/7/7,152.6,80.99
2016/7/8,154.46,81.92
2016/7/11,155.33,82.18
2016/7/12,157.04,84.18
2016/7/13,158.02,84.93
2016/7/14,160.28,85.95
2016/7/15,159.78,85.55
2016/7/18,159.86,86.03
2016/7/19,159.58,85.92
2016/7/20,161.36,86.64
2016/7/21,160.45,85.81
2016/7/22,162.07,85.86
2016/7/25,162.65,85.41
2016/7/26,162.12,85.71
2016/7/27,161.83,85.42
2016/7/28,161.37,84.82
2016/7/29,160.62,85.19
2016/8/1,161.45,85.54
2016/8/2,160.58,89.43
2016/8/3,160.67,89.89
2016/8/4,161.55,88.98
2016/8/5,163.5,89.35
2016/8/8,162.04,88.67
2016/8/9,161.77,88.62
2016/8/10,162.08,87.9
2016/8/11,163.53,88.95
2016/8/12,161.95,88.91
2016/8/15,161.88,89.39
2016/8/16,160.7,89.46
2016/8/17,160.44,88.94
2016/8/18,161.36,88.97
2016/8/19,160.04,88.85
2016/8/22,160,88.75
2016/8/23,160.26,88.99
2016/8/24,159.05,88.39
2016/8/25,158.63,85.51
2016/8/26,158.32,85.75
2016/8/29,159.72,86.31
2016/8/30,159.4,86.04
2016/8/31,158.88,86.97
2016/9/1,159.54,87.15
2016/9/2,159.55,87.44
2016/9/6,160.35,87.63
2016/9/7,161.64,87.75
2016/9/8,159,87.27
2016/9/9,155.69,85.31
2016/9/12,158.29,86.95
2016/9/13,155.81,85.25
2016/9/14,154.05,83.85
2016/9/15,155.66,84.2
2016/9/16,153.84,84.11
2016/9/19,154.87,83.26
2016/9/20,154.45,82.08
2016/9/21,155.53,83.02
2016/9/22,156.11,83.59
2016/9/23,154.98,83.33
2016/9/26,153.98,82.72
2016/9/27,156.77,83.25
2016/9/28,158.29,83.2
2016/9/29,158.11,81.25
2016/9/30,158.85,80.78
2016/10/3,157.61,80.12
2016/10/4,156.46,80.53
2016/10/5,157.08,80.03
2016/10/6,156.88,80.14
2016/10/7,155.67,79.39
2016/10/10,157.02,79.64
2016/10/11,154.79,79.61
2016/10/12,154.29,80.61
2016/10/13,153.72,80.38
2016/10/14,154.45,79.79
2016/10/17,154.77,79.74
2016/10/18,150.72,81.09
2016/10/19,151.26,80.35
2016/10/20,151.52,80.74
2016/10/21,149.63,80.02
2016/10/24,150.57,80.04
2016/10/25,150.88,80.39
2016/10/26,151.81,79.37
2016/10/27,153.35,79.5
2016/10/28,152.61,69.14
2016/10/31,153.69,70.32
2016/11/1,152.79,69.79
2016/11/2,151.95,75.96
2016/11/3,152.37,72.32
2016/11/4,152.43,70.47
2016/11/7,155.72,71.93
2016/11/8,155.17,69.03
2016/11/9,154.81,75.61
2016/11/10,160.22,79.59
2016/11/11,161.27,78.92
2016/11/14,158.21,81.33
2016/11/15,158.67,79.53
2016/11/16,159.29,78.86
2016/11/17,159.8,80.16
2016/11/18,160.39,79.21
2016/11/21,162.77,78.45
2016/11/22,162.67,78.41
2016/11/23,161.98,78.7
2016/11/25,163.14,78.57
2016/11/28,164.52,79.05
2016/11/29,163.53,77.63
2016/11/30,162.22,77.99
2016/12/1,159.82,77.8
2016/12/2,160.02,78.8
2016/12/5,159.84,79.54
2016/12/6,160.35,78.87
2016/12/7,164.79,76.38
2016/12/8,165.36,76.88
