Date,601318 CH EQUITY,2318 HK EQUITY
2010/1/4,26.945,33.75
2010/1/5,27.285,35
2010/1/6,26.705,35.375
2010/1/7,26.21,35.05
2010/1/8,26.055,34.95
2010/1/11,26.185,35.575
2010/1/12,26.43,35.5
2010/1/13,25.16,33.75
2010/1/14,25.49,33.475
2010/1/15,25.54,33.425
2010/1/18,25.165,33.525
2010/1/19,25.29,33.8
2010/1/20,24.48,33.025
2010/1/21,24.965,31.9
2010/1/22,24.985,31.35
2010/1/25,24.875,31.25
2010/1/26,24.32,29.65
2010/1/27,23.805,29.6
2010/1/28,23.395,30
2010/1/29,23.235,30.4
2010/2/1,23.925,30.775
2010/2/2,23.725,30.575
2010/2/3,24.915,31.425
2010/2/4,24.65,31
2010/2/5,24.035,29.7
2010/2/8,24.045,29.2
2010/2/9,24.365,29.6
2010/2/10,25.01,30.2
2010/2/11,24.95,31.175
2010/2/12,25.04,30.65
2010/2/22,24.54,30.45
2010/2/23,22.36,29.85
2010/2/24,22.305,29.525
2010/2/25,22.61,29.075
2010/2/26,22.51,29.6
2010/3/1,23.35,30.425
2010/3/2,23.29,30.6
2010/3/3,23.21,30.425
2010/3/4,22.53,30.1
2010/3/5,22.745,29.975
2010/3/8,23.08,30.925
2010/3/9,23.525,31.825
2010/3/10,23.62,32.075
2010/3/11,23.5,32.125
2010/3/12,23.325,32.3
2010/3/15,22.805,31.925
2010/3/16,22.83,31.875
2010/3/17,24.16,32.875
2010/3/18,24,32.675
2010/3/19,24.23,32.775
2010/3/22,24.195,32.025
2010/3/23,23.835,31.9
2010/3/24,23.935,32.325
2010/3/25,23.6,31.9
2010/3/26,24.12,32.275
2010/3/29,25.12,33.05
2010/3/30,25.42,33.75
2010/3/31,25.2,33.45
2010/4/1,25.635,34.175
2010/4/7,25.415,34.55
2010/4/8,24.84,34.45
2010/4/9,25.35,34.675
2010/4/12,24.96,34.025
2010/4/13,25.945,34.8
2010/4/14,26.11,34.825
2010/4/15,26.265,34.575
2010/4/16,25.545,34.175
2010/4/19,24.605,33.65
2010/4/20,25.31,34.525
2010/4/21,26.01,34.4
2010/4/22,25.885,34.6
2010/4/23,25.885,33.9
2010/4/26,25.345,34.475
2010/4/27,24.82,33.85
2010/4/28,24.495,33.1
2010/4/29,24.23,32.35
2010/4/30,24.7,33.925
2010/5/4,24.65,32.8
