,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig
ticker,600000,600009,600016,600028,600030,600031,600036,600048,600050,600104,600196,600276,600309,600340,600519,600547,600570,600585,600690,600703,600745,600837,600887,600918,601012,601066,601088,601111,601138,601166,601186,601211,601236,601288,601318,601319,601328,601336,601390,601398,601601,601628,601658,601668,601688,601766,601816,601818,601857,601888,601939,601988,601989,603160,603259,603501,603986,603993
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-31,,,1.0,1.0,,,,,,,,-1.0,1.0,-1.0,,,,,,,,-1.0,,,,,,,,1.0,,,,,,,,,-1.0,,,,,,,,,,-1.0,,,,1.0,,,,,
2010-09-30,,,-1.0,-1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,-1.0,,,,1.0,,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,
2010-10-29,,-1.0,,,1.0,,,,,,,,,,-1.0,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,-1.0,,,1.0,,-1.0,,,,,,,-1.0,,,,,,,
2010-11-30,,-1.0,,,,,,,,,-1.0,,1.0,-1.0,,,,1.0,,,,,1.0,,,,-1.0,,,,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,1.0,,,,,
2010-12-30,,,-1.0,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,-1.0,,,,,1.0,,,,,,,,-1.0,,,,,-1.0,,,,,,,,,-1.0,,,,,,,,,
2011-01-31,,-1.0,,,1.0,,,1.0,1.0,,,,,,-1.0,1.0,,,,1.0,,,-1.0,,,,,,,-1.0,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,
2011-02-28,,,,-1.0,-1.0,,,,,,-1.0,,1.0,,,,,-1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,-1.0,,,,,,,,,,
2011-03-31,,-1.0,-1.0,1.0,,-1.0,,,,,-1.0,1.0,,,,,,,,,,,,,,,-1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
2011-04-29,,,1.0,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,-1.0,,,-1.0,,,,-1.0,,,-1.0,,,,1.0,,,,,
2011-05-31,,,1.0,,-1.0,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,1.0,,,,,-1.0,1.0,1.0,,,,,,1.0,,,,,,
2011-06-30,,,1.0,,1.0,,,-1.0,-1.0,,-1.0,,,1.0,,,,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
2011-07-29,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,-1.0,-1.0,,,,-1.0,,1.0,-1.0,,,,,,
2011-08-31,,,1.0,,,,,,,,,-1.0,,1.0,,,,,,,,-1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,-1.0,,,-1.0,,,,1.0,-1.0,,,,,
2011-09-30,,,,,1.0,-1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,-1.0,,1.0,,,,,,,,-1.0,,,-1.0,-1.0,1.0,,,,,,,,
2011-10-31,,,,1.0,,,,,,,1.0,,-1.0,,,,,,,,,,1.0,,,,-1.0,,,,,,,1.0,,,,,,,,,,-1.0,,1.0,,,-1.0,,,,-1.0,,,,,
2011-11-30,,,1.0,,,,,,,-1.0,-1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,1.0,,,,,,1.0,-1.0,1.0,,,-1.0,,,,,,,,1.0,,,,,
2011-12-29,,1.0,,,-1.0,,,,,,,-1.0,1.0,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-1.0,,1.0,1.0,,,,,
2012-01-31,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,-1.0,,,,,,,,,,,,1.0,,-1.0,,,,,,,,,-1.0,,,,,-1.0,-1.0,1.0,,,,,
2012-02-29,1.0,,,,-1.0,,,,,,,,,,-1.0,,,-1.0,,,,,1.0,,,,,,,1.0,,,,,-1.0,,,,,,,,,1.0,-1.0,,,,,,,1.0,,,,,,
2012-03-30,,1.0,,,1.0,-1.0,,,-1.0,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,,,,-1.0,,,,1.0,,,,,,,,,
2012-04-27,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,-1.0,1.0,,,,-1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,-1.0,,,,,
2012-05-31,,,1.0,,-1.0,,,1.0,,,,,-1.0,,1.0,,,,,,,-1.0,,,,,,,,,-1.0,,,1.0,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,
2012-06-29,,,,-1.0,1.0,,,,,,,,1.0,-1.0,-1.0,,,,,,,1.0,,,,,1.0,,,,,,,-1.0,,,,,,,,,,-1.0,1.0,,,,,,,,,,,,,
2012-07-31,-1.0,1.0,,,,,,,,,,,,-1.0,1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,-1.0,,,,,-1.0,,,,,
2012-08-31,,-1.0,,1.0,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,-1.0,1.0,,,,,,,1.0,,,,,,,,,,-1.0,,,,,,,1.0,-1.0,,,,,
2012-09-28,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,-1.0,,,,1.0,,,-1.0,-1.0,,,,1.0,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,
2012-10-31,,,,,1.0,-1.0,,,-1.0,,,1.0,,,,-1.0,,,-1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,-1.0,,,1.0,,,,,
2012-11-30,,,,,,,,1.0,,-1.0,,-1.0,,,-1.0,,,,,,,,1.0,,,,,,,-1.0,,,,,-1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,
