x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
指数-SP500-DR,9.60,-33.92,-22.30,33.62,10.62,8,9,17.18,0.62,286,1.10,11.92,20.98,0.56,54.64
指数增强-SP500-DR,18.40,-26.67,-5.43,43.76,17.79,13,9,16.22,1.12,123,1.04,18.22,26.88,1.13,55.66
long-short-SP500-DR,7.76,-4.55,-3.07,23.89,6.54,15,11,4.04,1.87,339,0.26,6.27,10.56,1.92,56.89
指数-SP500-ETE,9.60,-33.92,-22.30,33.62,10.62,8,9,17.18,0.62,286,1.10,11.92,20.98,0.56,54.64
指数增强-SP500-ETE,18.62,-26.21,-10.73,38.99,17.90,9,9,16.17,1.14,121,1.04,18.44,26.44,1.15,55.87
long-short-SP500-ETE,7.95,-3.39,-0.08,23.74,6.61,13,11,4.24,1.82,182,0.27,5.87,11.15,1.87,55.00
指数-as51-DR,3.28,-36.53,-27.34,50.33,3.75,10,8,15.30,0.29,661,0.98,4.93,16.13,0.21,53.40
指数增强-as51-DR,11.82,-29.86,-16.51,62.87,11.95,11,7,14.70,0.83,374,0.94,12.69,24.67,0.80,54.53
long-short-as51-DR,8.12,-5.90,1.65,19.82,7.82,11,9,3.22,2.44,109,0.21,7.31,12.87,2.52,59.78
指数-as51-ETE,3.28,-36.53,-27.34,50.33,3.75,10,8,15.30,0.29,661,0.98,4.93,16.13,0.21,53.40
指数增强-as51-ETE,8.98,-28.74,-16.82,53.68,9.33,10,9,14.78,0.66,432,0.95,9.50,22.81,0.61,54.42
long-short-as51-ETE,5.38,-6.03,0.75,13.92,5.30,11,8,3.22,1.65,170,0.21,4.49,9.30,1.67,56.11
指数-csi300-csi300-DR,4.53,-46.70,-42.53,147.77,8.41,12,9,22.58,0.31,1360,1.45,4.83,38.42,0.20,51.75
指数增强-csi300-csi300-DR,24.96,-35.06,-20.76,226.63,30.18,13,9,22.75,1.09,499,1.46,20.17,80.22,1.10,53.13
long-short-csi300-csi300-DR,19.32,-5.25,3.14,51.49,19.55,13,7,6.52,2.75,131,0.42,17.19,35.60,2.97,59.57
指数-csi300-csi300-ETE,4.53,-46.70,-42.53,147.77,8.41,12,9,22.58,0.31,1360,1.45,4.83,38.42,0.20,51.75
指数增强-csi300-csi300-ETE,22.22,-32.02,-17.42,239.15,28.55,12,10,22.49,1.01,441,1.44,19.35,94.15,0.99,52.27
long-short-csi300-csi300-ETE,16.63,-4.20,0.63,55.37,17.61,11,12,6.71,2.33,146,0.43,13.47,41.04,2.48,54.66
指数-csi500-csi300-DR,2.12,-65.20,-50.23,197.63,7.70,10,8,26.00,0.21,891,1.66,1.97,39.93,0.08,53.65
指数增强-csi500-csi300-DR,21.09,-39.54,-33.31,297.97,28.33,9,8,25.72,0.87,929,1.65,14.19,77.29,0.82,53.30
long-short-csi500-csi300-DR,17.86,-10.34,-8.77,62.88,17.87,13,12,10.19,1.66,311,0.65,15.57,41.66,1.75,52.36
指数-csi500-csi300-ETE,2.12,-65.20,-50.23,197.63,7.70,10,8,26.00,0.21,891,1.66,1.97,39.93,0.08,53.65
指数增强-csi500-csi300-ETE,18.93,-41.18,-31.37,308.23,28.31,9,8,25.64,0.81,1114,1.64,17.22,78.01,0.74,53.50
