x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S21分组结果-LR-全市场,13.10,-16.71,-13.21,50.33,13.63,14,12,8.29,1.53,350,0.53,8.68,40.94,1.58,54.20
S21分组结果-LR-中证500,9.92,-18.14,-15.26,56.28,7.83,11,9,9.63,1.03,111,0.62,4.67,24.15,1.03,50.89
S21分组结果-LR-沪深300,-1.32,-37.56,-25.39,25.14,-0.68,12,9,11.22,-0.06,228,0.72,-1.22,13.18,-0.12,49.05
S21分组结果-LR-中证500-M2,10.17,-25.99,-21.34,52.53,9.21,11,11,10.44,0.98,254,0.67,4.74,33.73,0.97,51.60
S21分组结果-LR-沪深300-M2,0.27,-54.42,-31.83,45.72,-0.56,12,11,12.96,0.09,70,0.83,-4.50,31.80,0.02,49.64
S21分组结果-RF-全市场,6.45,-6.09,-3.00,21.61,7.22,21,13,3.81,1.66,198,0.24,5.71,15.25,1.69,53.25
S21分组结果-RF-中证500,3.58,-12.19,-9.67,21.28,4.69,9,8,5.96,0.62,839,0.38,6.47,12.82,0.60,50.30
S21分组结果-RF-沪深300,-0.48,-23.71,-18.01,21.68,1.09,8,9,7.55,-0.03,247,0.48,1.44,12.56,-0.06,49.82
S21分组结果-RF-中证500-M2,7.22,-9.73,-6.92,32.87,6.39,12,10,6.48,1.11,81,0.41,1.82,23.95,1.11,51.83
S21分组结果-RF-沪深300-M2,-0.86,-23.38,-20.50,16.41,-1.36,9,14,7.86,-0.07,18,0.50,-1.34,8.95,-0.11,50.53
S21分组结果-LogiR-全市场,12.48,-14.26,-11.08,44.09,13.13,13,11,7.60,1.59,312,0.49,9.64,34.74,1.64,53.96
S21分组结果-LogiR-中证500,9.65,-14.22,-9.60,38.16,7.98,11,9,9.56,1.01,702,0.61,6.44,24.01,1.01,52.49
S21分组结果-LogiR-沪深300,2.92,-29.76,-19.97,51.07,4.43,13,14,11.55,0.31,989,0.74,3.68,23.72,0.25,50.53
S21分组结果-LogiR-中证500-M2,10.03,-16.24,-13.21,43.27,9.08,11,7,9.63,1.04,97,0.62,3.93,30.51,1.04,52.19
S21分组结果-LogiR-沪深300-M2,2.91,-42.76,-27.33,45.65,2.15,10,9,11.80,0.30,61,0.76,-0.51,28.65,0.25,50.30
S21分组结果-NB-全市场,14.52,-10.87,-6.39,44.66,15.68,13,10,7.37,1.88,243,0.47,12.78,35.43,1.97,55.56
S21分组结果-NB-中证500,9.48,-15.10,-6.50,35.91,8.03,13,8,9.73,0.98,285,0.62,5.70,20.34,0.97,53.02
S21分组结果-NB-沪深300,1.95,-37.48,-20.14,35.61,3.12,10,8,11.08,0.23,128,0.71,-0.19,25.49,0.18,49.35
S21分组结果-NB-中证500-M2,12.93,-17.94,-12.44,51.08,13.37,11,13,9.38,1.34,117,0.60,7.54,35.48,1.38,52.72
S21分组结果-NB-沪深300-M2,4.58,-45.87,-27.54,57.88,4.86,10,10,11.44,0.45,155,0.73,-2.11,37.37,0.40,51.51
S21分组结果-XGB-全市场,11.98,-9.14,-6.34,39.34,12.90,12,11,6.68,1.73,245,0.43,10.28,32.63,1.79,53.96
S21分组结果-XGB-中证500,4.42,-18.46,-10.12,26.82,2.61,15,8,7.50,0.61,984,0.48,0.08,14.49,0.59,51.36
S21分组结果-XGB-沪深300,0.29,-24.35,-14.22,27.96,1.34,9,10,9.20,0.08,927,0.59,1.45,12.17,0.03,51.39
S21分组结果-XGB-中证500-M2,8.00,-22.73,-16.36,36.20,6.95,11,7,8.66,0.93,137,0.55,2.82,27.29,0.92,51.95
S21分组结果-XGB-沪深300-M2,-1.07,-43.64,-22.63,50.12,-0.17,8,9,9.82,-0.06,203,0.63,-5.84,26.54,-0.11,49.64
S21分组结果-SGD-全市场,9.24,-15.70,-14.03,41.71,10.06,12,10,7.07,1.29,829,0.45,6.37,27.88,1.31,52.84
S21分组结果-SGD-中证500,0.30,-20.18,-16.07,24.76,0.96,10,8,9.02,0.08,907,0.58,-1.81,17.59,0.03,49.88
S21分组结果-SGD-沪深300,4.19,-15.00,-12.70,28.87,5.87,13,9,10.30,0.45,475,0.66,6.20,19.11,0.41,50.41
S21分组结果-SGD-中证500-M2,4.24,-21.33,-12.62,34.01,3.13,9,8,9.44,0.49,186,0.60,-0.63,23.23,0.45,50.53
S21分组结果-SGD-沪深300-M2,0.09,-31.87,-28.83,40.32,0.86,10,9,10.28,0.06,166,0.66,-1.64,19.42,0.01,49.76
S21分组结果-XGB_R-全市场,12.31,-9.51,-6.20,43.18,13.09,14,15,7.35,1.62,198,0.47,9.15,29.95,1.68,52.54
S21分组结果-XGB_R-中证500,6.82,-24.07,-14.02,53.43,5.80,11,11,9.54,0.74,80,0.61,0.01,29.69,0.71,50.62
S21分组结果-XGB_R-沪深300,-5.16,-47.31,-25.21,30.37,-5.87,8,11,10.43,-0.46,110,0.67,-8.68,7.41,-0.49,47.25
S21分组结果-XGB_R-中证500-M2,6.06,-16.68,-14.11,45.16,6.15,10,9,9.84,0.65,280,0.63,3.85,22.23,0.62,52.01
S21分组结果-XGB_R-沪深300-M2,-2.22,-39.95,-26.33,17.60,-4.65,10,9,11.00,-0.15,237,0.70,-3.74,8.18,-0.20,49.53
