x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
理想反转-全市场,17.10,-6.27,7.38,27.38,17.98,11,12,6.01,2.66,57,0.38,18.49,22.39,2.84,55.48
理想反转-中证500,6.63,-10.59,-7.64,29.37,7.92,9,11,7.17,0.93,267,0.46,6.18,20.26,0.92,51.73
理想反转-沪深300,5.88,-15.76,-9.99,20.43,6.20,9,10,7.25,0.82,217,0.46,6.97,13.97,0.81,53.41
聪明钱-全市场,10.90,-6.62,-4.76,50.43,12.17,12,13,5.16,2.03,144,0.33,7.21,38.68,2.11,55.17
聪明钱-中证500,9.42,-18.08,-12.58,44.89,10.33,10,8,6.81,1.36,132,0.44,9.17,32.17,1.38,55.17
聪明钱-沪深300,7.89,-16.65,-9.68,56.90,9.35,14,9,7.39,1.06,498,0.47,2.48,39.51,1.07,53.25
APM-全市场,11.78,-7.31,0.37,27.85,12.51,13,8,4.83,2.33,172,0.31,12.43,20.45,2.44,57.80
APM-中证500,9.47,-13.42,-10.39,33.69,10.23,13,9,6.24,1.48,443,0.40,12.22,19.58,1.52,54.49
APM-沪深300,10.19,-8.88,-5.68,27.40,8.72,15,8,7.16,1.39,343,0.46,8.19,19.51,1.42,54.80
S32综合因子-全市场,21.53,-6.53,1.94,48.15,23.51,24,8,5.19,3.79,67,0.33,24.15,39.50,4.15,59.40
S32综合因子-中证500,13.02,-10.81,-8.73,61.68,14.98,11,10,6.63,1.88,104,0.42,13.07,43.44,1.96,53.72
S32综合因子-沪深300,12.48,-17.02,-9.85,37.33,13.52,19,15,6.83,1.76,89,0.44,14.44,27.41,1.83,55.89
