sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
多空-弹簧策略-上证综指,16.05,-14.24,-11.78,62.94,18.55,12,15,7.60,2.00,360,0.49,11.76,49.43,2.11,54.12
多空-弹簧策略-沪深300,4.78,-13.82,-8.08,23.64,4.36,13,8,4.72,1.01,581,0.30,4.04,13.55,1.01,53.65
多空-弹簧策略-中证500,6.24,-17.30,-14.40,26.34,6.22,14,11,5.37,1.15,420,0.34,5.66,20.43,1.16,53.84
多空-弹簧策略-A股市场,23.34,-20.10,-15.48,119.91,27.76,13,10,8.34,2.56,202,0.53,18.81,77.79,2.80,57.20
多空-动量上涨加减速-上证综指,15.48,-17.31,-11.78,85.26,15.80,11,10,11.45,1.31,192,0.73,9.05,54.10,1.35,52.82
多空-动量上涨加减速-沪深300,9.33,-27.39,-24.54,85.69,9.00,14,11,15.96,0.64,611,1.02,4.49,39.65,0.58,52.03
多空-动量上涨加减速-中证500,7.76,-25.31,-14.73,99.24,9.54,11,9,12.92,0.64,1581,0.83,5.34,27.98,0.60,51.49
多空-动量上涨加减速-A股市场,11.74,-15.04,-11.50,61.37,11.90,15,12,9.24,1.25,231,0.59,7.79,32.58,1.27,53.61
多空-动量下跌加减速-上证综指,6.95,-27.08,-16.55,78.89,8.14,13,12,12.14,0.61,401,0.78,6.11,19.12,0.57,52.41
多空-动量下跌加减速-沪深300,2.32,-43.37,-29.49,54.88,3.55,11,12,15.94,0.22,814,1.02,2.94,25.66,0.15,50.38
多空-动量下跌加减速-中证500,6.18,-33.07,-24.77,42.48,7.87,13,10,14.04,0.50,494,0.90,6.81,28.75,0.44,51.84
多空-动量下跌加减速-A股市场,9.28,-27.66,-12.91,72.25,10.41,14,12,9.59,0.97,545,0.61,5.82,24.47,0.97,54.30
