x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
hsce,6.05,-4.82,-2.20,16.07,6.46,11,8,3.80,1.57,256,0.24,6.17,11.36,1.59,54.75
US,5.51,-4.00,0.38,13.81,5.36,12,8,2.46,2.19,108,0.16,5.23,7.48,2.24,59.14
HK,5.38,-4.42,-1.23,12.96,5.56,10,9,3.19,1.66,209,0.20,5.65,8.90,1.69,54.39
forex-day,1.16,-0.65,0.05,2.75,1.18,7,8,0.58,1.98,202,0.04,1.12,2.14,1.99,56.13
as51,4.49,-1.55,0.95,8.99,4.65,12,8,1.52,2.91,107,0.10,4.65,6.62,2.96,57.03
topix,5.16,-2.69,-0.48,11.07,5.24,15,8,1.64,3.07,152,0.11,5.23,8.07,3.14,58.25
twse,3.86,-1.70,-0.01,9.58,3.74,12,10,1.19,3.19,151,0.08,3.74,5.50,3.24,59.14
hk-ggt,6.46,-3.87,-0.81,14.13,6.62,13,8,2.89,2.18,222,0.18,6.39,10.76,2.24,57.90
kosdaq,10.56,-2.86,5.33,21.07,10.43,19,7,2.15,4.68,60,0.14,10.37,13.46,4.91,64.40
kospi,8.71,-2.38,-0.64,26.26,8.27,13,8,2.60,3.22,70,0.17,7.46,11.82,3.35,57.04
msci,5.25,-4.15,-1.74,11.39,5.05,17,9,2.40,2.14,224,0.15,5.52,7.85,2.19,55.43
ndx,6.14,-3.04,-1.18,12.99,6.12,10,8,2.55,2.35,102,0.16,6.06,9.64,2.41,56.96
nifty,7.80,-2.74,-0.31,22.10,7.81,13,10,3.20,2.37,142,0.20,6.85,15.62,2.44,55.48
nky,6.05,-5.61,-4.97,16.42,6.11,12,11,3.51,1.69,305,0.22,5.78,12.26,1.72,52.29
RTY,6.26,-3.61,0.64,21.60,6.04,14,6,2.55,2.39,94,0.16,5.31,9.45,2.45,57.62
set50,5.78,-2.58,0.77,17.10,5.74,13,6,2.70,2.09,112,0.17,5.53,9.00,2.14,54.39
sx5e,4.58,-4.20,-2.44,14.51,4.40,9,8,3.24,1.40,352,0.21,4.15,8.90,1.42,54.79
ukx,4.88,-3.53,-1.41,10.53,4.77,11,11,2.80,1.71,124,0.18,4.82,7.89,1.74,55.42
xin9i,8.12,-8.03,-1.49,24.76,8.35,10,11,4.27,1.85,301,0.27,6.77,15.02,1.90,52.75
全市场,7.31,-5.01,-3.85,28.59,7.78,12,9,3.69,1.93,185,0.24,7.04,14.78,1.98,57.71
中证500,8.49,-4.99,-2.36,33.09,8.98,12,8,4.01,2.05,184,0.26,7.45,15.38,2.11,57.02
沪深300,9.35,-5.41,-1.98,28.90,9.84,11,7,3.94,2.29,269,0.25,8.42,17.74,2.37,57.23
中证1000,8.03,-4.47,-3.08,30.85,8.71,14,8,3.82,2.04,135,0.24,8.45,17.27,2.10,57.50
