x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
H000001,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
成交量择时,9.82,-19.36,-17.77,67.91,11.80,10,6,13.10,0.78,896,0.84,10.36,33.33,0.75,43.40
牛熊增强,9.70,-19.88,-14.69,64.09,11.72,6,3,11.27,0.88,894,0.72,8.61,34.78,0.86,60.36
RSRS牛熊增强,14.28,-15.95,-11.10,104.46,17.58,10,4,12.49,1.13,383,0.80,9.47,59.81,1.14,58.88
H000300,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
成交量择时,8.11,-23.48,-19.50,58.21,10.69,10,9,13.30,0.65,582,0.85,9.74,26.74,0.61,40.75
牛熊增强,12.35,-27.83,-20.93,80.13,14.18,8,3,12.17,1.02,914,0.78,11.43,35.94,1.01,60.62
RSRS牛熊增强,8.07,-29.66,-25.45,78.72,10.75,10,4,13.49,0.64,1244,0.86,9.90,27.72,0.60,55.59
H000905,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
成交量择时,9.05,-33.23,-32.41,74.64,11.73,7,6,15.38,0.64,1150,0.98,9.17,31.74,0.59,42.38
牛熊增强,11.72,-29.02,-28.18,56.14,12.90,7,3,12.62,0.94,906,0.81,14.60,25.92,0.93,61.31
RSRS牛熊增强,11.71,-21.52,-15.21,95.85,15.26,7,5,13.12,0.91,457,0.84,7.08,61.71,0.89,58.58
H399006,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
成交量择时,13.53,-33.17,-22.24,83.79,17.38,9,8,19.53,0.75,915,1.25,12.34,49.29,0.69,42.55
牛熊增强,14.74,-30.82,-22.19,85.43,18.67,9,5,16.84,0.90,912,1.08,11.63,52.94,0.88,55.84
RSRS牛熊增强,9.69,-47.70,-37.59,95.67,11.04,8,6,19.12,0.58,1242,1.22,7.01,39.31,0.51,53.23
