x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S57lasso-上证综指股票池-long-short,61.23,-26.36,-3.46,221.92,64.83,11,9,23.42,2.16,151,1.50,56.04,119.41,2.61,55.63
S57lasso-500股票池-long-short,27.93,-20.16,-15.30,139.00,31.27,10,12,18.82,1.40,354,1.20,24.38,78.97,1.48,53.16
S57lasso-300股票池-long-short,0.62,-47.46,-26.89,66.84,3.18,8,10,17.65,0.12,377,1.13,-3.09,35.53,0.04,49.02
S57adaboost-上证综指股票池-long-short,62.85,-37.79,-28.39,214.79,72.97,16,11,22.61,2.27,281,1.45,75.64,123.71,2.78,56.54
S57adaboost-500股票池-long-short,15.14,-52.41,-47.53,88.00,18.16,12,10,19.65,0.82,673,1.26,19.04,56.58,0.77,51.77
S57adaboost-300股票池-long-short,11.40,-40.43,-29.38,119.34,13.11,14,10,19.56,0.65,491,1.25,11.07,38.56,0.58,50.60
S57adaboost-week-上证综指股票池-long-short,46.52,-40.08,-32.61,179.16,58.21,11,11,24.02,1.71,148,1.54,54.14,119.65,1.94,56.12
S57adaboost-week-500股票池-long-short,8.60,-64.19,-59.76,100.16,17.09,12,12,21.15,0.50,788,1.35,23.86,56.30,0.41,51.91
S57adaboost-week-300股票池-long-short,4.65,-44.86,-25.38,120.02,10.45,10,14,18.93,0.33,531,1.21,4.35,37.98,0.25,50.09
