x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
v-high-全部-long-short,14.36,-19.82,-17.70,50.50,15.44,10,12,13.16,1.09,406,0.84,16.57,30.11,1.09,50.80
v-high-上证综指股票池-long-short,15.46,-18.10,-8.11,49.18,16.99,10,12,13.05,1.17,252,0.84,18.06,30.54,1.18,50.07
v-high-500股票池-long-short,8.37,-31.18,-24.90,69.85,10.93,9,12,13.15,0.68,363,0.84,10.28,34.60,0.64,50.18
v-high-300股票池-long-short,2.04,-49.85,-36.10,44.64,4.80,10,13,16.60,0.20,397,1.06,8.80,22.08,0.12,49.63
v-low-全部-long-short,-5.47,-58.00,-32.94,31.28,-5.53,11,13,13.92,-0.33,35,0.89,-6.68,14.17,-0.39,46.02
v-low-上证综指股票池-long-short,-3.44,-48.20,-29.31,33.32,-3.04,9,16,13.78,-0.19,35,0.88,-5.57,19.11,-0.25,45.47
v-low-500股票池-long-short,-5.60,-56.88,-33.09,21.99,-5.12,9,11,13.35,-0.37,67,0.85,-4.63,7.75,-0.42,47.70
v-low-300股票池-long-short,-11.54,-79.35,-45.76,23.58,-9.33,8,16,17.27,-0.62,37,1.11,-8.39,8.72,-0.67,45.87
v-sp-全部-long-short,20.83,-8.93,-0.08,66.52,21.50,14,8,7.71,2.50,141,0.49,18.70,34.61,2.70,56.98
v-sp-上证综指股票池-long-short,19.73,-12.17,-1.02,73.15,20.77,11,10,8.35,2.20,185,0.53,19.64,31.52,2.36,55.66
v-sp-500股票池-long-short,13.51,-11.89,-3.71,63.65,14.83,11,10,9.42,1.39,175,0.60,12.35,27.13,1.43,54.38
v-sp-300股票池-long-short,9.23,-23.96,-14.00,53.85,10.78,10,8,12.59,0.76,367,0.81,9.55,22.50,0.73,52.21
ref000001,6.77,-52.30,-45.16,49.73,1.30,11,7,22.59,0.40,30,1.45,4.03,20.11,0.30,54.20
lo000001,12.31,-10.64,-4.69,53.26,10.07,7,5,10.59,1.15,539,0.68,6.37,22.03,1.16,58.52
ls000001,12.19,-22.07,-22.06,134.19,13.86,7,7,18.22,0.72,737,1.17,2.97,66.10,0.67,51.76
ref000300,12.36,-46.70,-42.52,51.61,7.50,12,8,23.79,0.61,1360,1.52,10.70,31.08,0.52,53.77
lo000300,10.36,-14.96,-12.60,40.59,7.13,12,5,11.55,0.91,734,0.74,5.63,20.91,0.90,55.49
ls000300,8.16,-32.96,-21.81,92.46,7.24,12,7,18.62,0.51,111,1.19,2.18,33.33,0.44,50.56
ref000905,5.23,-65.20,-50.23,56.09,1.35,9,7,27.36,0.32,24,1.75,0.24,28.18,0.19,54.29
lo000905,19.77,-12.36,-6.41,88.54,18.97,9,6,10.62,1.75,634,0.68,17.46,45.61,1.86,63.03
ls000905,24.43,-24.72,-17.60,269.02,33.29,9,6,21.70,1.12,667,1.39,10.81,167.74,1.13,52.49
refAS51,3.64,-22.75,-20.17,29.99,3.49,14,8,13.41,0.33,717,0.86,4.59,14.97,0.27,52.80
loAS51,2.40,-11.08,-6.73,14.76,2.05,6,6,5.46,0.46,1315,0.35,0.94,7.44,0.44,54.24
lsAS51,1.31,-28.68,-14.62,35.38,1.87,6,10,9.14,0.19,408,0.59,-1.19,15.85,0.14,50.09
refHSCEI,-0.76,-75.54,-75.29,159.47,0.53,19,12,29.52,0.12,24,1.89,-0.26,22.86,-0.03,50.32
loHSCEI,7.10,-28.19,-22.29,52.94,5.51,7,9,12.41,0.61,1235,0.79,3.66,24.00,0.57,53.41
lsHSCEI,4.36,-54.13,-42.01,61.45,3.78,7,11,20.65,0.31,3041,1.32,1.63,23.42,0.21,52.25
refTOPIX,10.32,-35.31,-22.99,59.24,5.72,12,8,16.58,0.68,741,1.06,4.90,24.85,0.62,53.64
loTOPIX,5.55,-10.72,-5.74,20.16,6.07,5,7,7.44,0.76,533,0.48,4.55,13.37,0.75,54.25
lsTOPIX,1.76,-20.73,-19.71,34.16,5.63,5,7,13.48,0.20,598,0.86,5.37,17.63,0.13,49.83
refnky,11.62,-31.80,-27.79,82.55,13.11,17,7,20.32,0.64,590,1.30,11.79,41.29,0.57,53.11
lonky,7.19,-15.54,-14.80,32.41,7.45,8,4,9.57,0.77,727,0.61,7.89,17.88,0.75,53.28
lsnky,3.55,-45.71,-34.53,42.97,5.07,8,7,15.43,0.30,253,0.99,7.30,23.87,0.23,51.04
