x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
down-mean-全市场-long-short,10.03,-13.41,-4.24,25.33,10.42,15,9,4.48,2.16,245,0.29,10.05,17.27,2.24,56.49
down-mean-800股票池-long-short,5.56,-17.26,-10.59,21.58,5.42,10,15,5.74,0.97,244,0.37,4.95,17.34,0.97,52.50
down-mean-300股票池-long-short,5.54,-18.22,-11.23,35.15,5.78,12,11,7.63,0.75,217,0.49,4.95,19.00,0.73,51.93
down-mean-500股票池-long-short,5.69,-17.86,-14.74,26.17,5.54,14,10,6.22,0.92,420,0.40,5.68,15.11,0.92,52.59
publ-全市场-long-short,13.54,-5.15,0.71,40.06,13.97,12,13,4.36,2.94,133,0.28,12.65,23.95,3.11,57.68
publ-800股票池-long-short,7.90,-11.42,-10.85,40.94,8.26,11,13,5.49,1.41,479,0.35,8.36,18.25,1.44,52.51
publ-300股票池-long-short,4.83,-18.66,-14.75,41.68,5.76,10,10,7.61,0.66,433,0.49,6.09,14.36,0.63,52.61
publ-500股票池-long-short,9.56,-10.67,-9.33,41.06,9.67,15,12,6.28,1.49,266,0.40,8.84,19.96,1.52,53.66
ubl-全市场-long-short,15.76,-6.40,1.46,45.42,16.24,19,8,5.16,2.86,118,0.33,14.28,25.15,3.05,57.55
ubl-800股票池-long-short,10.08,-9.61,-7.20,40.21,10.09,10,9,5.94,1.65,275,0.38,9.74,19.40,1.70,54.49
ubl-300股票池-long-short,8.93,-19.06,-18.23,51.70,9.70,10,9,7.75,1.14,160,0.50,9.08,20.01,1.15,54.36
ubl-500股票池-long-short,11.11,-11.26,-6.21,39.48,10.84,16,11,6.91,1.56,248,0.44,10.19,21.19,1.61,54.32
up-std-全市场-long-short,9.71,-3.37,2.21,23.98,10.27,16,9,3.85,2.43,158,0.25,9.67,16.47,2.52,57.22
up-std-800股票池-long-short,8.29,-3.92,-1.46,21.90,8.26,12,9,4.73,1.71,280,0.30,8.01,12.98,1.75,55.49
up-std-300股票池-long-short,6.77,-12.64,-12.33,38.41,7.86,10,14,7.01,0.97,413,0.45,6.48,18.94,0.96,52.08
up-std-500股票池-long-short,10.18,-7.31,-5.99,23.63,9.79,11,9,5.76,1.71,295,0.37,9.62,17.81,1.77,54.91
wlm-down-mean-全市场-long-short,14.24,-6.11,-2.27,48.54,14.68,15,9,5.75,2.35,108,0.37,12.73,25.57,2.48,57.15
wlm-down-mean-800股票池-long-short,6.55,-14.78,-10.72,31.82,6.69,13,14,6.72,0.98,185,0.43,8.53,14.87,0.97,51.90
wlm-down-mean-300股票池-long-short,4.76,-16.73,-14.29,27.79,5.12,12,10,8.53,0.59,486,0.55,6.55,13.46,0.56,51.10
wlm-down-mean-500股票池-long-short,7.85,-17.73,-15.27,36.51,8.25,18,16,7.43,1.06,234,0.48,8.87,19.33,1.06,52.66
wlm-up-std-全市场-long-short,7.74,-5.36,-1.31,21.79,8.00,14,11,4.03,1.87,299,0.26,6.93,16.66,1.92,54.42
wlm-up-std-800股票池-long-short,3.74,-11.42,-7.91,21.27,4.13,13,11,5.21,0.73,833,0.33,3.15,13.02,0.72,51.78
wlm-up-std-300股票池-long-short,3.79,-18.30,-16.81,26.60,5.07,11,10,7.48,0.53,876,0.48,3.49,18.12,0.51,51.96
wlm-up-std-500股票池-long-short,4.03,-10.69,-9.73,21.24,4.32,11,11,5.99,0.69,764,0.38,3.66,13.46,0.67,51.63
S73P2-beta,41.37,-40.75,-38.42,294.81,55.73,8,8,28.96,1.35,73,4.10,37.22,205.83,1.43,59.76
S73P2-csad,23.19,-30.89,-24.88,191.02,25.57,15,4,22.63,1.04,138,3.20,13.03,67.21,1.02,59.47
S73P2-cssd,31.45,-47.92,-47.92,272.54,43.18,9,3,26.51,1.17,75,3.75,25.26,160.03,1.19,58.72
S73P2-mix1,33.73,-44.71,-43.39,273.54,41.46,9,8,27.91,1.19,122,3.95,37.01,114.63,1.21,58.68
S73P2-mix2,32.23,-47.01,-45.53,265.53,39.73,8,8,28.02,1.14,139,3.96,35.65,116.15,1.15,58.40
S73P2-beta_cssd,42.79,-42.31,-41.35,273.93,55.94,9,8,28.33,1.40,72,4.01,41.52,190.89,1.51,59.94
