x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S21~LR_沪深300~成交量择时,12.01,-16.26,-11.17,109.22,14.78,7,4,11.33,1.06,324,0.73,5.13,43.72,1.06,59.58
S22~S22f01~成交量择时,9.13,-30.64,-18.74,88.53,11.27,7,4,14.65,0.67,1015,0.94,8.77,37.20,0.62,55.33
S32~S32f04~成交量择时,9.43,-19.01,-13.33,100.60,11.70,7,4,11.68,0.83,473,0.75,1.39,40.36,0.81,55.26
S33~S33f08~成交量择时,3.53,-17.82,-14.01,41.04,3.75,6,5,8.01,0.47,729,0.51,0.00,23.05,0.44,53.24
S36~S36f06~成交量择时,8.16,-21.09,-15.31,79.86,9.76,7,5,12.19,0.70,791,0.78,0.00,33.68,0.67,53.86
S39~1~成交量择时,14.53,-15.31,-10.55,96.49,16.29,8,4,12.49,1.15,343,0.80,14.33,37.29,1.16,57.09
S46~s46_f1~成交量择时,9.04,-18.21,-13.50,87.33,10.85,8,4,11.94,0.79,729,0.76,0.28,35.52,0.76,56.43
S57~adaboost~牛熊增强,9.44,-17.55,-11.10,88.85,11.97,7,5,11.31,0.85,730,0.72,2.56,34.75,0.83,55.04
S66~v_sp~成交量择时,11.83,-24.66,-14.63,82.29,13.87,7,5,13.54,0.89,920,0.87,13.62,35.76,0.87,54.50
S73P1~ubl~成交量择时,11.44,-19.78,-16.23,88.35,14.37,6,4,13.22,0.89,983,0.85,11.02,36.91,0.87,55.58
S75P1~mom_residual~成交量择时,11.45,-32.51,-24.65,102.83,13.92,6,7,14.70,0.81,1122,0.94,10.03,36.02,0.78,55.08
S75P2~1d_20d~成交量择时,14.85,-22.29,-18.08,112.59,18.13,7,4,15.81,0.95,723,1.01,12.75,53.34,0.94,54.72
000300综合,10.56,-16.96,-13.56,83.24,12.45,9,4,11.24,0.95,789,0.72,7.37,33.99,0.94,55.96
S21~NB_中证500~RSRS牛熊增强,7.91,-31.98,-26.40,105.72,10.73,7,5,11.72,0.71,1091,0.75,0.00,40.10,0.67,57.19
S22~S22f03~成交量择时,4.94,-48.30,-33.36,101.50,6.85,8,4,17.88,0.36,1108,1.14,1.31,38.80,0.28,54.61
S32~S32f04~longonly,13.96,-52.93,-39.98,302.95,19.79,10,7,24.83,0.65,110,1.59,7.39,58.17,0.56,56.12
S33~S33f04~longonly,2.17,-43.33,-40.20,57.76,2.87,9,9,16.42,0.21,781,1.05,0.00,29.29,0.13,54.16
S36~S36f02~成交量择时,6.64,-44.44,-33.17,99.69,8.99,6,4,14.67,0.51,1108,0.94,0.00,40.61,0.45,55.21
S39~3~成交量择时,10.55,-46.06,-34.39,119.35,12.42,9,5,16.57,0.69,269,1.06,10.76,37.85,0.64,56.84
S46~s46_f1~成交量择时,9.24,-39.99,-33.67,126.85,12.75,7,4,14.60,0.68,1003,0.93,1.49,45.74,0.63,56.62
S57~adaboost~longonly,16.11,-46.24,-33.74,253.09,22.48,12,9,25.75,0.71,517,1.65,14.23,63.01,0.63,56.16
S66~v_sp~成交量择时,10.22,-43.28,-32.78,101.83,12.07,8,5,16.54,0.67,1093,1.06,9.78,41.70,0.62,56.60
S73P1~up_std~成交量择时,10.10,-39.89,-31.25,113.16,11.93,8,4,16.41,0.67,1093,1.05,8.18,41.41,0.62,56.47
S75P1~mom_residual~成交量择时,5.13,-50.14,-37.54,76.40,6.96,8,5,17.51,0.37,357,1.12,6.14,34.02,0.29,55.91
S75P2~1d_20d~成交量择时,11.41,-51.56,-36.48,129.98,13.74,7,4,17.95,0.69,1131,1.15,6.81,54.39,0.64,55.70
000905综合,9.58,-40.24,-33.95,116.24,11.77,10,8,14.59,0.70,1103,0.93,6.10,40.13,0.66,56.61
S22~S22f03~牛熊增强,8.04,-30.82,-17.08,81.61,9.20,7,5,15.35,0.58,1105,0.98,5.07,29.83,0.52,57.92
S32~S32f01~成交量择时,12.21,-29.80,-24.99,109.08,15.37,8,4,15.11,0.84,894,0.97,3.60,50.25,0.81,59.40
S33~S33f04~成交量择时,3.47,-25.86,-24.95,56.07,4.54,7,4,8.95,0.43,444,0.57,0.00,29.42,0.39,56.49
S36~S36f08~成交量择时,9.03,-34.21,-29.58,88.45,11.42,8,5,15.13,0.65,992,0.97,2.51,43.15,0.60,57.79
S39~1~成交量择时,15.94,-21.70,-18.92,139.72,18.63,10,4,14.45,1.10,356,0.93,11.10,42.56,1.10,59.15
S46~s46_f1~成交量择时,13.50,-27.22,-22.75,106.00,16.62,10,4,14.97,0.92,357,0.96,6.41,51.16,0.90,60.46
S66~v_high~成交量择时,12.71,-23.12,-21.49,102.04,14.29,8,4,14.25,0.91,356,0.91,10.55,34.93,0.89,58.74
S73P1~publ~成交量择时,13.06,-29.53,-24.89,100.29,15.62,8,6,16.30,0.84,893,1.04,11.11,44.59,0.80,57.77
S73P2~beta~成交量择时,12.04,-31.79,-27.84,106.10,14.64,7,5,15.99,0.79,779,1.02,0.40,54.76,0.75,56.67
S75P1~mom_residual~牛熊增强,10.37,-25.33,-13.68,81.59,11.71,11,5,13.96,0.78,1005,0.89,9.23,32.24,0.74,59.93
S75P2~1d_20d~成交量择时,9.90,-48.69,-32.19,109.64,11.95,8,5,17.09,0.64,1222,1.09,8.42,43.46,0.58,57.95
A综合,11.12,-27.59,-22.73,88.09,12.94,8,4,13.32,0.86,894,0.85,6.70,40.79,0.83,58.76
