x1,x2,x3,x4,x5
ZJIH,交易日期,开仓时间,开仓点位,开仓方向
ZJIH,2021/4/29,11:30,3494.6,空
ZJIH,2021/4/30,11:30,3510,多
ZJIH,2021/5/6,11:30,3438.4,多
ZJIH,2021/5/7,11:30,3454.2,空
ZJIH,2021/5/10,11:30,3393.4,空
ZJIH,2021/5/11,11:30,3407.8,多
ZJIH,2021/5/12,11:30,3429.8,空
ZJIH,2021/5/13,11:30,3405.2,空
ZJIH,2021/5/14,11:30,3479.2,空
ZJIH,2021/5/17,11:30,3543.8,空
ZJIH,2021/5/18,11:30,3532.8,空
ZJIC,交易日期,开仓时间,开仓点位,开仓方向
ZJIC,2021/4/29,11:30,6452,空
ZJIC,2021/4/30,11:30,6467.8,多
ZJIC,2021/5/6,11:30,6448,空
ZJIC,2021/5/7,11:30,6496.8,多
ZJIC,2021/5/10,11:30,6461.8,多
ZJIC,2021/5/11,11:30,6399.2,空
ZJIC,2021/5/12,11:30,6441.6,多
ZJIC,2021/5/13,11:30,6452.6,空
ZJIC,2021/5/14,11:30,6487,空
ZJIC,2021/5/17,11:30,6604.6,空
ZJIC,2021/5/18,11:30,6592.2,多
ZJIF,交易日期,开仓时间,开仓点位,开仓方向
ZJIF,2021/4/29,11:30,5121,多
ZJIF,2021/4/30,11:30,5142,空
ZJIF,2021/5/6,11:30,5038.6,空
ZJIF,2021/5/7,11:30,5062.6,空
ZJIF,2021/5/10,11:30,4982.4,空
ZJIF,2021/5/11,11:30,4969.8,空
ZJIF,2021/5/12,11:30,4998.4,空
ZJIF,2021/5/13,11:30,4989.8,多
ZJIF,2021/5/14,11:30,5085.2,多
ZJIF,2021/5/17,11:30,5196.6,空
ZJIF,2021/5/18,11:30,5183.2,空
