date,close
2009-09-24,6.01
2009-09-25,5.83
2009-09-28,5.6
2009-09-29,5.68
2009-09-30,5.56
2009-10-09,5.77
2009-10-12,5.6
2009-10-13,5.63
2009-10-14,5.82
2009-10-15,5.71
2009-10-16,5.68
2009-10-19,5.75
2009-10-20,5.85
2009-10-21,5.75
2009-10-22,5.7
2009-10-23,5.75
2009-10-27,5.61
2009-10-28,5.63
2009-10-29,5.55
2009-10-30,5.6
2009-11-02,5.68
2009-11-03,5.69
2009-11-04,5.65
2009-11-05,5.68
2009-11-06,5.68
2009-11-09,5.74
2009-11-10,5.71
2009-11-11,5.67
2009-11-12,5.64
2009-11-13,5.67
2009-11-16,5.77
2009-11-17,5.72
2009-11-18,5.73
2009-11-19,5.88
2009-11-20,5.83
2009-11-23,5.85
2009-11-24,5.85
2009-11-25,5.97
2009-11-26,5.94
2009-11-27,5.77
2009-11-30,5.89
2009-12-01,5.88
2009-12-02,5.95
2009-12-03,5.86
2009-12-04,6.02
2009-12-07,5.98
2009-12-08,5.9
2009-12-09,5.8
2009-12-10,5.84
2009-12-11,5.79
2009-12-14,5.83
2009-12-15,5.76
2009-12-16,5.74
2009-12-17,5.63
2009-12-18,5.53
2009-12-21,5.58
2009-12-22,5.44
2009-12-23,5.22
2009-12-24,5.26
2009-12-28,5.24
2009-12-29,5.24
2009-12-30,5.31
2009-12-31,5.42
2010-01-04,5.34
2010-01-05,5.33
2010-01-06,5.29
2010-01-07,5.26
2010-01-08,5.26
2010-01-11,5.28
2010-01-12,5.34
2010-01-13,5.24
2010-01-14,5.27
2010-01-15,5.29
2010-01-18,5.26
2010-01-19,5.24
2010-01-20,5.13
2010-01-21,5.13
2010-01-22,5.05
2010-01-25,5.02
2010-01-26,4.88
2010-01-27,4.87
2010-01-28,4.94
2010-01-29,4.9
2010-02-01,4.89
2010-02-02,4.87
2010-02-03,4.92
2010-02-04,4.96
2010-02-05,4.87
2010-02-08,4.88
2010-02-09,4.88
2010-02-10,4.91
2010-02-11,4.92
2010-02-12,4.96
2010-02-22,4.93
2010-02-23,4.89
2010-02-24,4.95
2010-02-25,4.99
2010-02-26,4.96
2010-03-01,5.02
2010-03-02,4.99
2010-03-03,5.01
2010-03-04,4.87
2010-03-05,4.9
2010-03-08,4.89
2010-03-09,4.9
2010-03-10,4.87
2010-03-11,4.88
2010-03-12,4.86
2010-03-15,4.79
2010-03-17,4.86
2010-03-18,4.85
2010-03-19,4.94
2010-03-22,4.91
2010-03-23,4.86
2010-03-24,4.87
2010-03-25,4.81
2010-03-26,4.85
2010-03-29,5.21
2010-03-30,5.14
2010-03-31,5.1
2010-04-01,5.18
2010-04-07,5.15
2010-04-08,5.06
2010-04-09,5.07
2010-04-12,5.03
2010-04-13,5.12
2010-04-14,5.1
2010-04-15,5.05
2010-04-16,4.98
2010-04-19,4.76
2010-04-20,4.78
2010-04-21,4.82
2010-04-22,4.72
2010-04-23,4.76
2010-04-26,4.73
2010-04-27,4.59
2010-04-28,4.58
2010-04-29,4.52
2010-04-30,4.56
2010-05-04,4.47
2010-05-05,4.57
2010-05-06,4.4
2010-05-07,4.35
2010-05-10,4.39
2010-05-11,4.34
2010-05-12,4.38
2010-05-13,4.4
2010-05-14,4.36
2010-05-17,4.08
2010-05-18,4.11
2010-05-19,4.02
2010-05-20,3.97
2010-05-24,4.09
2010-05-25,3.99
2010-05-26,4
2010-05-27,4.19
2010-05-28,4.14
2010-05-31,4.03
2010-06-01,4.02
2010-06-02,4.01
2010-06-03,4.01
2010-06-04,4.02
2010-06-07,3.99
2010-06-08,4
2010-06-09,4.08
2010-06-10,4.04
2010-06-11,4.09
2010-06-17,4.06
2010-06-18,3.99
2010-06-21,4.1
2010-06-22,4.08
2010-06-23,4.05
2010-06-24,4.01
2010-06-25,4.01
2010-06-28,4.04
2010-06-30,4.01
2010-07-02,4.1
2010-07-05,4.07
2010-07-06,4.09
2010-07-07,4.08
2010-07-08,4.02
2010-07-09,4.11
2010-07-12,4.13
2010-07-13,4.06
2010-07-14,4.11
2010-07-15,4.06
2010-07-16,4.04
2010-07-19,4.08
2010-07-20,4.16
2010-07-21,4.17
2010-07-22,4.19
2010-07-23,4.19
2010-07-26,4.21
2010-07-27,4.17
2010-07-28,4.25
2010-07-29,4.27
2010-07-30,4.23
2010-08-02,4.28
2010-08-03,4.19
2010-08-04,4.21
2010-08-05,4.24
2010-08-06,4.27
2010-08-09,4.28
2010-08-10,4.15
2010-08-11,4.16
2010-08-12,4.09
2010-08-13,4.13
2010-08-16,4.2
2010-08-17,4.19
2010-08-18,4.17
2010-08-19,4.22
2010-08-20,4.15
2010-08-23,4.13
2010-08-24,4.15
2010-08-25,4.03
2010-08-26,4.04
2010-08-27,4.03
2010-08-30,4.07
2010-08-31,4.02
2010-09-01,3.98
2010-09-02,4.01
2010-09-03,3.99
2010-09-06,4.12
2010-09-07,4.08
2010-09-08,4.08
2010-09-09,4.01
2010-09-10,4
2010-09-13,4.01
2010-09-14,3.99
2010-09-15,3.94
2010-09-16,3.87
2010-09-17,3.87
2010-09-21,3.95
2010-09-27,3.95
2010-09-28,3.89
2010-09-29,3.94
2010-09-30,4.03
2010-10-08,4.14
2010-10-11,4.33
2010-10-12,4.34
2010-10-13,4.4
2010-10-14,4.53
2010-10-15,4.6
2010-10-18,4.54
2010-10-19,4.77
2010-10-20,4.7
2010-10-21,4.69
2010-10-22,4.53
2010-10-25,4.56
2010-10-26,4.78
2010-10-27,4.68
2010-10-28,4.57
2010-10-29,4.57
2010-11-01,4.65
2010-11-02,4.63
2010-11-03,4.6
2010-11-04,4.62
2010-11-05,4.76
2010-11-08,4.73
2010-11-09,4.62
2010-11-10,4.55
2010-11-11,4.59
2010-11-12,4.26
2010-11-15,4.25
