ticker1,ticker2,t
000898,000709,2015-02-27
600893,600118,2015-02-27
600795,600027,2015-02-27
600008,000598,2015-02-27
600277,600143,2015-02-27
600383,000402,2015-03-31
000898,000825,2015-03-31
600031,000157,2015-03-31
600036,600000,2015-03-31
600115,600029,2015-03-31
600795,600027,2015-04-30
600795,600068,2015-04-30
600050,600028,2015-04-30
600050,600019,2015-04-30
600863,600027,2015-04-30
600549,600111,2015-05-29
600348,000983,2015-05-29
600038,000559,2015-05-29
600893,600038,2015-05-29
600348,000937,2015-05-29
600837,000783,2015-06-30
600837,600030,2015-06-30
600718,000413,2015-06-30
600369,000686,2015-06-30
600549,600111,2015-06-30
600348,000983,2015-07-31
600118,000738,2015-07-31
600166,600031,2015-07-31
600547,600489,2015-07-31
600837,600030,2015-07-31
600837,000776,2015-08-31
000750,000686,2015-08-31
600068,000039,2015-08-31
600703,000402,2015-08-31
600795,600089,2015-08-31
000725,000100,2015-09-30
600863,000883,2015-09-30
600372,000738,2015-09-30
000825,000157,2015-09-30
000960,000831,2015-09-30
600415,002024,2015-10-30
600031,000157,2015-10-30
600718,600516,2015-10-30
000686,000623,2015-10-30
600372,600038,2015-10-30
600019,000100,2015-11-30
601607,000825,2015-11-30
600583,600005,2015-11-30
600221,600011,2015-11-30
000825,000709,2015-11-30
600837,600030,2015-12-31
600369,000783,2015-12-31
000423,000100,2015-12-31
600809,000858,2015-12-31
600369,600109,2015-12-31
000400,000039,2016-01-29
600717,000750,2016-01-29
000750,000413,2016-01-29
600633,600100,2016-01-29
600583,600256,2016-01-29
600115,600029,2016-02-29
600588,600570,2016-02-29
600642,600166,2016-02-29
600100,000063,2016-02-29
600100,000793,2016-02-29
000783,000686,2016-03-31
000783,000776,2016-03-31
000776,000686,2016-03-31
600109,000686,2016-03-31
600109,000783,2016-03-31
600875,000598,2016-04-29
600875,000027,2016-04-29
000768,000598,2016-04-29
600150,600021,2016-04-29
600875,000768,2016-04-29
600030,000728,2016-05-31
000825,000630,2016-05-31
600031,000157,2016-05-31
000630,000539,2016-05-31
600256,000630,2016-05-31
600873,000425,2016-06-30
600547,600489,2016-06-30
600739,600030,2016-06-30
600873,600317,2016-06-30
600256,000425,2016-06-30
600009,000625,2016-07-29
600886,600177,2016-07-29
600252,600157,2016-07-29
600660,600066,2016-07-29
600741,600104,2016-07-29
000783,000712,2016-08-31
000712,000686,2016-08-31
000783,000750,2016-08-31
600030,000783,2016-08-31
000783,000686,2016-08-31
000750,000686,2016-09-30
600109,000686,2016-09-30
600893,000738,2016-09-30
600109,000750,2016-09-30
600010,000686,2016-09-30
601006,000776,2016-10-31
600820,600256,2016-10-31
600820,600170,2016-10-31
600256,600157,2016-10-31
600578,000883,2016-10-31
600019,600005,2016-11-30
600005,000898,2016-11-30
600019,000898,2016-11-30
000783,000750,2016-11-30
000069,000001,2016-11-30
000783,000686,2016-12-30
600570,600446,2016-12-30
600030,000783,2016-12-30
000783,000776,2016-12-30
600690,600030,2016-12-30
000839,000559,2017-01-26
000938,000559,2017-01-26
002065,000718,2017-01-26
000061,000008,2017-01-26
000917,000559,2017-01-26
601988,601398,2017-02-28
000858,000568,2017-02-28
601111,600029,2017-02-28
600061,000776,2017-02-28
600030,000623,2017-02-28
600369,000977,2017-03-31
600837,000977,2017-03-31
600196,000423,2017-03-31
600886,600674,2017-03-31
600061,600030,2017-03-31
000750,000686,2017-04-28
601166,600000,2017-04-28
002024,000750,2017-04-28
600895,600737,2017-04-28
600118,000738,2017-04-28
600685,600150,2017-05-31
600839,600737,2017-05-31
600649,600118,2017-05-31
600737,000009,2017-05-31
600893,600649,2017-05-31
600369,000686,2017-06-30
600816,000938,2017-06-30
600519,000858,2017-06-30
600188,000060,2017-06-30
600373,600019,2017-06-30
600015,600000,2017-07-31
601988,601398,2017-07-31
600446,000917,2017-07-31
600016,600000,2017-07-31
601988,601328,2017-07-31
600030,000776,2017-08-31
000768,000738,2017-08-31
600016,600015,2017-08-31
000783,000728,2017-08-31
000625,000425,2017-08-31
600369,000686,2017-09-29
000959,000709,2017-09-29
600547,600489,2017-09-29
600362,000630,2017-09-29
600489,000156,2017-09-29
600109,000750,2017-10-31
000750,000686,2017-10-31
600109,000783,2017-10-31
000783,000750,2017-10-31
600369,600100,2017-10-31
600369,000686,2017-11-30
000559,000415,2017-11-30
601872,600021,2017-11-30
600021,002183,2017-11-30
600021,000738,2017-11-30
600837,600068,2017-12-29
000783,000728,2017-12-29
600795,000686,2017-12-29
601009,600016,2017-12-29
600887,600690,2017-12-29
601939,601398,2018-01-31
601988,601328,2018-01-31
600030,000776,2018-01-31
601988,601939,2018-01-31
600118,000738,2018-01-31
600820,600089,2018-02-28
600109,000686,2018-02-28
600030,000776,2018-02-28
601866,600109,2018-02-28
601939,601398,2018-02-28
601169,600016,2018-03-30
601169,600015,2018-03-30
600690,000651,2018-03-30
600376,000959,2018-03-30
601169,601009,2018-03-30
600369,000623,2018-04-27
601991,600233,2018-04-27
601991,000959,2018-04-27
600547,600489,2018-04-27
000783,000750,2018-04-27
600837,000776,2018-05-31
000728,000686,2018-05-31
000783,000686,2018-05-31
601186,000776,2018-05-31
000776,000686,2018-05-31
601866,600415,2018-06-29
000750,000686,2018-06-29
601111,600029,2018-06-29
000728,000686,2018-06-29
601866,600704,2018-06-29
601939,601398,2018-07-31
600585,600019,2018-07-31
