,tradeDate,ticker,closePrice,sig,sig_true,sig_y,ac,preClosePrice,pct,rep,mID
0,2015-04-30,000006,675.835,1.0,1.0,0.0,b,,0.0,"2015-04-30,000006,b,675.835,建仓",PSY 0-9
1,2015-05-08,000006,632.438,0.0,0.0,1.0,s,675.835,-0.06421241871166783,"2015-05-08,000006,s,632.438,平仓,-6.4212%",PSY 0-9
2,2015-05-29,000006,902.657,1.0,1.0,0.0,b,632.438,0.0,"2015-05-29,000006,b,902.657,建仓",PSY 0-9
3,2015-06-19,000006,906.591,0.0,0.0,1.0,s,902.657,0.004358244604539596,"2015-06-19,000006,s,906.591,平仓,0.4358%",PSY 0-9
0,2015-02-13,000016,93.056,1.0,1.0,0.0,b,,0.0,"2015-02-13,000016,b,93.056,建仓",PSY 0-9
1,2015-09-02,000016,338.661,0.0,0.0,1.0,s,93.056,2.6393247077028885,"2015-09-02,000016,s,338.661,平仓,263.9325%",PSY 0-9
2,2020-02-21,000016,275.101,1.0,1.0,0.0,b,338.661,0.0,"2020-02-21,000016,b,275.101,建仓",PSY 0-9
3,2020-02-28,000016,228.896,0.0,0.0,1.0,s,275.101,-0.1679564959778409,"2020-02-28,000016,s,228.896,平仓,-16.7956%",PSY 0-9
0,2015-04-10,000028,301.107,1.0,1.0,0.0,b,,0.0,"2015-04-10,000028,b,301.107,建仓",PSY 0-9
1,2015-04-17,000028,290.269,0.0,0.0,1.0,s,301.107,-0.03599384936251904,"2015-04-17,000028,s,290.269,平仓,-3.5994%",PSY 0-9
0,2015-04-24,000032,74.829,1.0,1.0,0.0,b,,0.0,"2015-04-24,000032,b,74.829,建仓",PSY 0-9
1,2015-04-30,000032,72.448,0.0,0.0,1.0,s,74.829,-0.031819214475671154,"2015-04-30,000032,s,72.448,平仓,-3.1819%",PSY 0-9
2,2015-06-05,000032,94.749,1.0,1.0,0.0,b,72.448,0.0,"2015-06-05,000032,b,94.749,建仓",PSY 0-9
3,2015-06-19,000032,89.807,0.0,0.0,1.0,s,94.749,-0.05215886183495333,"2015-06-19,000032,s,89.807,平仓,-5.2159%",PSY 0-9
0,2015-01-30,000040,35.182,1.0,1.0,0.0,b,,0.0,"2015-01-30,000040,b,35.182,建仓",PSY 0-9
1,2015-02-17,000040,33.328,0.0,0.0,1.0,s,35.182,-0.05269740208060936,"2015-02-17,000040,s,33.328,平仓,-5.2697%",PSY 0-9
2,2015-02-27,000040,33.977,1.0,1.0,0.0,b,33.328,0.0,"2015-02-27,000040,b,33.977,建仓",PSY 0-9
3,2015-03-06,000040,31.288,0.0,0.0,1.0,s,33.977,-0.0791417723754303,"2015-03-06,000040,s,31.288,平仓,-7.9142%",PSY 0-9
4,2015-03-27,000040,40.327,1.0,1.0,0.0,b,31.288,0.0,"2015-03-27,000040,b,40.327,建仓",PSY 0-9
5,2015-06-19,000040,76.019,0.0,0.0,1.0,s,40.327,0.8850645969201778,"2015-06-19,000040,s,76.019,平仓,88.5065%",PSY 0-9
0,2015-05-29,000062,231.686,1.0,1.0,0.0,b,,0.0,"2015-05-29,000062,b,231.686,建仓",PSY 0-9
1,2015-06-19,000062,401.618,0.0,0.0,1.0,s,231.686,0.733458214997885,"2015-06-19,000062,s,401.618,平仓,73.3458%",PSY 0-9
0,2015-04-10,000078,157.356,1.0,1.0,0.0,b,,0.0,"2015-04-10,000078,b,157.356,建仓",PSY 0-9
1,2015-04-17,000078,152.763,0.0,0.0,1.0,s,157.356,-0.02918859147410957,"2015-04-17,000078,s,152.763,平仓,-2.9189%",PSY 0-9
2,2015-06-05,000078,244.479,1.0,1.0,0.0,b,152.763,0.0,"2015-06-05,000078,b,244.479,建仓",PSY 0-9
3,2015-06-19,000078,202.696,0.0,0.0,1.0,s,244.479,-0.17090629461017104,"2015-06-19,000078,s,202.696,平仓,-17.0906%",PSY 0-9
4,2020-02-07,000078,135.205,1.0,1.0,0.0,b,202.696,0.0,"2020-02-07,000078,b,135.205,建仓",PSY 0-9
5,2020-02-14,000078,99.0,0.0,0.0,1.0,s,135.205,-0.2677785584852632,"2020-02-14,000078,s,99.0,平仓,-26.7779%",PSY 0-9
0,2015-01-16,000090,47.473,1.0,1.0,0.0,b,,0.0,"2015-01-16,000090,b,47.473,建仓",PSY 0-9
1,2015-01-30,000090,46.204,0.0,0.0,1.0,s,47.473,-0.02673098392770623,"2015-01-30,000090,s,46.204,平仓,-2.6731%",PSY 0-9
2,2015-04-10,000090,69.421,1.0,1.0,0.0,b,46.204,0.0,"2015-04-10,000090,b,69.421,建仓",PSY 0-9
3,2015-04-24,000090,70.315,0.0,0.0,1.0,s,69.421,0.012877947595107964,"2015-04-24,000090,s,70.315,平仓,1.2878%",PSY 0-9
4,2015-06-05,000090,97.686,1.0,1.0,0.0,b,70.315,0.0,"2015-06-05,000090,b,97.686,建仓",PSY 0-9
5,2015-06-12,000090,96.474,0.0,0.0,1.0,s,97.686,-0.012407100300964369,"2015-06-12,000090,s,96.474,平仓,-1.2407%",PSY 0-9
0,2015-04-10,000151,66.896,1.0,1.0,0.0,b,,0.0,"2015-04-10,000151,b,66.896,建仓",PSY 0-9
1,2015-04-24,000151,67.628,0.0,0.0,1.0,s,66.896,0.010942358287491016,"2015-04-24,000151,s,67.628,平仓,1.0942%",PSY 0-9
2,2015-04-30,000151,69.217,1.0,1.0,0.0,b,67.628,0.0,"2015-04-30,000151,b,69.217,建仓",PSY 0-9
3,2015-05-08,000151,61.95,0.0,0.0,1.0,s,69.217,-0.10498865885548347,"2015-05-08,000151,s,61.95,平仓,-10.4989%",PSY 0-9
4,2015-06-12,000151,89.583,1.0,1.0,0.0,b,61.95,0.0,"2015-06-12,000151,b,89.583,建仓",PSY 0-9
5,2015-06-19,000151,80.699,0.0,0.0,1.0,s,89.583,-0.0991706015650291,"2015-06-19,000151,s,80.699,平仓,-9.9171%",PSY 0-9
0,2015-06-12,000155,27.139,1.0,1.0,0.0,b,,0.0,"2015-06-12,000155,b,27.139,建仓",PSY 0-9
1,2015-06-19,000155,21.089,0.0,0.0,1.0,s,27.139,-0.22292641585909578,"2015-06-19,000155,s,21.089,平仓,-22.2926%",PSY 0-9
2,2021-01-15,000155,18.189,1.0,1.0,0.0,b,21.089,0.0,"2021-01-15,000155,b,18.189,建仓",PSY 0-9
3,2021-02-05,000155,21.997,0.0,0.0,1.0,s,18.189,0.20935730386497342,"2021-02-05,000155,s,21.997,平仓,20.9357%",PSY 0-9
0,2015-02-17,000158,34.78,1.0,1.0,0.0,b,,0.0,"2015-02-17,000158,b,34.78,建仓",PSY 0-9
1,2015-02-27,000158,32.676,0.0,0.0,1.0,s,34.78,-0.06049453709028174,"2015-02-27,000158,s,32.676,平仓,-6.0495%",PSY 0-9
2,2015-03-06,000158,36.749,1.0,1.0,0.0,b,32.676,0.0,"2015-03-06,000158,b,36.749,建仓",PSY 0-9
3,2015-06-19,000158,67.252,0.0,0.0,1.0,s,36.749,0.830036191460992,"2015-06-19,000158,s,67.252,平仓,83.0036%",PSY 0-9
0,2015-06-12,000407,139.69,1.0,1.0,0.0,b,,0.0,"2015-06-12,000407,b,139.69,建仓",PSY 0-9
1,2015-06-19,000407,117.393,0.0,0.0,1.0,s,139.69,-0.15961772496241677,"2015-06-19,000407,s,117.393,平仓,-15.9618%",PSY 0-9
0,2015-05-29,000416,164.224,1.0,1.0,0.0,b,,0.0,"2015-05-29,000416,b,164.224,建仓",PSY 0-9
1,2015-07-03,000416,164.224,0.0,0.0,1.0,s,164.224,0.0,"2015-07-03,000416,s,164.224,平仓,0.0000%",PSY 0-9
0,2015-04-03,000417,189.039,1.0,1.0,0.0,b,,0.0,"2015-04-03,000417,b,189.039,建仓",PSY 0-9
1,2015-04-10,000417,183.686,0.0,0.0,1.0,s,189.039,-0.028316908151228004,"2015-04-10,000417,s,183.686,平仓,-2.8317%",PSY 0-9
2,2015-04-24,000417,207.107,1.0,1.0,0.0,b,183.686,0.0,"2015-04-24,000417,b,207.107,建仓",PSY 0-9
3,2015-04-30,000417,190.712,0.0,0.0,1.0,s,207.107,-0.079161979073619,"2015-04-30,000417,s,190.712,平仓,-7.9162%",PSY 0-9
4,2015-06-05,000417,240.732,1.0,1.0,0.0,b,190.712,0.0,"2015-06-05,000417,b,240.732,建仓",PSY 0-9
5,2015-06-19,000417,250.77,0.0,0.0,1.0,s,240.732,0.04169782164398583,"2015-06-19,000417,s,250.77,平仓,4.1698%",PSY 0-9
