,tradeDate,ticker,closePrice,sig,sig_true,sig_y,ac,preClosePrice,pct,rep,mID
0,2012-01-13,000006,174.537,1.0,1.0,0.0,b,,0.0,"2012-01-13,000006,b,174.537,建仓",MBI 0.2
1,2012-01-20,000006,178.921,0.0,0.0,1.0,s,174.537,0.025117883314139666,"2012-01-20,000006,s,178.921,平仓,2.5118%",MBI 0.2
2,2013-01-18,000006,270.164,1.0,1.0,0.0,b,178.921,0.0,"2013-01-18,000006,b,270.164,建仓",MBI 0.2
3,2013-02-22,000006,265.991,0.0,0.0,1.0,s,270.164,-0.015446173435394783,"2013-02-22,000006,s,265.991,平仓,-1.5446%",MBI 0.2
4,2013-11-22,000006,323.59,1.0,1.0,0.0,b,265.991,0.0,"2013-11-22,000006,b,323.59,建仓",MBI 0.2
5,2013-12-06,000006,311.833,0.0,0.0,1.0,s,323.59,-0.036333013999196306,"2013-12-06,000006,s,311.833,平仓,-3.6333%",MBI 0.2
6,2014-08-22,000006,318.823,1.0,1.0,0.0,b,311.833,0.0,"2014-08-22,000006,b,318.823,建仓",MBI 0.2
7,2014-08-29,000006,310.722,0.0,0.0,1.0,s,318.823,-0.025409082782609782,"2014-08-29,000006,s,310.722,平仓,-2.5409%",MBI 0.2
8,2014-09-12,000006,325.188,1.0,1.0,0.0,b,310.722,0.0,"2014-09-12,000006,b,325.188,建仓",MBI 0.2
9,2014-09-30,000006,339.075,0.0,0.0,1.0,s,325.188,0.0427045278423559,"2014-09-30,000006,s,339.075,平仓,4.2705%",MBI 0.2
10,2014-10-10,000006,365.113,1.0,1.0,0.0,b,339.075,0.0,"2014-10-10,000006,b,365.113,建仓",MBI 0.2
11,2014-10-17,000006,340.232,0.0,0.0,1.0,s,365.113,-0.06814602602481967,"2014-10-17,000006,s,340.232,平仓,-6.8146%",MBI 0.2
12,2014-10-31,000006,363.377,1.0,1.0,0.0,b,340.232,0.0,"2014-10-31,000006,b,363.377,建仓",MBI 0.2
13,2014-11-07,000006,354.698,0.0,0.0,1.0,s,363.377,-0.023884285466609145,"2014-11-07,000006,s,354.698,平仓,-2.3884%",MBI 0.2
14,2014-11-14,000006,361.063,1.0,1.0,0.0,b,354.698,0.0,"2014-11-14,000006,b,361.063,建仓",MBI 0.2
15,2014-11-21,000006,351.226,0.0,0.0,1.0,s,361.063,-0.027244552889661877,"2014-11-21,000006,s,351.226,平仓,-2.7245%",MBI 0.2
16,2014-11-28,000006,401.566,1.0,1.0,0.0,b,351.226,0.0,"2014-11-28,000006,b,401.566,建仓",MBI 0.2
17,2014-12-05,000006,399.252,0.0,0.0,1.0,s,401.566,-0.005762440047215045,"2014-12-05,000006,s,399.252,平仓,-0.5762%",MBI 0.2
18,2014-12-31,000006,407.931,1.0,1.0,0.0,b,399.252,0.0,"2014-12-31,000006,b,407.931,建仓",MBI 0.2
19,2015-01-09,000006,387.679,0.0,0.0,1.0,s,407.931,-0.049645650857620516,"2015-01-09,000006,s,387.679,平仓,-4.9646%",MBI 0.2
20,2015-03-27,000006,517.292,1.0,1.0,0.0,b,387.679,0.0,"2015-03-27,000006,b,517.292,建仓",MBI 0.2
21,2015-04-17,000006,609.293,0.0,0.0,1.0,s,517.292,0.17785119429645135,"2015-04-17,000006,s,609.293,平仓,17.7851%",MBI 0.2
22,2015-04-24,000006,658.476,1.0,1.0,0.0,b,609.293,0.0,"2015-04-24,000006,b,658.476,建仓",MBI 0.2
23,2015-05-08,000006,632.438,0.0,0.0,1.0,s,658.476,-0.03954282312491264,"2015-05-08,000006,s,632.438,平仓,-3.9543%",MBI 0.2
24,2015-05-22,000006,705.924,1.0,1.0,0.0,b,632.438,0.0,"2015-05-22,000006,b,705.924,建仓",MBI 0.2
25,2015-06-19,000006,906.591,0.0,0.0,1.0,s,705.924,0.2842614785727642,"2015-06-19,000006,s,906.591,平仓,28.4261%",MBI 0.2
26,2016-10-14,000006,603.955,1.0,1.0,0.0,b,906.591,0.0,"2016-10-14,000006,b,603.955,建仓",MBI 0.2
27,2016-10-21,000006,598.62,0.0,0.0,1.0,s,603.955,-0.008833439577451974,"2016-10-21,000006,s,598.62,平仓,-0.8833%",MBI 0.2
28,2016-11-04,000006,611.067,1.0,1.0,0.0,b,598.62,0.0,"2016-11-04,000006,b,611.067,建仓",MBI 0.2
29,2016-11-11,000006,603.362,0.0,0.0,1.0,s,611.067,-0.012609091965365526,"2016-11-11,000006,s,603.362,平仓,-1.2609%",MBI 0.2
30,2018-07-13,000006,343.994,1.0,1.0,0.0,b,603.362,0.0,"2018-07-13,000006,b,343.994,建仓",MBI 0.2
31,2018-07-20,000006,343.371,0.0,0.0,1.0,s,343.994,-0.0018110781001995369,"2018-07-20,000006,s,343.371,平仓,-0.1811%",MBI 0.2
32,2019-03-22,000006,422.515,1.0,1.0,0.0,b,343.371,0.0,"2019-03-22,000006,b,422.515,建仓",MBI 0.2
33,2019-03-29,000006,420.645,0.0,0.0,1.0,s,422.515,-0.004425878371182135,"2019-03-29,000006,s,420.645,平仓,-0.4426%",MBI 0.2
34,2019-04-04,000006,444.326,1.0,1.0,0.0,b,420.645,0.0,"2019-04-04,000006,b,444.326,建仓",MBI 0.2
35,2019-04-12,000006,431.239,0.0,0.0,1.0,s,444.326,-0.029453599384235973,"2019-04-12,000006,s,431.239,平仓,-2.9454%",MBI 0.2
36,2020-06-19,000006,402.022,1.0,1.0,0.0,b,431.239,0.0,"2020-06-19,000006,b,402.022,建仓",MBI 0.2
37,2020-07-17,000006,474.453,0.0,0.0,1.0,s,402.022,0.18016675704314689,"2020-07-17,000006,s,474.453,平仓,18.0167%",MBI 0.2
38,2020-07-24,000006,486.414,1.0,1.0,0.0,b,474.453,0.0,"2020-07-24,000006,b,486.414,建仓",MBI 0.2
39,2020-08-14,000006,543.296,0.0,0.0,1.0,s,486.414,0.11694153539988572,"2020-08-14,000006,s,543.296,平仓,11.6942%",MBI 0.2
0,2012-01-13,000016,33.946,1.0,1.0,0.0,b,,0.0,"2012-01-13,000016,b,33.946,建仓",MBI 0.2
1,2012-01-20,000016,34.837,0.0,0.0,1.0,s,33.946,0.02624756966947528,"2012-01-20,000016,s,34.837,平仓,2.6248%",MBI 0.2
2,2013-12-13,000016,45.909,1.0,1.0,0.0,b,34.837,0.0,"2013-12-13,000016,b,45.909,建仓",MBI 0.2
3,2013-12-20,000016,42.55,0.0,0.0,1.0,s,45.909,-0.07316648151778526,"2013-12-20,000016,s,42.55,平仓,-7.3166%",MBI 0.2
4,2014-02-14,000016,49.268,1.0,1.0,0.0,b,42.55,0.0,"2014-02-14,000016,b,49.268,建仓",MBI 0.2
5,2014-02-28,000016,49.604,0.0,0.0,1.0,s,49.268,0.006819842494113715,"2014-02-28,000016,s,49.604,平仓,0.6820%",MBI 0.2
6,2014-03-07,000016,54.867,1.0,1.0,0.0,b,49.604,0.0,"2014-03-07,000016,b,54.867,建仓",MBI 0.2
7,2014-03-14,000016,53.411,0.0,0.0,1.0,s,54.867,-0.02653689831775008,"2014-03-14,000016,s,53.411,平仓,-2.6537%",MBI 0.2
8,2014-03-21,000016,55.427,1.0,1.0,0.0,b,53.411,0.0,"2014-03-21,000016,b,55.427,建仓",MBI 0.2
9,2014-03-28,000016,49.492,0.0,0.0,1.0,s,55.427,-0.1070777779782417,"2014-03-28,000016,s,49.492,平仓,-10.7078%",MBI 0.2
10,2014-08-01,000016,58.034,1.0,1.0,0.0,b,49.492,0.0,"2014-08-01,000016,b,58.034,建仓",MBI 0.2
11,2014-08-08,000016,51.972,0.0,0.0,1.0,s,58.034,-0.104456008546714,"2014-08-08,000016,s,51.972,平仓,-10.4456%",MBI 0.2
12,2014-10-10,000016,62.861,1.0,1.0,0.0,b,51.972,0.0,"2014-10-10,000016,b,62.861,建仓",MBI 0.2
13,2014-10-17,000016,61.065,0.0,0.0,1.0,s,62.861,-0.028570974053864884,"2014-10-17,000016,s,61.065,平仓,-2.8571%",MBI 0.2
14,2014-11-07,000016,68.473,1.0,1.0,0.0,b,61.065,0.0,"2014-11-07,000016,b,68.473,建仓",MBI 0.2
15,2014-11-28,000016,69.371,0.0,0.0,1.0,s,68.473,0.013114658332481266,"2014-11-28,000016,s,69.371,平仓,1.3115%",MBI 0.2
16,2014-12-19,000016,70.494,1.0,1.0,0.0,b,69.371,0.0,"2014-12-19,000016,b,70.494,建仓",MBI 0.2
17,2014-12-26,000016,67.912,0.0,0.0,1.0,s,70.494,-0.03662723068629947,"2014-12-26,000016,s,67.912,平仓,-3.6627%",MBI 0.2
18,2015-01-30,000016,83.739,1.0,1.0,0.0,b,67.912,0.0,"2015-01-30,000016,b,83.739,建仓",MBI 0.2
19,2015-03-06,000016,102.71,0.0,0.0,1.0,s,83.739,0.2265491586954702,"2015-03-06,000016,s,102.71,平仓,22.6549%",MBI 0.2
20,2015-03-13,000016,103.271,1.0,1.0,0.0,b,102.71,0.0,"2015-03-13,000016,b,103.271,建仓",MBI 0.2
21,2015-03-27,000016,109.894,0.0,0.0,1.0,s,103.271,0.06413223460603668,"2015-03-27,000016,s,109.894,平仓,6.4132%",MBI 0.2
22,2015-04-03,000016,130.997,1.0,1.0,0.0,b,109.894,0.0,"2015-04-03,000016,b,130.997,建仓",MBI 0.2
23,2015-04-24,000016,155.243,0.0,0.0,1.0,s,130.997,0.1850882081269034,"2015-04-24,000016,s,155.243,平仓,18.5088%",MBI 0.2
24,2015-04-30,000016,179.489,1.0,1.0,0.0,b,155.243,0.0,"2015-04-30,000016,b,179.489,建仓",MBI 0.2
25,2015-06-19,000016,338.661,0.0,0.0,1.0,s,179.489,0.8868064338204569,"2015-06-19,000016,s,338.661,平仓,88.6806%",MBI 0.2
26,2017-07-07,000016,119.475,1.0,1.0,0.0,b,338.661,0.0,"2017-07-07,000016,b,119.475,建仓",MBI 0.2
27,2017-07-14,000016,118.576,0.0,0.0,1.0,s,119.475,-0.007524586733626326,"2017-07-14,000016,s,118.576,平仓,-0.7525%",MBI 0.2
28,2017-08-04,000016,125.314,1.0,1.0,0.0,b,118.576,0.0,"2017-08-04,000016,b,125.314,建仓",MBI 0.2
29,2017-08-11,000016,119.25,0.0,0.0,1.0,s,125.314,-0.04839044320666486,"2017-08-11,000016,s,119.25,平仓,-4.8390%",MBI 0.2
30,2017-08-18,000016,127.784,1.0,1.0,0.0,b,119.25,0.0,"2017-08-18,000016,b,127.784,建仓",MBI 0.2
31,2017-09-15,000016,135.195,0.0,0.0,1.0,s,127.784,0.05799630626682517,"2017-09-15,000016,s,135.195,平仓,5.7996%",MBI 0.2
32,2017-10-13,000016,133.174,1.0,1.0,0.0,b,135.195,0.0,"2017-10-13,000016,b,133.174,建仓",MBI 0.2
33,2017-10-20,000016,126.212,0.0,0.0,1.0,s,133.174,-0.05227747157853635,"2017-10-20,000016,s,126.212,平仓,-5.2277%",MBI 0.2
34,2017-11-10,000016,163.267,1.0,1.0,0.0,b,126.212,0.0,"2017-11-10,000016,b,163.267,建仓",MBI 0.2
35,2017-11-17,000016,145.076,0.0,0.0,1.0,s,163.267,-0.11141871903079004,"2017-11-17,000016,s,145.076,平仓,-11.1419%",MBI 0.2
36,2019-03-15,000016,118.928,1.0,1.0,0.0,b,145.076,0.0,"2019-03-15,000016,b,118.928,建仓",MBI 0.2
37,2019-03-29,000016,129.34,0.0,0.0,1.0,s,118.928,0.08754876900309427,"2019-03-29,000016,s,129.34,平仓,8.7549%",MBI 0.2
38,2020-01-23,000016,123.452,1.0,1.0,0.0,b,129.34,0.0,"2020-01-23,000016,b,123.452,建仓",MBI 0.2
39,2020-02-28,000016,228.896,0.0,0.0,1.0,s,123.452,0.8541295402261606,"2020-02-28,000016,s,228.896,平仓,85.4130%",MBI 0.2
40,2020-03-06,000016,272.021,1.0,1.0,0.0,b,228.896,0.0,"2020-03-06,000016,b,272.021,建仓",MBI 0.2
41,2020-03-13,000016,245.008,0.0,0.0,1.0,s,272.021,-0.09930483308273996,"2020-03-13,000016,s,245.008,平仓,-9.9305%",MBI 0.2
42,2020-04-03,000016,203.542,1.0,1.0,0.0,b,245.008,0.0,"2020-04-03,000016,b,203.542,建仓",MBI 0.2
43,2020-04-10,000016,187.666,0.0,0.0,1.0,s,203.542,-0.07799864401450318,"2020-04-10,000016,s,187.666,平仓,-7.7999%",MBI 0.2
0,2012-06-29,000028,112.853,1.0,1.0,0.0,b,,0.0,"2012-06-29,000028,b,112.853,建仓",MBI 0.2
1,2012-07-06,000028,113.687,0.0,0.0,1.0,s,112.853,0.007390144701514334,"2012-07-06,000028,s,113.687,平仓,0.7390%",MBI 0.2
2,2012-08-10,000028,123.502,1.0,1.0,0.0,b,113.687,0.0,"2012-08-10,000028,b,123.502,建仓",MBI 0.2
3,2012-08-17,000028,115.203,0.0,0.0,1.0,s,123.502,-0.06719729235154082,"2012-08-17,000028,s,115.203,平仓,-6.7197%",MBI 0.2
4,2012-08-24,000028,126.61,1.0,1.0,0.0,b,115.203,0.0,"2012-08-24,000028,b,126.61,建仓",MBI 0.2
5,2012-08-31,000028,123.919,0.0,0.0,1.0,s,126.61,-0.021254245320274867,"2012-08-31,000028,s,123.919,平仓,-2.1254%",MBI 0.2
