,tradeDate,ticker,closePrice,sig,sig_true,sig_y,ac,preClosePrice,pct,rep,mID
0,2001-06-01,801230,1597.97,1.0,1.0,0.0,b,,0.0,"2001-06-01,801230,b,1597.97,建仓",MBI 0.2
1,2001-06-08,801230,1602.72,0.0,0.0,1.0,s,1597.97,0.0029725213865090527,"2001-06-08,801230,s,1602.72,平仓,0.2973%",MBI 0.2
0,2001-08-10,801100,1160.98,1.0,1.0,0.0,b,,0.0,"2001-08-10,801100,b,1160.98,建仓",MBI 0.2
1,2001-08-17,801100,1153.07,0.0,0.0,1.0,s,1160.98,-0.00681320952987996,"2001-08-17,801100,s,1153.07,平仓,-0.6813%",MBI 0.2
2,2001-09-14,801230,1315.02,1.0,1.0,0.0,b,1602.72,0.0,"2001-09-14,801230,b,1315.02,建仓",MBI 0.2
0,2001-09-14,801140,1347.52,1.0,1.0,0.0,b,,0.0,"2001-09-14,801140,b,1347.52,建仓",MBI 0.2
0,2001-09-14,801030,1427.29,1.0,1.0,0.0,b,,0.0,"2001-09-14,801030,b,1427.29,建仓",MBI 0.2
0,2001-09-14,801150,1460.36,1.0,1.0,0.0,b,,0.0,"2001-09-14,801150,b,1460.36,建仓",MBI 0.2
0,2001-09-14,801080,1220.96,1.0,1.0,0.0,b,,0.0,"2001-09-14,801080,b,1220.96,建仓",MBI 0.2
0,2001-09-14,801170,1354.54,1.0,1.0,0.0,b,,0.0,"2001-09-14,801170,b,1354.54,建仓",MBI 0.2
1,2001-09-21,801030,1404.72,0.0,0.0,1.0,s,1427.29,-0.015813184426430427,"2001-09-21,801030,s,1404.72,平仓,-1.5813%",MBI 0.2
1,2001-09-21,801140,1331.6,0.0,0.0,1.0,s,1347.52,-0.011814295891712234,"2001-09-21,801140,s,1331.6,平仓,-1.1814%",MBI 0.2
1,2001-09-21,801170,1332.76,0.0,0.0,1.0,s,1354.54,-0.016079259379568,"2001-09-21,801170,s,1332.76,平仓,-1.6079%",MBI 0.2
1,2001-09-21,801080,1220.89,0.0,0.0,1.0,s,1220.96,-5.7331935526039324e-05,"2001-09-21,801080,s,1220.89,平仓,-0.0057%",MBI 0.2
3,2001-09-21,801230,1304.47,0.0,0.0,1.0,s,1315.02,-0.008022691670088622,"2001-09-21,801230,s,1304.47,平仓,-0.8023%",MBI 0.2
1,2001-09-21,801150,1451.22,0.0,0.0,1.0,s,1460.36,-0.006258730723931016,"2001-09-21,801150,s,1451.22,平仓,-0.6259%",MBI 0.2
0,2001-09-21,801040,1412.66,1.0,1.0,0.0,b,,0.0,"2001-09-21,801040,b,1412.66,建仓",MBI 0.2
0,2001-09-28,801010,1244.33,1.0,1.0,0.0,b,,0.0,"2001-09-28,801010,b,1244.33,建仓",PSY 0.9
1,2001-09-28,801040,1387.95,0.0,0.0,1.0,s,1412.66,-0.017491823934987938,"2001-09-28,801040,s,1387.95,平仓,-1.7492%",MBI 0.2
0,2001-10-19,801170,1139.29,1.0,1.0,0.0,b,,0.0,"2001-10-19,801170,b,1139.29,建仓",PSY 0.9
0,2001-10-19,801180,1199.5,1.0,1.0,0.0,b,,0.0,"2001-10-19,801180,b,1199.5,建仓",PSY 0.9
0,2001-10-26,801120,1269.27,1.0,1.0,0.0,b,,0.0,"2001-10-26,801120,b,1269.27,建仓",MBI 0.2
0,2001-10-26,801220,1083.43,1.0,1.0,0.0,b,,0.0,"2001-10-26,801220,b,1083.43,建仓",MBI 0.2
0,2001-10-26,801050,1232.21,1.0,1.0,0.0,b,,0.0,"2001-10-26,801050,b,1232.21,建仓",MBI 0.2
1,2001-10-26,801180,1296.46,0.0,0.0,1.0,s,1199.5,0.08083368070029184,"2001-10-26,801180,s,1296.46,平仓,8.0834%",PSY 0.9
2,2001-10-26,801100,1057.09,1.0,1.0,0.0,b,1153.07,0.0,"2001-10-26,801100,b,1057.09,建仓",MBI 0.2
4,2001-10-26,801230,1191.09,1.0,1.0,0.0,b,1304.47,0.0,"2001-10-26,801230,b,1191.09,建仓",MBI 0.2
2,2001-10-26,801170,1215.84,1.0,1.0,0.0,b,1332.76,0.0,"2001-10-26,801170,b,1215.84,建仓",MBI 0.2
0,2001-10-26,801090,1324.05,1.0,1.0,0.0,b,,0.0,"2001-10-26,801090,b,1324.05,建仓",MBI 0.2
0,2001-10-26,801020,1514.11,1.0,1.0,0.0,b,,0.0,"2001-10-26,801020,b,1514.11,建仓",MBI 0.2
0,2001-10-26,801160,1194.21,1.0,1.0,0.0,b,,0.0,"2001-10-26,801160,b,1194.21,建仓",MBI 0.2
1,2001-10-26,801170,1215.84,0.0,0.0,1.0,s,1139.29,0.06719096981453365,"2001-10-26,801170,s,1215.84,平仓,6.7191%",PSY 0.9
2,2001-10-26,801150,1310.6,1.0,1.0,0.0,b,1451.22,0.0,"2001-10-26,801150,b,1310.6,建仓",MBI 0.2
0,2001-10-26,801210,1308.58,1.0,1.0,0.0,b,,0.0,"2001-10-26,801210,b,1308.58,建仓",MBI 0.2
2,2001-10-26,801080,1139.71,1.0,1.0,0.0,b,1220.89,0.0,"2001-10-26,801080,b,1139.71,建仓",MBI 0.2
2,2001-10-26,801040,1320.22,1.0,1.0,0.0,b,1387.95,0.0,"2001-10-26,801040,b,1320.22,建仓",MBI 0.2
0,2001-10-26,801180,1296.46,1.0,1.0,0.0,b,,0.0,"2001-10-26,801180,b,1296.46,建仓",MBI 0.2
0,2001-10-26,801060,1342.62,1.0,1.0,0.0,b,,0.0,"2001-10-26,801060,b,1342.62,建仓",MBI 0.2
0,2001-10-26,801070,1320.95,1.0,1.0,0.0,b,,0.0,"2001-10-26,801070,b,1320.95,建仓",MBI 0.2
2,2001-10-26,801030,1270.02,1.0,1.0,0.0,b,1404.72,0.0,"2001-10-26,801030,b,1270.02,建仓",MBI 0.2
2,2001-10-26,801140,1240.56,1.0,1.0,0.0,b,1331.6,0.0,"2001-10-26,801140,b,1240.56,建仓",MBI 0.2
0,2001-10-26,801200,1305.68,1.0,1.0,0.0,b,,0.0,"2001-10-26,801200,b,1305.68,建仓",MBI 0.2
0,2001-10-26,801010,1158.34,1.0,1.0,0.0,b,,0.0,"2001-10-26,801010,b,1158.34,建仓",MBI 0.2
1,2001-10-26,801010,1158.34,0.0,0.0,1.0,s,1244.33,-0.06910546237734361,"2001-10-26,801010,s,1158.34,平仓,-6.9105%",PSY 0.9
0,2001-10-26,801130,1366.05,1.0,1.0,0.0,b,,0.0,"2001-10-26,801130,b,1366.05,建仓",MBI 0.2
3,2001-11-02,801100,1046.84,0.0,0.0,1.0,s,1057.09,-0.009696430767484276,"2001-11-02,801100,s,1046.84,平仓,-0.9696%",MBI 0.2
5,2001-11-02,801230,1159.78,0.0,0.0,1.0,s,1191.09,-0.026286846501943573,"2001-11-02,801230,s,1159.78,平仓,-2.6287%",MBI 0.2
1,2001-11-02,801130,1421.66,0.0,0.0,1.0,s,1366.05,0.040708612422678536,"2001-11-02,801130,s,1421.66,平仓,4.0709%",MBI 0.2
3,2001-11-02,801080,1134.29,0.0,0.0,1.0,s,1139.71,-0.004755595721718797,"2001-11-02,801080,s,1134.29,平仓,-0.4756%",MBI 0.2
1,2001-11-09,801220,1061.76,0.0,0.0,1.0,s,1083.43,-0.020001292192388997,"2001-11-09,801220,s,1061.76,平仓,-2.0001%",MBI 0.2
1,2001-11-09,801020,1453.82,0.0,0.0,1.0,s,1514.11,-0.03981877142347645,"2001-11-09,801020,s,1453.82,平仓,-3.9819%",MBI 0.2
3,2001-11-09,801140,1197.75,0.0,0.0,1.0,s,1240.56,-0.03450860901528341,"2001-11-09,801140,s,1197.75,平仓,-3.4509%",MBI 0.2
1,2001-11-09,801050,1181.21,0.0,0.0,1.0,s,1232.21,-0.04138904894457929,"2001-11-09,801050,s,1181.21,平仓,-4.1389%",MBI 0.2
3,2001-11-09,801030,1228.96,0.0,0.0,1.0,s,1270.02,-0.03233019952441685,"2001-11-09,801030,s,1228.96,平仓,-3.2330%",MBI 0.2
3,2001-11-09,801040,1289.3,0.0,0.0,1.0,s,1320.22,-0.023420339034403437,"2001-11-09,801040,s,1289.3,平仓,-2.3420%",MBI 0.2
1,2001-11-09,801200,1291.9,0.0,0.0,1.0,s,1305.68,-0.010553887629434433,"2001-11-09,801200,s,1291.9,平仓,-1.0554%",MBI 0.2
