x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S21~LR_沪深300~成交量择时,11.70,-16.26,-11.17,109.22,14.77,7,4,11.31,1.03,324,0.72,5.77,43.63,1.03,59.37
S22~S22f01~成交量择时,8.80,-30.64,-18.74,88.53,11.32,7,4,14.62,0.65,1015,0.94,8.88,37.01,0.60,55.21
S32~S32f04~成交量择时,9.20,-19.01,-13.33,100.60,11.72,7,4,11.66,0.81,473,0.75,1.74,40.14,0.79,55.09
S33~S33f08~成交量择时,3.28,-17.82,-14.01,41.04,3.86,6,5,8.01,0.44,729,0.51,0.00,23.33,0.41,52.98
S36~S36f06~成交量择时,7.93,-21.09,-15.31,79.86,9.80,7,5,12.17,0.69,791,0.78,0.00,33.18,0.65,53.68
S39~1~成交量择时,14.24,-15.31,-10.55,96.49,16.31,8,4,12.46,1.13,343,0.80,14.41,36.87,1.14,56.96
S46~s46_f1~成交量择时,8.74,-18.21,-13.50,87.33,10.90,8,4,11.92,0.76,729,0.76,0.54,35.23,0.73,56.24
S57~adaboost~牛熊增强,9.31,-17.55,-11.10,88.85,11.97,7,5,11.28,0.85,730,0.72,2.71,34.75,0.82,54.92
S66~v_sp~成交量择时,11.70,-24.66,-14.63,82.29,13.89,7,5,13.51,0.89,920,0.86,13.82,35.76,0.87,54.49
S73P1~ubl~成交量择时,11.20,-19.78,-16.23,88.35,14.38,6,4,13.19,0.87,983,0.84,11.28,36.78,0.85,55.46
S75P1~mom_residual~成交量择时,10.99,-32.51,-24.65,102.83,14.00,6,7,14.69,0.78,1122,0.94,10.24,36.02,0.75,54.96
S75P2~1d_20d~成交量择时,14.76,-22.29,-18.08,112.59,18.15,7,4,15.77,0.95,723,1.01,12.77,52.47,0.94,54.72
S76P1~PEG_c_STD~成交量择时,12.28,-19.64,-16.06,102.62,15.44,9,6,14.00,0.90,477,0.90,12.47,39.08,0.88,55.12
000300综合,10.47,-17.03,-13.70,84.70,12.71,9,5,11.36,0.93,789,0.73,8.03,34.01,0.92,55.52
S21~NB_中证500~RSRS牛熊增强,7.74,-31.98,-26.40,105.72,10.69,7,5,11.70,0.70,1091,0.75,0.02,40.10,0.66,57.07
S22~S22f03~成交量择时,4.77,-48.30,-33.36,101.50,6.85,8,4,17.84,0.35,1108,1.14,1.33,38.32,0.27,54.55
S32~S32f04~longonly,13.84,-52.93,-39.98,302.95,19.79,10,7,24.77,0.65,110,1.59,7.53,58.02,0.56,56.10
S33~S33f04~longonly,2.22,-43.33,-40.20,57.76,3.00,9,9,16.40,0.22,781,1.05,0.00,29.29,0.14,54.23
S36~S36f02~成交量择时,6.52,-44.44,-33.17,99.69,8.99,6,4,14.64,0.51,1108,0.94,0.00,40.33,0.45,55.11
S39~3~成交量择时,10.47,-46.06,-34.39,119.35,12.39,9,5,16.53,0.69,269,1.06,10.60,37.34,0.63,56.77
S46~s46_f1~成交量择时,9.09,-39.99,-33.67,126.85,12.70,7,4,14.57,0.67,1003,0.93,1.60,45.56,0.62,56.52
S57~adaboost~longonly,15.76,-46.24,-33.74,253.09,22.42,12,9,25.69,0.70,517,1.64,14.19,62.86,0.61,56.09
S66~v_sp~成交量择时,10.10,-43.28,-32.78,101.83,12.05,8,5,16.50,0.67,1093,1.06,9.61,41.44,0.61,56.54
S73P1~up_std~成交量择时,9.95,-39.89,-31.25,113.16,11.91,8,4,16.37,0.66,1093,1.05,8.18,41.18,0.61,56.40
S75P1~mom_residual~成交量择时,4.92,-50.14,-37.54,76.40,6.92,8,5,17.48,0.36,357,1.12,6.01,33.87,0.28,55.84
S75P2~1d_20d~成交量择时,11.35,-51.56,-36.48,129.98,13.79,7,4,17.91,0.69,1131,1.15,7.01,54.33,0.63,55.70
S76P1~PEG_c_STD~成交量择时,11.77,-42.82,-30.60,115.58,14.34,8,5,16.67,0.75,1087,1.07,10.17,48.12,0.71,55.66
000905综合,9.64,-40.26,-33.69,116.22,11.97,10,8,14.59,0.70,1102,0.93,6.53,40.62,0.66,56.43
S22~S22f03~牛熊增强,7.87,-30.82,-17.08,81.61,9.17,7,5,15.32,0.57,1105,0.98,5.01,29.83,0.51,57.82
S32~S32f01~成交量择时,12.10,-29.80,-24.99,109.08,15.38,8,4,15.08,0.83,894,0.97,3.73,49.23,0.80,59.41
S33~S33f04~成交量择时,3.39,-25.86,-24.95,56.07,4.59,7,4,8.94,0.42,444,0.57,0.00,29.05,0.38,56.52
S36~S36f08~成交量择时,8.96,-34.21,-29.58,88.45,11.44,8,5,15.10,0.64,992,0.97,2.58,43.06,0.59,57.80
S39~1~成交量择时,15.74,-21.70,-18.92,139.72,18.62,10,4,14.42,1.09,356,0.92,11.16,42.41,1.09,59.15
S46~s46_f1~成交量择时,13.40,-27.22,-22.75,106.00,16.62,10,4,14.94,0.92,357,0.96,6.64,51.08,0.90,60.46
S66~v_high~成交量择时,12.56,-23.12,-21.49,102.04,14.29,8,4,14.22,0.90,356,0.91,10.55,34.93,0.88,58.75
S73P1~publ~成交量择时,12.92,-29.53,-24.89,100.29,15.61,8,6,16.27,0.83,893,1.04,11.19,44.58,0.79,57.78
S73P2~beta~成交量择时,12.03,-31.79,-27.84,106.10,14.71,7,5,15.95,0.79,779,1.02,0.63,54.69,0.75,56.63
S75P1~mom_residual~牛熊增强,10.14,-25.33,-13.68,81.59,11.69,11,5,13.94,0.76,1005,0.89,9.23,31.44,0.73,59.83
S75P2~1d_20d~成交量择时,9.84,-48.69,-32.19,109.64,11.96,8,5,17.05,0.64,1222,1.09,8.57,43.45,0.58,57.95
S76P1~PEG_c_STD~成交量择时,14.43,-32.96,-27.76,93.98,16.78,9,5,15.94,0.93,975,1.02,11.73,49.24,0.91,57.54
