,indexID,ticker,secShortName,endDate,tradeDays,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,chg,chgPct,avgPrice,mAvgReyurn,yReturn
0,000906.ZICN,000906,中证800,2021-06-30,13,5546.748,5535.896,5566.117,5307.18,5348.698,370758617800,6.1528113226e+12,-198.0503,-0.0357,5448.608,-0.002768,-0.074879
1,000906.ZICN,000906,中证800,2021-05-31,18,5333.919,5317.499,5575.431,5150.026,5546.748,546471682900,8.27100239267e+12,212.8289,0.0399,5376.612,0.002225,0.046093
2,000906.ZICN,000906,中证800,2021-04-30,21,5229.911,5240.203,5391.102,5103.206,5333.919,554525597100,8.11749764613e+12,104.0079,0.0199,5271.983,0.000975,0.017088
3,000906.ZICN,000906,中证800,2021-03-31,23,5482.029,5532.205,5605.466,5070.948,5229.911,755631016500,1.04894286585e+13,-252.1177,-0.046,5283.795,-0.001921,-0.030053
4,000906.ZICN,000906,中证800,2021-02-26,15,5490.755,5493.257,6016.497,5467.756,5482.029,532222692700,8.9749190752e+12,-8.7261,-0.0016,5681.31,2e-06,4.4e-05
5,000906.ZICN,000906,中证800,2021-01-29,20,5381.888,5388.585,5803.121,5364.104,5490.755,737368438600,1.29878370811e+13,108.8674,0.0202,5623.962,0.00109,0.020075
6,000906.ZICN,000906,中证800,2020-12-31,23,5171.843,5171.669,5385.752,5053.381,5381.888,632603029500,9.63263939965e+12,210.0442,0.0406,5217.497,0.00178,0.028624
7,000906.ZICN,000906,中证800,2020-11-30,21,4919.879,4927.329,5264.404,4918.81,5171.843,605157412400,8.75984787438e+12,251.9642,0.0512,5131.008,0.00242,0.042897
8,000906.ZICN,000906,中证800,2020-10-30,16,4848.68,4930.122,5124.919,4878.013,4919.879,339349999100,5.35897387572e+12,71.199,0.0147,5017.104,0.00098,0.022594
9,000906.ZICN,000906,中证800,2020-09-30,22,5122.133,5111.611,5182.942,4822.404,4848.68,544833086900,7.6213821127e+12,-273.4528,-0.0534,4951.795,-0.002435,-0.039636
10,000906.ZICN,000906,中证800,2020-08-31,21,5008.197,5051.476,5208.571,4870.132,5122.133,749578848600,1.08212730876e+13,113.9355,0.0227,5061.403,0.001134,0.019898
11,000906.ZICN,000906,中证800,2020-07-31,23,4447.165,4457.926,5212.286,4448.246,5008.197,1118268731200,1.57411968448e+13,561.0324,0.1262,4937.006,0.00542,0.089569
12,000906.ZICN,000906,中证800,2020-06-30,20,4122.524,4157.869,4456.99,4157.869,4447.165,514608779800,6.82218421124e+12,324.6413,0.0787,4310.861,0.003833,0.07231
13,000906.ZICN,000906,中证800,2020-05-29,18,4148.689,4106.245,4253.952,4051.622,4122.524,386615267800,5.13424490204e+12,-26.1648,-0.0063,4164.842,-0.000317,-0.006415
14,000906.ZICN,000906,中证800,2020-04-30,21,3908.102,3902.741,4158.76,3875.061,4148.689,484632314300,6.06125925319e+12,240.5865,0.0616,4043.807,0.002899,0.051598
15,000906.ZICN,000906,中证800,2020-03-31,22,4189.313,4224.817,4478.309,3758.397,3908.102,735324075100,9.17292772416e+12,-281.2107,-0.0671,4094.702,-0.002934,-0.047582
16,000906.ZICN,000906,中证800,2020-02-28,20,4225.943,3843.317,4455.488,3821.913,4189.313,738460210900,9.50923701487e+12,-36.6302,-0.0087,4233.549,-0.00015,-0.00273
17,000906.ZICN,000906,中证800,2020-01-23,16,4278.533,4305.78,4438.56,4191.193,4225.943,421608787100,5.41144427148e+12,-52.5903,-0.0123,4360.044,-0.000705,-0.015957
18,000906.ZICN,000906,中证800,2019-12-31,22,3993.272,3999.255,4280.088,3976.088,4278.533,463558717700,5.45672861591e+12,285.2617,0.0714,4139.886,0.003166,0.053843
19,000906.ZICN,000906,中证800,2019-11-29,21,4043.996,4039.975,4182.443,3966.075,3993.272,339307516500,4.16462364661e+12,-50.7249,-0.0125,4068.54,-0.000571,-0.009881
20,000906.ZICN,000906,中证800,2019-10-31,18,3990.689,3996.632,4166.009,3976.2,4043.996,290136360900,3.6306504715e+12,53.3079,0.0134,4066.908,0.000762,0.015562
21,000906.ZICN,000906,中证800,2019-09-30,20,3968.358,3973.077,4186.007,3969.312,3990.689,427141482800,5.35995053624e+12,22.3306,0.0056,4099.337,0.000319,0.005837
22,000906.ZICN,000906,中证800,2019-08-30,22,4000.148,3982.445,4024.162,3727.031,3968.358,390493617900,4.71414835995e+12,-31.7896,-0.0079,3898.947,-0.000307,-0.005081
23,000906.ZICN,000906,中证800,2019-07-31,23,4001.337,4078.232,4122.509,3906.905,4000.148,378917221300,4.43520686166e+12,-1.1896,-0.0003,4001.705,3.7e-05,0.000592
24,000906.ZICN,000906,中证800,2019-06-28,19,3836.876,3847.396,4041.021,3732.977,4001.337,375834723900,4.11780414292e+12,164.4616,0.0429,3897.144,0.002281,0.044743
25,000906.ZICN,000906,中证800,2019-05-31,20,4138.712,3993.039,4006.585,3763.014,3836.876,424634123600,4.61544860633e+12,-301.8363,-0.0729,3870.033,-0.003576,-0.063285
26,000906.ZICN,000906,中证800,2019-04-30,21,4150.603,4182.008,4423.242,4099.533,4138.712,736773578900,8.19685787316e+12,-11.8915,-0.0029,4291.571,-4.7e-05,-0.000816
27,000906.ZICN,000906,中证800,2019-03-29,21,3889.886,3917.995,4160.013,3882.459,4150.603,879035071600,9.04416790294e+12,260.7177,0.067,4049.198,0.003244,0.057903
28,000906.ZICN,000906,中证800,2019-02-28,15,3355.238,3376.992,3980.532,3367.64,3889.886,488814845000,4.5123000796e+12,534.6477,0.1593,3667.426,0.010069,0.276085
29,000906.ZICN,000906,中证800,2019-01-31,22,3199.937,3206.604,3413.359,3121.974,3355.238,334237580100,3.03148454903e+12,155.3008,0.0485,3302.852,0.0022,0.037137
30,000906.ZICN,000906,中证800,2018-12-28,20,3369.102,3459.929,3480.003,3156.895,3199.937,256811649100,2.47478058252e+12,-169.1647,-0.0502,3324.812,-0.002511,-0.044846
31,000906.ZICN,000906,中证800,2018-11-30,22,3334.859,3365.198,3521.476,3321.019,3369.102,399757821100,3.59117463442e+12,34.2432,0.0103,3414.504,0.000556,0.009266
32,000906.ZICN,000906,中证800,2018-10-31,18,3662.113,3585.179,3589.783,3159.955,3334.859,297422672700,2.82991808408e+12,-327.2546,-0.0894,3347.813,-0.004916,-0.095105
33,000906.ZICN,000906,中证800,2018-09-28,19,3580.066,3567.692,3676.991,3424.606,3662.113,238660523700,2.50873566211e+12,82.0472,0.0229,3545.763,0.001262,0.02452
34,000906.ZICN,000906,中证800,2018-08-31,23,3796.612,3808.417,3825.752,3464.334,3580.066,296457169900,3.28383895696e+12,-216.5462,-0.057,3606.761,-0.002443,-0.038074
35,000906.ZICN,000906,中证800,2018-07-31,22,3796.492,3791.032,3881.964,3563.751,3796.612,317611586800,3.63949691897e+12,0.1206,0.0,3750.371,8e-05,0.001336
36,000906.ZICN,000906,中证800,2018-06-29,20,4130.606,4115.818,4181.908,3689.881,3796.492,269644807000,3.3294483857e+12,-334.1142,-0.0809,3977.611,-0.004112,-0.072441
37,000906.ZICN,000906,中证800,2018-05-31,22,4113.648,4124.325,4295.744,4052.603,4130.606,305052383200,4.04348817677e+12,16.9583,0.0041,4204.808,0.000231,0.003847
38,000906.ZICN,000906,中证800,2018-04-27,18,4274.796,4275.908,4322.218,4068.122,4113.648,292391034700,3.83019236938e+12,-161.1486,-0.0377,4194.858,-0.002076,-0.041272
